tick,dw_score,dw_date
MBWM,3,4/16/24
MBWM,4,3/14/24
MBWM,5,12/26/23
MBWM,4,10/25/23
MBWM,3,7/26/23
MBWM,2,7/19/23
MBWM,1,4/5/23
MBWM,2,3/13/23
MBWM,3,3/14/22
MBWM,2,11/9/20
MBWM,1,10/22/20
MBWM,0,9/9/20
MBWM,1,6/5/20
MBWM,2,3/17/20
MBWM,1,2/28/20
MBWM,2,10/15/19
MBWM,1,8/27/19
MBWM,2,1/22/19
MBWM,1,12/6/18
MBWM,2,10/24/18
MBWM,3,9/26/18
MBWM,4,2/20/18
MBWM,5,10/18/17
MBWM,4,2/7/17
MBWM,5,11/12/15
MBWM,4,11/6/15
MBWM,3,12/29/14
MBWM,2,9/4/14
MBWM,3,7/24/14
MBWM,4,9/24/13
MBWM,3,11/2/12
MBWM,4,9/19/12
MBWM,5,12/19/11
MBWM,4,8/30/11
MBWM,5,7/20/11
MBWM,4,7/18/11
MBWM,3,6/9/11
MBWM,4,4/11/11
MBWM,5,3/18/11
MBWM,4,11/11/10
MBWM,3,11/10/10
MBWM,2,8/16/10
MBWM,3,6/15/10
MBWM,4,4/21/10
MBWM,3,4/8/10
MBWM,1,3/1/10
MBWM,2,1/26/10
MBWM,1,1/25/10
MBWM,0,11/10/09
MBWM,1,10/27/09
MBWM,0,10/23/09
MBWM,1,10/22/09
MBWM,2,10/19/09
MBWM,3,8/25/09
MBWM,2,8/24/09
MBWM,1,7/20/09
MBWM,2,7/15/09
MBWM,3,7/7/09
MBWM,2,6/26/09
MBWM,0,6/24/09
MBWM,1,5/20/09
MBWM,0,4/23/09
MBWM,1,4/16/09
MBWM,2,4/15/09
MBWM,3,4/9/09
MBWM,4,3/26/09
MBWM,3,3/19/09
MBWM,2,3/16/09
MBWM,1,3/9/09
MBWM,2,3/6/09
MBWM,3,2/24/09
MBWM,2,2/17/09
MBWM,1,2/12/09
MBWM,0,2/9/09
MBWM,1,1/14/09
MBWM,0,12/10/08
MBWM,1,12/9/08
MBWM,2,11/25/08
MBWM,4,11/20/08
MBWM,3,11/17/08
MBWM,2,11/4/08
MBWM,4,10/15/08
MBWM,3,10/10/08
MBWM,2,10/9/08
MBWM,1,9/16/08
MBWM,2,8/27/08
MBWM,3,7/24/08
MBWM,2,7/18/08
MBWM,1,7/17/08
MBWM,0,7/1/08
MBWM,1,6/19/08
MBWM,0,3/12/08
MBWM,1,2/7/08
MBWM,0,7/11/07
MBWM,1,4/19/07
MBWM,2,1/19/07
MBWM,3,12/6/05
MBWM,4,11/28/05
MBWM,5,7/15/03
MBWM,4,6/5/03
MBWM,5,1/8/03
MBWM,4,12/27/02
MBWM,3,10/23/02
MBWM,4,10/22/02
MBWM,5,5/24/02
MBWM,4,3/15/02
MBWM,5,1/11/01
MBWM,4,1/9/01
MBWM,2,1/8/01
MBWM,1,12/26/00
MBWM,2,10/10/00
MBWM,0,8/9/00
MBWM,1,8/3/00
MBWM,2,7/13/00
MBWM,1,7/12/00
MBWM,0,2/10/00
MBWM,1,11/15/99
MBWM,2,10/15/99
MBWM,1,7/14/99
MBWM,0,7/13/99
