tick,dw_score,dw_date
MPC,0,2011-06-23
MPC,1,2011-06-24
MPC,0,2011-08-05
MPC,1,2011-10-20
MPC,2,2011-11-03
MPC,1,2012-01-05
MPC,0,2012-01-09
MPC,1,2012-01-20
MPC,2,2012-01-24
MPC,3,2012-02-01
MPC,4,2012-02-03
MPC,2,2013-05-01
MPC,4,2013-11-27
MPC,3,2014-06-16
MPC,2,2014-06-27
MPC,3,2014-10-10
MPC,4,2014-11-04
MPC,3,2014-12-16
MPC,4,2015-01-30
MPC,5,2015-02-10
MPC,4,2015-08-24
MPC,5,2015-10-30
MPC,4,2015-12-14
MPC,3,2016-01-15
MPC,2,2016-02-03
MPC,1,2016-02-04
MPC,2,2016-08-03
MPC,3,2016-09-15
MPC,4,2016-11-21
MPC,5,2018-04-16
MPC,4,2018-10-11
MPC,3,2018-11-08
MPC,2,2019-05-09
MPC,3,2019-08-01
MPC,5,2019-09-25
MPC,4,2020-01-03
MPC,3,2020-01-16
MPC,2,2020-01-17
MPC,1,2020-03-04
MPC,2,2020-03-09
MPC,1,2020-03-12
MPC,0,2020-03-16
MPC,1,2020-03-26
MPC,2,2020-03-27
MPC,1,2020-04-02
MPC,2,2020-04-29
MPC,3,2020-05-13
MPC,4,2020-06-05
MPC,3,2020-08-21
MPC,2,2020-09-09
MPC,3,2020-11-09
MPC,4,2020-11-16
MPC,5,2021-02-17
MPC,4,2022-06-17
MPC,3,2022-06-24
MPC,4,2022-08-11
MPC,5,2022-08-26
MPC,4,2022-09-26
MPC,5,2022-09-28
MPC,4,2023-04-21
MPC,3,2023-05-04
MPC,4,2023-07-25
MPC,5,2023-08-08
MPC,4,2024-05-15
