tick,dw_score,dw_date
MTZ,0,1994-01-03
MTZ,1,1994-01-06
MTZ,0,1994-04-04
MTZ,1,1994-04-15
MTZ,0,1994-08-16
MTZ,1,1994-12-07
MTZ,2,1994-12-20
MTZ,3,1994-12-21
MTZ,2,1995-04-03
MTZ,3,1995-05-23
MTZ,1,1995-07-11
MTZ,0,1995-10-11
MTZ,1,1995-11-01
MTZ,0,1995-11-30
MTZ,1,1995-12-27
MTZ,2,1995-12-29
MTZ,1,1996-01-19
MTZ,2,1996-03-28
MTZ,3,1996-04-19
MTZ,2,1996-06-18
MTZ,3,1996-08-26
MTZ,4,1996-10-29
MTZ,3,1996-11-27
MTZ,2,1996-12-03
MTZ,3,1997-01-02
MTZ,4,1997-01-03
MTZ,5,1997-01-08
MTZ,4,1997-02-24
MTZ,3,1997-02-26
MTZ,2,1997-03-19
MTZ,1,1997-03-24
MTZ,3,1997-03-31
MTZ,2,1997-05-13
MTZ,1,1997-05-14
MTZ,3,1997-05-21
MTZ,4,1997-05-22
MTZ,5,1997-05-23
MTZ,4,1997-08-19
MTZ,3,1997-08-21
MTZ,4,1997-09-22
MTZ,5,1997-09-23
MTZ,3,1997-10-02
MTZ,1,1997-10-22
MTZ,0,1997-10-28
MTZ,1,1998-01-13
MTZ,2,1998-01-14
MTZ,3,1998-01-29
MTZ,1,1998-02-24
MTZ,0,1998-05-05
MTZ,1,1998-07-01
MTZ,2,1998-07-29
MTZ,0,1998-08-31
MTZ,1,1998-09-24
MTZ,2,1998-10-16
MTZ,4,1998-10-28
MTZ,3,1998-11-12
MTZ,2,1998-11-18
MTZ,3,1998-12-08
MTZ,5,1998-12-09
MTZ,4,1998-12-21
MTZ,3,1998-12-23
MTZ,2,1998-12-28
MTZ,4,1999-01-13
MTZ,5,1999-01-15
MTZ,4,1999-02-18
MTZ,3,1999-03-11
MTZ,2,1999-03-15
MTZ,3,1999-05-04
MTZ,4,1999-05-05
MTZ,3,1999-06-01
MTZ,4,1999-07-08
MTZ,5,1999-07-09
MTZ,3,2000-04-13
MTZ,2,2000-06-22
MTZ,3,2000-07-05
MTZ,4,2000-07-06
MTZ,1,2000-07-27
MTZ,0,2000-08-02
MTZ,2,2000-08-29
MTZ,1,2000-09-28
MTZ,0,2000-10-30
MTZ,1,2001-01-12
MTZ,2,2001-01-17
MTZ,0,2001-01-30
MTZ,1,2001-06-05
MTZ,3,2001-06-06
MTZ,1,2001-06-15
MTZ,0,2001-07-02
MTZ,2,2001-07-26
MTZ,1,2001-08-08
MTZ,0,2001-08-15
MTZ,2,2001-10-02
MTZ,0,2001-10-04
MTZ,1,2001-11-28
MTZ,2,2001-12-13
MTZ,3,2002-01-08
MTZ,1,2002-01-25
MTZ,2,2002-03-20
MTZ,3,2002-03-21
MTZ,2,2002-05-09
MTZ,1,2002-07-17
MTZ,0,2002-08-01
MTZ,2,2002-08-27
MTZ,0,2002-09-16
MTZ,1,2002-10-31
MTZ,2,2002-11-01
MTZ,1,2002-12-10
MTZ,0,2002-12-13
MTZ,2,2003-03-10
MTZ,0,2003-03-17
MTZ,4,2003-03-25
MTZ,3,2003-04-10
MTZ,2,2003-04-16
MTZ,4,2003-05-02
MTZ,5,2003-07-08
MTZ,3,2004-01-29
MTZ,4,2004-04-12
MTZ,3,2004-04-21
MTZ,2,2004-05-07
MTZ,1,2004-05-11
MTZ,3,2004-06-24
MTZ,2,2004-07-15
MTZ,4,2004-07-30
MTZ,3,2004-08-17
MTZ,4,2004-10-20
MTZ,5,2004-12-13
MTZ,4,2005-02-22
MTZ,3,2005-03-10
MTZ,4,2005-05-13
MTZ,5,2005-05-16
MTZ,3,2006-08-04
MTZ,2,2006-08-07
MTZ,3,2007-05-21
MTZ,4,2007-06-06
MTZ,5,2007-06-19
MTZ,3,2007-09-05
MTZ,4,2007-10-01
MTZ,5,2007-10-31
MTZ,0,2007-11-07
MTZ,1,2008-05-08
MTZ,2,2008-05-12
MTZ,3,2008-05-21
MTZ,4,2008-07-16
MTZ,5,2008-07-31
MTZ,4,2008-09-05
MTZ,3,2008-10-06
MTZ,2,2008-10-24
MTZ,4,2008-11-10
MTZ,3,2008-11-24
MTZ,2,2008-11-26
MTZ,0,2008-11-28
MTZ,1,2008-12-01
MTZ,2,2008-12-03
MTZ,3,2008-12-08
MTZ,4,2008-12-23
MTZ,5,2008-12-31
MTZ,4,2009-03-18
MTZ,3,2009-05-28
MTZ,2,2009-07-23
MTZ,1,2009-08-07
MTZ,2,2009-09-11
MTZ,3,2009-10-23
MTZ,2,2010-04-14
MTZ,1,2010-05-07
MTZ,0,2010-06-10
MTZ,1,2010-08-03
MTZ,2,2010-10-13
MTZ,4,2010-11-04
MTZ,3,2010-12-21
MTZ,4,2011-02-25
MTZ,5,2011-02-28
MTZ,2,2011-11-04
MTZ,3,2012-01-12
MTZ,4,2012-03-01
MTZ,3,2012-05-17
MTZ,2,2012-06-21
MTZ,1,2012-06-26
MTZ,0,2012-06-27
MTZ,3,2012-08-03
MTZ,4,2012-10-17
MTZ,2,2013-12-18
MTZ,3,2014-02-04
MTZ,4,2014-02-28
MTZ,5,2014-03-20
MTZ,4,2014-05-30
MTZ,3,2014-06-02
MTZ,2,2014-06-23
MTZ,1,2014-06-24
MTZ,0,2014-10-15
MTZ,1,2015-06-18
MTZ,2,2015-06-19
MTZ,1,2015-07-28
MTZ,0,2015-08-18
MTZ,1,2015-11-24
MTZ,2,2015-11-25
MTZ,3,2015-11-30
MTZ,4,2015-12-03
MTZ,3,2016-01-07
MTZ,2,2016-01-11
MTZ,1,2016-02-09
MTZ,2,2016-02-29
MTZ,3,2016-03-03
MTZ,4,2016-04-22
MTZ,5,2016-08-05
MTZ,4,2017-11-02
MTZ,5,2018-02-01
MTZ,4,2018-08-03
MTZ,3,2018-08-13
MTZ,2,2018-08-24
MTZ,3,2018-10-18
MTZ,4,2018-11-02
MTZ,5,2018-11-08
MTZ,4,2018-11-20
MTZ,3,2019-02-27
MTZ,4,2019-03-04
MTZ,5,2019-08-02
MTZ,4,2020-01-27
MTZ,3,2020-01-28
MTZ,2,2020-02-10
MTZ,1,2020-03-09
MTZ,0,2020-03-11
MTZ,1,2020-03-31
MTZ,2,2020-04-03
MTZ,1,2020-07-09
MTZ,0,2020-07-30
MTZ,1,2020-08-03
MTZ,2,2020-08-12
MTZ,4,2020-10-30
MTZ,5,2020-12-10
MTZ,2,2021-08-06
MTZ,3,2021-10-29
MTZ,2,2021-12-01
MTZ,3,2022-01-05
MTZ,2,2022-01-21
MTZ,3,2022-02-15
MTZ,2,2022-02-24
MTZ,3,2022-05-17
MTZ,2,2022-06-13
MTZ,3,2022-08-05
MTZ,4,2022-09-13
MTZ,3,2022-09-29
MTZ,2,2022-10-10
