tick,dw_score,dw_date
NPO,5,6/14/23
NPO,4,6/7/23
NPO,3,5/3/23
NPO,2,3/9/23
NPO,3,3/6/23
NPO,5,11/3/22
NPO,4,11/1/22
NPO,3,10/28/22
NPO,2,10/18/22
NPO,1,8/2/22
NPO,0,7/6/22
NPO,1,7/5/22
NPO,2,6/10/22
NPO,3,5/13/22
NPO,2,5/2/22
NPO,3,4/20/22
NPO,2,3/31/22
NPO,3,10/7/21
NPO,2,8/3/21
NPO,3,8/2/21
NPO,2,7/19/21
NPO,3,6/8/21
NPO,2,8/7/20
NPO,1,7/29/20
NPO,0,7/9/20
NPO,1,5/20/20
NPO,0,2/26/20
NPO,1,2/25/20
NPO,0,1/31/20
NPO,1,11/15/19
NPO,2,9/10/19
NPO,1,8/15/19
NPO,2,7/30/19
NPO,1,5/30/19
NPO,2,5/2/19
NPO,3,4/10/19
NPO,2,3/22/19
NPO,3,2/12/19
NPO,2,12/14/18
NPO,3,12/3/18
NPO,2,10/10/18
NPO,3,9/14/18
NPO,2,2/20/18
NPO,3,2/15/18
NPO,4,2/14/18
NPO,5,7/31/17
NPO,4,12/19/16
NPO,3,11/10/16
NPO,2,9/9/16
NPO,1,5/5/16
NPO,4,3/2/16
NPO,3,1/6/16
NPO,2,11/2/15
NPO,1,7/31/15
NPO,2,5/1/15
NPO,3,2/20/15
NPO,2,9/29/14
NPO,3,9/23/14
NPO,4,8/4/14
NPO,5,1/16/14
NPO,4,3/7/13
NPO,3,2/27/13
NPO,2,1/2/13
NPO,1,8/3/12
NPO,2,7/26/12
NPO,3,9/20/11
NPO,4,9/8/11
NPO,5,7/13/11
NPO,4,6/1/11
NPO,3,5/13/11
NPO,2,3/30/11
NPO,3,8/10/09
NPO,2,8/4/09
NPO,1,6/11/09
NPO,0,4/30/09
NPO,1,3/12/09
NPO,2,3/3/09
NPO,3,2/25/09
NPO,4,2/10/09
NPO,2,10/30/08
NPO,4,9/29/08
NPO,5,9/8/08
NPO,4,6/18/08
NPO,3,5/1/08
NPO,2,3/13/08
NPO,1,2/6/08
NPO,0,1/4/08
NPO,1,11/28/07
NPO,2,11/6/07
NPO,3,11/5/07
NPO,4,11/1/07
NPO,5,8/17/07
NPO,4,8/14/07
NPO,3,8/8/07
NPO,5,7/10/07
NPO,4,2/20/07
NPO,3,8/14/06
NPO,4,4/5/06
NPO,3,10/20/05
NPO,5,7/1/05
NPO,4,5/16/05
NPO,5,11/4/04
NPO,4,11/3/04
NPO,3,8/9/04
NPO,4,8/5/04
NPO,5,12/8/03
NPO,3,7/10/03
NPO,5,6/25/03
NPO,3,6/9/03
NPO,5,4/25/03
NPO,4,4/24/03
NPO,3,10/21/02
NPO,1,8/13/02
NPO,3,7/16/02
NPO,2,6/25/02
NPO,1,6/4/02
NPO,0,6/3/02
