tick,dw_score,dw_date
OGS,0,11/20/23
OGS,1,10/25/23
OGS,2,6/15/23
OGS,3,5/10/23
OGS,2,4/5/23
OGS,1,3/7/23
OGS,2,2/2/23
OGS,1,12/1/22
OGS,3,10/31/22
OGS,2,6/14/22
OGS,3,2/25/22
OGS,2,12/16/21
OGS,1,8/26/21
OGS,2,3/15/21
OGS,1,1/5/21
OGS,2,12/21/20
OGS,3,11/9/20
OGS,2,9/1/20
OGS,3,7/23/20
OGS,2,6/11/20
OGS,3,5/28/20
OGS,2,5/19/20
OGS,3,5/15/20
OGS,4,5/1/20
OGS,5,4/6/20
OGS,4,2/27/20
OGS,5,1/24/20
OGS,4,11/7/19
OGS,5,9/18/19
OGS,4,8/5/19
OGS,5,2/8/19
OGS,4,12/26/18
OGS,5,12/6/18
OGS,4,11/20/18
OGS,3,9/6/18
OGS,2,5/3/18
OGS,1,2/5/18
OGS,2,1/10/18
OGS,3,11/28/17
OGS,2,11/29/16
OGS,1,10/10/16
OGS,2,5/17/16
OGS,3,1/14/15
OGS,2,12/5/14
OGS,1,2/4/14
