tick,dw_score,dw_date
PHM,0,1998-07-15
PHM,1,1998-08-19
PHM,2,1998-08-20
PHM,1,1998-09-11
PHM,0,1998-10-07
PHM,1,1998-11-09
PHM,0,1999-02-11
PHM,1,1999-04-15
PHM,0,1999-06-24
PHM,1,1999-08-05
PHM,2,1999-11-05
PHM,1,2000-01-12
PHM,0,2000-01-19
PHM,1,2000-03-31
PHM,2,2000-04-05
PHM,3,2000-05-26
PHM,4,2000-08-03
PHM,5,2000-08-07
PHM,4,2001-01-05
PHM,3,2001-01-19
PHM,4,2001-03-26
PHM,5,2001-03-29
PHM,3,2001-05-25
PHM,4,2001-07-19
PHM,3,2001-08-06
PHM,1,2001-08-13
PHM,2,2001-10-11
PHM,3,2001-12-13
PHM,4,2002-01-30
PHM,3,2002-09-24
PHM,4,2003-02-18
PHM,5,2003-04-10
PHM,4,2004-01-29
PHM,5,2004-03-01
PHM,4,2004-10-05
PHM,3,2004-10-20
PHM,4,2005-01-13
PHM,5,2005-02-28
PHM,4,2005-10-06
PHM,3,2006-02-01
PHM,2,2006-05-02
PHM,1,2006-05-15
PHM,0,2006-06-06
PHM,1,2007-12-10
PHM,0,2008-01-08
PHM,1,2008-01-22
PHM,3,2008-01-23
PHM,4,2008-01-29
PHM,3,2008-03-03
PHM,2,2008-03-07
PHM,3,2008-03-24
PHM,4,2008-04-03
PHM,3,2008-04-23
PHM,2,2008-04-30
PHM,3,2008-05-16
PHM,1,2008-05-22
PHM,0,2008-06-06
PHM,1,2008-07-17
PHM,2,2008-07-21
PHM,3,2008-08-11
PHM,4,2008-08-29
PHM,5,2008-09-08
PHM,4,2008-09-29
PHM,3,2008-10-23
PHM,4,2008-10-31
PHM,3,2008-11-21
PHM,4,2008-11-25
PHM,5,2009-01-06
PHM,4,2009-02-18
PHM,3,2009-02-19
PHM,2,2009-03-24
PHM,3,2009-03-25
PHM,2,2009-05-22
PHM,1,2009-05-28
PHM,2,2009-07-31
PHM,3,2009-08-07
PHM,2,2009-09-30
PHM,1,2009-10-07
PHM,2,2010-02-02
PHM,1,2010-06-04
PHM,0,2010-06-07
PHM,1,2011-01-07
PHM,0,2011-02-15
PHM,1,2011-04-19
PHM,0,2011-08-08
PHM,1,2011-08-26
PHM,0,2011-10-03
PHM,2,2011-10-24
PHM,3,2011-11-03
PHM,4,2012-01-11
PHM,5,2012-04-27
PHM,4,2013-06-20
PHM,3,2013-07-24
PHM,2,2014-10-10
PHM,3,2014-11-10
PHM,4,2015-01-07
PHM,3,2015-05-04
PHM,1,2015-10-22
PHM,2,2016-03-14
PHM,3,2017-03-16
PHM,4,2017-03-28
PHM,3,2018-06-25
PHM,1,2018-10-22
PHM,2,2018-11-20
PHM,3,2018-11-23
PHM,4,2018-12-11
PHM,5,2019-04-17
PHM,4,2020-03-12
PHM,3,2020-03-16
PHM,2,2020-03-17
PHM,3,2020-04-28
PHM,4,2020-05-18
PHM,5,2020-05-21
PHM,4,2020-11-09
PHM,3,2020-12-01
PHM,2,2021-01-06
PHM,3,2021-04-27
PHM,2,2021-07-15
PHM,1,2021-09-08
PHM,2,2021-11-19
PHM,1,2022-01-27
PHM,0,2022-03-22
PHM,1,2022-05-26
PHM,0,2022-06-13
PHM,1,2022-07-05
PHM,2,2022-07-22
PHM,1,2022-09-26
PHM,2,2022-11-10
PHM,3,2023-01-31
PHM,4,2023-04-20
