tick,dw_score,dw_date
REGN,0,1993-12-01
REGN,1,1993-12-02
REGN,0,1994-02-04
REGN,1,1994-05-02
REGN,0,1994-05-13
REGN,1,1994-09-21
REGN,0,1994-10-20
REGN,1,1994-11-18
REGN,0,1994-12-13
REGN,1,1995-01-09
REGN,2,1995-01-10
REGN,1,1995-03-01
REGN,2,1995-06-08
REGN,3,1995-06-26
REGN,2,1995-09-15
REGN,3,1995-11-30
REGN,2,1996-02-20
REGN,3,1996-05-17
REGN,2,1996-06-20
REGN,1,1996-06-21
REGN,2,1996-06-28
REGN,4,1996-08-02
REGN,2,1996-10-22
REGN,1,1996-12-17
REGN,0,1996-12-30
REGN,1,1997-01-06
REGN,0,1997-01-10
REGN,2,1997-01-20
REGN,1,1997-03-10
REGN,0,1997-03-11
REGN,2,1997-03-24
REGN,1,1997-04-03
REGN,0,1997-04-08
REGN,1,1997-05-07
REGN,4,1997-05-13
REGN,2,1997-06-12
REGN,1,1997-09-08
REGN,2,1997-10-08
REGN,3,1997-10-09
REGN,2,1997-11-24
REGN,1,1997-11-25
REGN,0,1997-12-26
REGN,2,1998-02-11
REGN,1,1998-03-02
REGN,0,1998-03-03
REGN,2,1998-04-08
REGN,4,1998-04-21
REGN,3,1998-06-23
REGN,2,1998-07-17
REGN,1,1998-08-11
REGN,0,1998-08-26
REGN,2,1998-09-16
REGN,1,1998-10-01
REGN,0,1998-10-13
REGN,1,1998-10-22
REGN,0,1998-12-10
REGN,4,1999-02-02
REGN,3,1999-02-09
REGN,2,1999-02-24
REGN,1,1999-03-23
REGN,0,1999-04-06
REGN,1,1999-05-24
REGN,2,1999-06-29
REGN,0,1999-09-02
REGN,4,1999-12-09
REGN,3,1999-12-21
REGN,4,1999-12-31
REGN,5,2000-01-18
REGN,4,2000-01-21
REGN,3,2000-01-28
REGN,2,2000-01-31
REGN,1,2000-02-07
REGN,3,2000-02-11
REGN,4,2000-02-18
REGN,5,2000-02-23
REGN,4,2000-03-06
REGN,3,2000-03-08
REGN,2,2000-03-21
REGN,3,2000-03-22
REGN,4,2000-03-23
REGN,3,2000-03-29
REGN,1,2000-04-04
REGN,0,2000-04-05
REGN,1,2000-04-07
REGN,0,2000-04-11
REGN,2,2000-04-18
REGN,3,2000-05-01
REGN,2,2000-05-17
REGN,1,2000-05-18
REGN,2,2000-06-07
REGN,3,2000-06-29
REGN,2,2000-07-14
REGN,3,2000-07-31
REGN,4,2000-08-15
REGN,3,2000-09-14
REGN,2,2000-10-02
REGN,1,2000-10-05
REGN,2,2000-11-14
REGN,3,2000-11-27
REGN,4,2000-11-28
REGN,5,2000-12-18
REGN,4,2001-01-03
REGN,5,2001-01-16
REGN,4,2001-01-26
REGN,3,2001-01-29
REGN,1,2001-01-30
REGN,2,2001-04-19
REGN,3,2001-04-30
REGN,4,2001-06-11
REGN,2,2001-07-12
REGN,1,2001-07-16
REGN,2,2001-08-29
REGN,1,2001-09-19
REGN,0,2001-10-12
REGN,3,2001-12-07
REGN,1,2002-02-06
REGN,0,2002-04-25
REGN,1,2002-07-17
REGN,3,2002-07-30
REGN,2,2002-09-05
REGN,1,2002-09-19
REGN,0,2002-09-20
REGN,1,2002-10-02
REGN,3,2002-11-04
REGN,5,2002-11-21
REGN,4,2003-03-28
REGN,0,2003-03-31
REGN,2,2003-05-19
REGN,1,2003-07-21
REGN,0,2003-08-04
REGN,1,2003-09-03
REGN,2,2003-09-04
REGN,5,2003-09-08
REGN,3,2003-10-07
REGN,2,2003-10-15
REGN,1,2003-12-01
REGN,2,2004-01-13
REGN,1,2004-02-13
REGN,0,2004-04-15
REGN,1,2004-08-25
REGN,0,2004-10-19
REGN,2,2004-11-30
