tick,dw_score,dw_date
RRX,3,2/8/24
RRX,2,12/14/23
RRX,1,12/13/23
RRX,0,11/2/23
RRX,3,10/24/23
RRX,4,9/25/23
RRX,5,6/6/23
RRX,4,3/23/23
RRX,5,2/15/23
RRX,3,2/1/23
RRX,2,10/31/22
RRX,4,10/27/22
RRX,5,9/20/22
RRX,4,8/11/22
RRX,3,4/28/22
RRX,4,4/1/22
RRX,5,3/3/22
RRX,4,2/23/22
RRX,5,1/10/22
RRX,4,11/17/21
RRX,3,11/15/21
RRX,2,11/2/21
RRX,1,10/6/21
RRX,2,6/21/21
RRX,3,6/17/21
RRX,4,11/18/20
RRX,3,5/18/20
RRX,2,5/13/20
RRX,3,4/27/20
RRX,2,3/17/20
RRX,1,3/9/20
RRX,2,11/4/19
RRX,1,5/31/19
RRX,2,2/4/19
RRX,1,12/7/18
RRX,0,12/6/18
RRX,1,12/3/18
RRX,0,10/12/18
RRX,1,4/16/18
RRX,0,12/5/17
RRX,1,8/23/17
RRX,2,12/1/16
RRX,1,8/11/16
RRX,0,2/10/16
RRX,1,6/25/15
RRX,2,3/17/15
RRX,1,12/22/14
RRX,0,7/30/14
RRX,1,11/20/13
RRX,0,5/22/13
RRX,1,5/1/13
RRX,4,12/19/12
RRX,3,10/31/12
RRX,4,2/10/12
RRX,3,2/8/12
RRX,2,1/6/12
RRX,1,6/16/11
RRX,2,11/30/10
RRX,1,11/2/10
RRX,2,10/8/10
RRX,3,10/4/10
RRX,4,8/11/10
RRX,5,7/23/10
RRX,4,6/28/10
RRX,5,6/3/10
RRX,4,10/23/09
RRX,5,4/2/09
RRX,4,9/24/08
RRX,5,6/11/08
RRX,4,6/10/08
RRX,3,5/12/08
RRX,2,11/19/07
RRX,3,11/5/07
RRX,2,9/25/07
RRX,3,2/5/07
RRX,4,7/17/06
RRX,5,11/3/05
RRX,4,8/30/05
RRX,3,5/26/05
RRX,4,11/15/04
RRX,3,9/9/04
RRX,2,10/28/03
RRX,3,8/19/03
RRX,2,5/29/03
RRX,1,2/27/03
RRX,2,2/4/03
RRX,3,11/29/02
RRX,2,7/19/02
RRX,3,7/18/02
RRX,4,7/16/02
RRX,5,4/2/02
RRX,4,3/4/02
RRX,5,12/10/01
RRX,4,8/22/01
RRX,3,7/23/01
RRX,2,5/22/01
RRX,1,3/22/01
RRX,2,12/14/00
RRX,1,12/12/00
RRX,0,10/26/00
RRX,1,10/25/00
RRX,3,10/12/00
RRX,2,10/5/00
RRX,0,4/13/00
RRX,1,2/22/00
RRX,2,5/24/99
RRX,1,4/30/99
RRX,0,3/5/99
RRX,1,2/5/99
RRX,2,2/3/99
RRX,3,12/8/98
RRX,2,12/2/98
RRX,1,7/23/98
RRX,2,7/16/98
RRX,3,6/30/98
RRX,4,3/27/97
RRX,3,2/27/97
RRX,2,2/20/97
RRX,1,10/1/96
RRX,0,9/19/96
RRX,1,7/9/96
RRX,2,1/30/96
RRX,3,2/28/95
RRX,2,12/16/94
RRX,3,11/11/93
RRX,2,5/25/93
RRX,3,12/3/92
RRX,2,10/20/92
RRX,3,3/19/92
RRX,2,3/18/92
RRX,1,3/11/92
RRX,0,10/28/91
RRX,1,6/26/91
RRX,0,1/21/91
RRX,1,11/27/90
RRX,0,1/2/90
