tick,dw_score,dw_date
SCHW,4,12/8/23
SCHW,3,10/3/23
SCHW,4,7/18/23
SCHW,1,3/10/23
SCHW,3,3/9/23
SCHW,4,1/30/23
SCHW,5,10/27/22
SCHW,4,10/17/22
SCHW,5,9/27/22
SCHW,4,8/12/22
SCHW,3,4/18/22
SCHW,5,3/18/22
SCHW,4,2/22/22
SCHW,5,4/29/21
SCHW,4,1/6/21
SCHW,3,10/30/20
SCHW,1,7/30/20
SCHW,2,6/26/20
SCHW,3,6/4/20
SCHW,2,5/21/20
SCHW,3,5/13/20
SCHW,4,4/29/20
SCHW,3,3/18/20
SCHW,1,3/4/20
SCHW,4,2/26/20
SCHW,5,12/12/19
SCHW,4,11/21/19
SCHW,2,4/23/19
SCHW,3,10/22/18
SCHW,5,12/1/16
SCHW,4,11/15/16
SCHW,3,10/4/16
SCHW,2,2/10/16
SCHW,3,1/21/16
SCHW,4,6/20/13
SCHW,3,2/7/13
SCHW,2,1/29/13
SCHW,1,8/8/11
SCHW,2,1/5/11
SCHW,1,11/2/09
SCHW,2,9/15/09
SCHW,3,7/24/09
SCHW,4,4/15/09
SCHW,3,4/9/09
SCHW,2,12/19/08
SCHW,3,12/18/08
SCHW,4,12/8/08
SCHW,3,11/28/08
SCHW,4,10/2/08
SCHW,5,7/16/08
SCHW,4,4/17/08
SCHW,3,3/31/08
SCHW,4,3/28/08
SCHW,5,1/4/08
SCHW,4,10/25/07
SCHW,3,9/18/07
SCHW,2,8/14/07
SCHW,3,8/15/06
SCHW,2,7/18/06
SCHW,3,7/18/05
SCHW,2,12/21/04
SCHW,1,12/13/04
SCHW,0,5/17/04
SCHW,1,11/24/03
SCHW,2,7/15/03
SCHW,1,6/6/03
SCHW,0,3/10/03
SCHW,1,2/12/03
SCHW,2,2/7/03
SCHW,3,2/6/03
SCHW,4,1/3/03
SCHW,3,11/25/02
SCHW,2,11/15/02
SCHW,1,9/9/02
SCHW,0,8/1/02
SCHW,2,6/6/02
SCHW,1,6/5/02
SCHW,0,3/25/02
SCHW,1,2/20/02
SCHW,2,1/22/02
SCHW,3,12/7/01
SCHW,2,11/7/01
SCHW,1,10/18/01
SCHW,0,6/14/01
SCHW,1,6/13/01
SCHW,2,4/18/01
SCHW,1,4/12/01
SCHW,0,2/5/01
SCHW,1,1/30/01
SCHW,2,1/18/01
SCHW,3,1/3/01
SCHW,2,11/17/00
SCHW,3,10/31/00
SCHW,2,10/9/00
SCHW,3,9/18/00
SCHW,4,6/19/00
SCHW,3,6/2/00
SCHW,2,4/14/00
SCHW,3,4/4/00
SCHW,5,3/1/00
SCHW,4,2/29/00
SCHW,3,2/11/00
SCHW,2,1/14/00
SCHW,1,12/20/99
SCHW,2,10/28/99
SCHW,1,9/27/99
SCHW,2,8/3/99
SCHW,4,6/30/99
SCHW,3,4/29/99
SCHW,4,4/15/99
SCHW,5,2/18/99
SCHW,4,1/13/99
SCHW,5,9/16/98
SCHW,4,7/20/98
SCHW,3,7/17/98
SCHW,2,6/24/98
SCHW,3,4/3/98
SCHW,4,3/4/98
SCHW,5,11/10/97
SCHW,4,11/11/96
SCHW,3,11/7/96
SCHW,2,1/19/96
SCHW,1,10/20/95
SCHW,2,10/28/94
SCHW,1,10/12/94
SCHW,0,6/23/94
SCHW,1,6/2/94
SCHW,0,10/1/93
