tick,dw_score,dw_date
SIVBQ,0,1992-10-01
SIVBQ,1,1992-10-02
SIVBQ,2,1992-12-15
SIVBQ,1,1993-04-27
SIVBQ,2,1993-07-23
SIVBQ,1,1993-11-11
SIVBQ,2,1994-04-28
SIVBQ,3,1994-08-11
SIVBQ,2,1996-02-05
SIVBQ,3,1996-05-14
SIVBQ,4,1997-02-04
SIVBQ,3,1998-08-26
SIVBQ,1,1998-09-10
SIVBQ,2,1998-10-16
SIVBQ,3,1998-10-21
SIVBQ,1,1998-12-22
SIVBQ,2,1999-03-31
SIVBQ,3,1999-04-14
SIVBQ,2,1999-04-23
SIVBQ,3,1999-06-02
SIVBQ,5,1999-06-15
SIVBQ,3,2000-03-15
SIVBQ,4,2000-03-21
SIVBQ,2,2000-04-05
SIVBQ,1,2000-04-14
SIVBQ,3,2000-04-19
SIVBQ,4,2000-05-02
SIVBQ,3,2000-05-23
SIVBQ,4,2000-06-02
SIVBQ,5,2000-06-20
SIVBQ,4,2000-09-20
SIVBQ,3,2000-10-09
SIVBQ,2,2000-10-10
SIVBQ,3,2000-10-20
SIVBQ,4,2000-10-23
SIVBQ,3,2000-11-24
SIVBQ,2,2000-11-28
SIVBQ,3,2000-12-06
SIVBQ,1,2000-12-12
SIVBQ,0,2001-01-02
SIVBQ,1,2001-04-12
SIVBQ,2,2001-04-18
SIVBQ,3,2001-05-02
SIVBQ,2,2001-06-21
SIVBQ,1,2001-06-22
SIVBQ,0,2001-07-17
SIVBQ,2,2001-09-04
SIVBQ,3,2001-10-25
SIVBQ,2,2002-02-06
SIVBQ,3,2002-02-26
SIVBQ,4,2002-03-08
SIVBQ,3,2002-06-20
SIVBQ,2,2002-07-19
SIVBQ,1,2002-07-24
SIVBQ,2,2003-04-21
SIVBQ,3,2003-04-22
SIVBQ,4,2003-05-06
SIVBQ,3,2003-08-21
SIVBQ,4,2003-09-15
SIVBQ,5,2004-12-23
SIVBQ,4,2006-09-12
SIVBQ,3,2006-09-18
SIVBQ,4,2007-07-23
SIVBQ,3,2007-09-19
SIVBQ,4,2007-11-02
SIVBQ,3,2008-01-11
SIVBQ,4,2008-02-01
SIVBQ,3,2008-03-03
SIVBQ,4,2008-04-25
SIVBQ,5,2008-06-20
SIVBQ,4,2008-09-22
SIVBQ,3,2008-09-29
SIVBQ,2,2008-11-21
SIVBQ,1,2008-12-29
SIVBQ,2,2009-01-22
SIVBQ,1,2009-02-25
SIVBQ,2,2009-03-12
SIVBQ,0,2009-04-08
SIVBQ,1,2009-05-01
SIVBQ,2,2009-05-05
SIVBQ,3,2009-05-08
SIVBQ,4,2009-07-27
SIVBQ,5,2009-09-15
SIVBQ,4,2010-08-23
SIVBQ,3,2010-08-24
SIVBQ,4,2010-10-07
SIVBQ,5,2011-06-29
SIVBQ,4,2011-08-08
SIVBQ,3,2011-08-11
SIVBQ,2,2011-09-20
SIVBQ,1,2011-09-22
SIVBQ,3,2011-12-22
SIVBQ,4,2012-01-10
SIVBQ,3,2012-11-05
SIVBQ,2,2012-11-08
SIVBQ,1,2012-12-07
SIVBQ,2,2013-01-04
SIVBQ,3,2013-06-20
SIVBQ,5,2013-06-24
SIVBQ,4,2014-05-06
SIVBQ,3,2014-05-07
SIVBQ,4,2015-02-02
SIVBQ,5,2015-04-30
SIVBQ,4,2015-08-24
SIVBQ,3,2015-10-05
SIVBQ,4,2015-10-28
SIVBQ,3,2015-12-08
SIVBQ,2,2016-01-14
SIVBQ,1,2016-02-08
SIVBQ,2,2016-03-30
SIVBQ,1,2016-05-13
SIVBQ,2,2016-05-25
SIVBQ,1,2016-06-24
SIVBQ,0,2016-06-27
SIVBQ,1,2016-07-14
SIVBQ,2,2016-10-04
SIVBQ,3,2016-10-21
SIVBQ,4,2016-12-15
SIVBQ,5,2017-03-06
SIVBQ,4,2017-09-07
SIVBQ,5,2017-09-21
SIVBQ,3,2018-10-26
SIVBQ,2,2018-10-29
SIVBQ,3,2019-02-19
SIVBQ,2,2019-05-31
SIVBQ,3,2019-09-05
SIVBQ,4,2019-12-17
SIVBQ,5,2020-02-13
SIVBQ,4,2020-03-03
SIVBQ,3,2020-03-05
SIVBQ,1,2020-03-06
SIVBQ,3,2020-03-19
SIVBQ,4,2020-04-28
SIVBQ,3,2020-05-13
SIVBQ,4,2020-05-20
SIVBQ,5,2020-10-07
SIVBQ,2,2022-01-21
SIVBQ,3,2022-04-22
SIVBQ,2,2022-04-29
SIVBQ,3,2022-07-20
SIVBQ,2,2022-07-22
SIVBQ,3,2022-08-03
SIVBQ,2,2022-09-06
SIVBQ,1,2022-11-01
SIVBQ,0,2022-11-09
SIVBQ,2,2023-01-17
SIVBQ,3,2023-01-20
SIVBQ,2,2023-03-02
SIVBQ,0,2023-03-09
SIVBQ,2,2023-03-29
SIVBQ,1,2023-04-06
SIVBQ,0,2023-04-10
SIVBQ,2,2023-04-19
SIVBQ,0,2023-04-21
SIVBQ,1,2023-05-09
SIVBQ,0,2023-05-24
SIVBQ,2,2023-06-15
SIVBQ,0,2023-06-21
SIVBQ,4,2023-06-28
SIVBQ,2,2023-07-18
SIVBQ,1,2023-07-20
SIVBQ,0,2023-07-21
SIVBQ,2,2023-08-02
SIVBQ,0,2023-08-04
SIVBQ,2,2023-08-10
