tick,dw_score,dw_date
SLGN,0,1997-02-19
SLGN,2,1997-03-03
SLGN,1,1997-10-14
SLGN,0,1997-11-20
SLGN,1,1998-02-19
SLGN,0,1998-06-11
SLGN,1,1998-09-29
SLGN,0,1998-10-21
SLGN,1,1998-10-23
SLGN,2,1998-11-06
SLGN,0,1999-01-08
SLGN,1,1999-04-20
SLGN,2,1999-04-21
SLGN,1,1999-04-30
SLGN,2,1999-06-15
SLGN,1,1999-06-30
SLGN,0,1999-07-06
SLGN,2,1999-08-02
SLGN,3,1999-08-10
SLGN,1,1999-08-31
SLGN,0,1999-10-25
SLGN,2,1999-12-20
SLGN,0,2000-02-24
SLGN,2,2000-06-20
SLGN,0,2000-07-11
SLGN,1,2000-07-24
SLGN,3,2000-08-10
SLGN,2,2000-08-29
SLGN,3,2000-09-26
SLGN,0,2000-10-06
SLGN,2,2000-10-10
SLGN,0,2000-10-19
SLGN,1,2000-10-31
SLGN,2,2000-11-01
SLGN,4,2000-11-02
SLGN,3,2000-11-24
SLGN,1,2000-12-19
SLGN,2,2000-12-26
SLGN,3,2000-12-28
SLGN,2,2001-01-17
SLGN,4,2001-02-20
SLGN,3,2001-06-27
SLGN,2,2001-06-28
SLGN,3,2001-07-10
SLGN,4,2001-07-24
SLGN,2,2001-09-25
SLGN,4,2001-10-09
SLGN,3,2001-11-05
SLGN,2,2001-11-12
SLGN,3,2001-12-17
SLGN,4,2001-12-31
SLGN,5,2002-01-31
SLGN,3,2002-07-15
SLGN,4,2002-10-04
SLGN,2,2002-10-14
SLGN,1,2002-10-25
SLGN,2,2002-11-22
SLGN,3,2002-12-19
SLGN,5,2004-07-30
SLGN,4,2005-05-20
SLGN,3,2005-07-21
SLGN,4,2005-09-08
SLGN,5,2005-10-03
SLGN,4,2009-01-06
SLGN,5,2009-01-22
SLGN,4,2009-03-23
SLGN,3,2009-04-09
SLGN,2,2009-04-30
SLGN,3,2010-08-13
SLGN,4,2011-04-13
SLGN,3,2012-12-20
SLGN,2,2013-01-10
SLGN,1,2014-09-17
SLGN,2,2017-01-24
SLGN,1,2018-01-17
SLGN,0,2018-10-24
SLGN,1,2019-07-03
SLGN,2,2020-01-28
SLGN,3,2020-03-06
SLGN,4,2020-03-12
SLGN,3,2020-05-27
SLGN,2,2020-11-09
SLGN,3,2022-01-18
SLGN,2,2022-06-15
SLGN,3,2022-07-27
SLGN,4,2022-08-23
SLGN,3,2023-05-31
SLGN,1,2023-07-26
SLGN,2,2024-03-28
