tick,dw_score,dw_date
SYY,0,1993-10-01
SYY,1,1993-10-04
SYY,2,1994-12-15
SYY,1,1995-09-14
SYY,2,1997-11-12
SYY,3,1997-12-18
SYY,0,1998-07-15
SYY,1,1998-10-02
SYY,2,1999-02-23
SYY,1,2000-03-06
SYY,4,2000-03-17
SYY,5,2000-03-20
SYY,4,2001-01-19
SYY,3,2001-08-01
SYY,4,2001-09-10
SYY,5,2002-09-10
SYY,4,2002-11-25
SYY,3,2004-08-16
SYY,2,2005-11-04
SYY,1,2006-05-02
SYY,2,2008-08-18
SYY,3,2008-09-08
SYY,2,2008-10-10
SYY,1,2009-04-15
SYY,0,2009-05-22
SYY,1,2009-12-10
SYY,2,2011-08-08
SYY,1,2012-05-02
SYY,2,2016-01-11
SYY,3,2016-02-01
SYY,4,2018-08-15
SYY,5,2019-10-11
SYY,4,2020-03-09
SYY,3,2020-03-11
SYY,2,2020-03-12
SYY,1,2020-03-17
SYY,2,2020-03-23
SYY,3,2020-03-25
SYY,2,2020-04-02
SYY,3,2020-06-08
SYY,2,2020-08-03
SYY,3,2020-09-15
SYY,4,2020-09-16
SYY,3,2020-10-29
SYY,4,2020-11-09
SYY,3,2021-05-20
SYY,2,2021-07-13
SYY,3,2021-08-27
SYY,2,2021-10-26
SYY,3,2021-12-31
SYY,4,2022-02-23
SYY,3,2022-03-07
SYY,4,2022-04-14
SYY,3,2022-05-19
SYY,4,2022-06-27
SYY,5,2022-07-01
SYY,4,2022-08-10
SYY,5,2022-10-25
SYY,4,2023-01-26
SYY,3,2023-01-31
SYY,2,2023-05-23
SYY,3,2023-08-01
SYY,2,2023-09-05
SYY,3,2024-01-30
