tick,dw_score,dw_date
UAL,0,2006-02-02
UAL,1,2006-02-03
UAL,2,2006-03-20
UAL,1,2006-04-21
UAL,0,2006-05-17
UAL,1,2006-10-03
UAL,2,2006-10-19
UAL,3,2006-10-31
UAL,4,2007-01-10
UAL,3,2007-02-26
UAL,2,2007-04-26
UAL,1,2007-05-01
UAL,2,2007-07-03
UAL,4,2007-07-05
UAL,5,2007-07-24
UAL,4,2007-08-15
UAL,5,2007-08-31
UAL,4,2007-11-07
UAL,3,2007-11-09
UAL,2,2007-12-12
UAL,0,2008-01-08
UAL,2,2008-01-10
UAL,3,2008-02-01
UAL,2,2008-02-27
UAL,0,2008-03-03
UAL,2,2008-06-05
UAL,1,2008-06-11
UAL,0,2008-06-12
UAL,1,2008-06-19
UAL,0,2008-06-23
UAL,2,2008-07-16
UAL,3,2008-07-22
UAL,4,2008-07-23
UAL,2,2008-07-28
UAL,3,2008-08-04
UAL,4,2008-08-05
UAL,3,2008-08-21
UAL,2,2008-08-27
UAL,3,2008-09-03
UAL,5,2008-09-16
UAL,4,2008-09-24
UAL,3,2008-09-25
UAL,2,2008-09-26
UAL,1,2008-10-06
UAL,0,2008-10-07
UAL,2,2008-10-10
UAL,5,2008-10-17
UAL,3,2008-10-29
UAL,5,2008-11-03
UAL,1,2008-11-12
UAL,0,2008-11-20
UAL,2,2008-11-25
UAL,1,2008-12-11
UAL,0,2009-01-30
UAL,2,2009-03-11
UAL,1,2009-03-19
UAL,0,2009-03-20
UAL,2,2009-04-09
UAL,0,2009-04-28
UAL,2,2009-08-04
UAL,3,2009-09-14
UAL,4,2009-09-21
UAL,3,2009-10-01
UAL,2,2009-10-02
UAL,4,2009-12-02
UAL,5,2009-12-09
UAL,4,2010-12-08
UAL,3,2010-12-23
UAL,5,2011-05-05
UAL,4,2011-07-15
UAL,3,2011-07-20
UAL,2,2011-07-25
UAL,1,2011-07-28
UAL,0,2011-08-08
UAL,1,2011-08-18
UAL,2,2011-09-13
UAL,3,2011-09-14
UAL,2,2011-10-03
UAL,0,2011-10-28
UAL,1,2011-12-01
UAL,2,2011-12-15
UAL,1,2012-01-09
UAL,3,2012-01-27
UAL,4,2012-02-03
UAL,3,2012-02-23
UAL,2,2012-03-12
UAL,4,2012-05-07
UAL,5,2012-05-11
UAL,3,2012-07-24
UAL,2,2012-07-26
UAL,1,2012-08-09
UAL,2,2012-12-11
UAL,3,2012-12-13
UAL,4,2013-03-05
UAL,5,2013-07-26
UAL,3,2013-08-27
UAL,2,2013-10-14
UAL,3,2013-11-25
UAL,4,2014-01-09
UAL,2,2014-04-25
UAL,1,2014-07-08
UAL,2,2014-07-24
UAL,3,2014-08-20
UAL,4,2014-09-08
UAL,3,2014-10-13
UAL,4,2014-10-21
UAL,5,2014-11-18
UAL,4,2015-03-26
UAL,3,2015-04-02
UAL,2,2015-04-07
UAL,3,2015-07-23
UAL,2,2015-08-21
UAL,4,2015-09-01
UAL,5,2015-09-17
UAL,4,2016-01-04
UAL,3,2016-01-15
UAL,4,2016-02-19
UAL,3,2016-04-22
UAL,2,2016-04-25
UAL,1,2016-04-28
UAL,0,2016-04-29
UAL,3,2016-09-07
UAL,4,2016-11-23
UAL,2,2017-07-25
UAL,1,2017-08-10
UAL,3,2018-01-11
UAL,2,2018-02-09
UAL,3,2018-03-13
UAL,2,2018-04-11
UAL,3,2018-04-18
UAL,2,2018-07-11
UAL,3,2018-07-17
UAL,4,2018-07-19
UAL,3,2018-12-24
UAL,4,2019-02-05
UAL,3,2019-03-12
UAL,2,2019-03-25
UAL,3,2019-07-02
UAL,2,2019-10-03
UAL,3,2019-10-28
UAL,2,2019-12-10
UAL,1,2020-01-21
UAL,0,2020-03-04
UAL,1,2020-03-23
UAL,2,2020-03-24
UAL,1,2020-03-30
UAL,0,2020-04-01
UAL,1,2020-04-15
UAL,0,2020-04-27
UAL,1,2020-05-26
UAL,2,2020-06-04
UAL,3,2020-06-08
UAL,2,2020-06-11
UAL,1,2020-07-09
UAL,2,2020-11-09
UAL,3,2020-11-24
UAL,2,2021-01-25
UAL,3,2021-02-24
UAL,5,2021-03-15
UAL,3,2021-04-20
UAL,4,2021-05-18
UAL,3,2021-07-07
UAL,2,2021-07-08
UAL,1,2021-08-17
UAL,2,2021-11-08
UAL,1,2021-11-26
UAL,2,2022-02-08
UAL,3,2022-02-15
UAL,2,2022-02-24
UAL,1,2022-03-03
UAL,0,2022-03-04
UAL,1,2022-03-16
UAL,2,2022-03-28
UAL,3,2022-04-21
UAL,4,2022-04-22
UAL,2,2022-06-13
UAL,1,2022-06-30
UAL,3,2022-10-24
UAL,4,2022-12-06
UAL,5,2023-03-08
UAL,4,2023-04-03
UAL,3,2023-04-05
UAL,4,2023-06-13
UAL,2,2023-09-13
UAL,1,2023-10-13
UAL,0,2024-01-19
UAL,1,2024-04-17
UAL,3,2024-04-18
