tick,dw_score,dw_date
WASH,0,2/5/24
WASH,1,12/13/23
WASH,0,10/24/23
WASH,1,7/26/23
WASH,0,4/29/22
WASH,1,4/7/22
WASH,2,1/24/22
WASH,1,7/22/21
WASH,2,12/14/20
WASH,1,11/9/20
WASH,0,5/18/20
WASH,1,5/8/20
WASH,2,3/17/20
WASH,1,3/4/20
WASH,2,1/28/20
WASH,4,9/13/19
WASH,3,12/21/18
WASH,2,9/17/18
WASH,3,3/16/18
WASH,2,2/6/18
WASH,3,1/22/18
WASH,4,9/28/17
WASH,3,8/18/17
WASH,4,5/31/17
WASH,5,10/26/16
WASH,4,8/18/16
WASH,3,5/13/16
WASH,4,12/24/13
WASH,3,11/29/13
WASH,2,5/1/13
WASH,3,3/13/12
WASH,4,10/12/11
WASH,3,8/18/11
WASH,4,6/17/11
WASH,3,1/21/11
WASH,4,8/20/10
WASH,3,7/20/10
WASH,2,4/30/10
WASH,3,3/22/10
WASH,2,3/8/10
WASH,1,1/29/10
WASH,0,10/12/09
WASH,1,10/8/09
WASH,2,9/1/09
WASH,3,8/28/09
WASH,4,8/4/09
WASH,3,7/8/09
WASH,4,6/17/09
WASH,3,3/23/09
WASH,2,2/26/09
WASH,3,1/20/09
WASH,4,11/20/08
WASH,3,10/31/08
WASH,4,10/10/08
WASH,5,10/9/08
WASH,4,9/18/08
WASH,3,8/1/08
WASH,2,7/22/08
WASH,3,7/17/08
WASH,2,6/30/08
WASH,3,6/12/08
WASH,2,1/23/08
WASH,1,11/1/07
WASH,2,8/16/07
WASH,0,5/15/06
WASH,1,1/6/06
WASH,2,2/19/04
WASH,3,2/4/04
WASH,4,1/29/04
WASH,5,7/16/03
WASH,4,5/12/03
WASH,5,10/7/02
WASH,4,8/30/02
WASH,5,6/28/02
WASH,4,1/25/02
WASH,5,6/20/01
WASH,4,5/11/01
WASH,3,3/30/01
WASH,2,3/16/01
WASH,1,3/9/01
WASH,0,11/21/00
WASH,1,5/24/00
WASH,2,3/20/00
WASH,1,3/17/00
WASH,0,3/16/00
WASH,1,1/7/00
WASH,2,1/4/00
WASH,3,12/8/99
WASH,2,11/8/99
WASH,0,3/9/99
WASH,1,2/19/99
WASH,2,1/7/99
WASH,3,10/20/98
WASH,2,10/6/98
WASH,3,9/22/98
WASH,5,9/1/98
WASH,4,6/23/98
WASH,3,6/22/98
WASH,1,3/16/98
WASH,2,2/27/98
WASH,3,11/3/97
WASH,2,10/27/97
WASH,1,9/5/97
WASH,0,2/14/97
WASH,1,10/14/96
WASH,0,10/11/96
