tick,dw_score,dw_date
WBS,4,2/27/24
WBS,3,11/29/23
WBS,2,10/24/23
WBS,3,9/12/23
WBS,2,7/14/23
WBS,1,6/7/23
WBS,0,3/15/23
WBS,1,3/13/23
WBS,2,3/10/23
WBS,3,1/26/23
WBS,2,12/13/22
WBS,3,12/6/22
WBS,4,10/21/22
WBS,3,8/16/22
WBS,2,6/30/22
WBS,3,4/8/22
WBS,4,3/29/22
WBS,3,3/4/22
WBS,4,1/6/22
WBS,3,9/27/21
WBS,2,7/7/21
WBS,3,4/20/21
WBS,4,12/15/20
WBS,3,11/3/20
WBS,2,10/22/20
WBS,1,7/7/20
WBS,2,6/5/20
WBS,1,4/8/20
WBS,0,3/6/20
WBS,1,2/24/20
WBS,2,11/5/19
WBS,1,5/23/19
WBS,2,3/20/19
WBS,3,12/24/18
WBS,4,9/27/18
WBS,5,4/20/18
WBS,3,3/23/18
WBS,4,9/7/17
WBS,5,10/26/16
WBS,4,1/13/16
WBS,5,5/13/15
WBS,4,2/20/15
WBS,3,12/7/12
WBS,4,11/30/12
WBS,5,2/17/12
WBS,4,10/6/11
WBS,3,9/22/11
WBS,4,9/14/11
WBS,3,8/10/11
WBS,4,8/8/11
WBS,5,1/18/11
WBS,4,12/14/10
WBS,3,9/7/10
WBS,4,8/24/10
WBS,5,1/21/10
WBS,4,11/4/09
WBS,5,6/16/09
WBS,4,5/8/09
WBS,3,5/6/09
WBS,2,4/23/09
WBS,3,4/22/09
WBS,4,4/17/09
WBS,3,4/13/09
WBS,2,3/30/09
WBS,4,3/10/09
WBS,2,3/5/09
WBS,3,2/26/09
WBS,0,2/20/09
WBS,1,2/10/09
WBS,2,2/6/09
WBS,0,2/3/09
WBS,1,2/2/09
WBS,2,1/28/09
WBS,0,1/16/09
WBS,1,1/12/09
WBS,2,11/26/08
WBS,1,11/20/08
WBS,2,10/15/08
WBS,3,9/16/08
WBS,2,8/8/08
WBS,1,7/21/08
WBS,0,7/17/08
WBS,1,3/6/08
WBS,2,2/7/08
WBS,1,10/22/07
WBS,2,7/25/07
WBS,0,4/5/07
WBS,1,4/4/07
WBS,2,4/23/04
WBS,3,4/12/02
WBS,2,12/5/01
WBS,3,9/27/01
WBS,2,4/26/01
WBS,1,3/22/01
WBS,2,12/20/00
WBS,1,9/28/00
WBS,0,3/8/00
WBS,1,12/15/99
WBS,2,12/8/99
WBS,3,6/11/99
WBS,4,5/25/99
WBS,3,2/25/99
WBS,4,2/2/99
WBS,3,11/6/98
WBS,2,8/5/98
WBS,3,9/3/96
WBS,2,4/25/96
WBS,3,4/20/95
WBS,2,11/8/94
WBS,3,5/4/94
WBS,2,1/7/94
WBS,3,6/8/92
WBS,2,1/29/92
WBS,1,11/14/90
WBS,0,4/11/90
WBS,1,1/10/90
WBS,0,12/29/89
WBS,1,2/16/89
WBS,0,5/19/87
WBS,1,12/15/86
WBS,0,12/12/86
