,AMGN US Equity
,BEST_EPS
2020-01-01,19.604
2020-01-02,19.499
2020-01-03,19.499
2020-01-04,19.499
2020-01-05,19.499
2020-01-06,19.499
2020-01-07,19.499
2020-01-08,19.499
2020-01-09,19.861
2020-01-10,19.861
2020-01-11,19.861
2020-01-12,19.861
2020-01-13,19.861
2020-01-14,19.861
2020-01-15,19.861
2020-01-16,19.861
2020-01-17,19.861
2020-01-18,19.861
2020-01-19,19.861
2020-01-20,19.879
2020-01-21,19.879
2020-01-22,19.879
2020-01-23,19.879
2020-01-24,19.964
2020-01-25,19.964
2020-01-26,19.964
2020-01-27,19.964
2020-01-28,19.964
2020-01-29,20.624
2020-01-30,20.618
2020-01-31,21.071
2020-02-01,21.071
2020-02-02,21.071
2020-02-03,21.071
2020-02-04,21.071
2020-02-05,21.071
2020-02-06,21.071
2020-02-07,21.071
2020-02-08,21.071
2020-02-09,21.071
2020-02-10,21.13
2020-02-11,21.13
2020-02-12,21.13
2020-02-13,21.13
2020-02-14,21.13
2020-02-15,21.13
2020-02-16,21.13
2020-02-17,21.13
2020-02-18,21.099
2020-02-19,21.099
2020-02-20,21.099
2020-02-21,21.419
2020-02-22,21.419
2020-02-23,21.419
2020-02-24,21.419
2020-02-25,21.419
2020-02-26,21.419
2020-02-27,21.419
2020-02-28,21.419
2020-02-29,21.419
2020-03-01,21.419
2020-03-02,21.419
2020-03-03,21.419
2020-03-04,21.419
2020-03-05,21.419
2020-03-06,21.419
2020-03-07,21.419
2020-03-08,21.419
2020-03-09,21.419
2020-03-10,21.419
2020-03-11,21.419
2020-03-12,21.419
2020-03-13,21.419
2020-03-14,21.419
2020-03-15,21.419
2020-03-16,21.419
2020-03-17,21.419
2020-03-18,21.419
2020-03-19,21.419
2020-03-20,21.419
2020-03-21,21.419
2020-03-22,21.419
2020-03-23,21.419
2020-03-24,21.419
2020-03-25,21.419
2020-03-26,21.419
2020-03-27,21.419
2020-03-28,21.419
2020-03-29,21.473
2020-03-30,21.528
2020-03-31,21.528
2020-04-01,21.528
2020-04-02,21.528
2020-04-03,21.528
2020-04-04,21.528
2020-04-05,21.528
2020-04-06,21.528
2020-04-07,21.528
2020-04-08,21.528
2020-04-09,21.528
2020-04-10,21.528
2020-04-11,21.528
2020-04-12,21.528
2020-04-13,21.528
2020-04-14,21.528
2020-04-15,21.528
2020-04-16,21.556
2020-04-17,21.556
2020-04-18,21.556
2020-04-19,21.556
2020-04-20,21.551
2020-04-21,21.54
2020-04-22,21.54
2020-04-23,21.54
2020-04-24,21.54
2020-04-25,21.54
2020-04-26,21.54
2020-04-27,21.54
2020-04-28,21.54
2020-04-29,21.54
2020-04-30,21.5
2020-05-01,21.338
2020-05-02,21.338
2020-05-03,21.338
2020-05-04,21.321
2020-05-05,21.321
2020-05-06,21.321
2020-05-07,21.321
2020-05-08,21.321
2020-05-09,21.321
2020-05-10,21.321
2020-05-11,21.321
2020-05-12,21.194
2020-05-13,20.689
2020-05-14,20.689
