,DISH US Equity
,BEST_EPS
2020-01-01,0.52
2020-01-02,0.52
2020-01-03,0.52
2020-01-04,0.52
2020-01-05,0.52
2020-01-06,0.52
2020-01-07,0.52
2020-01-08,0.52
2020-01-09,0.52
2020-01-10,0.52
2020-01-11,0.52
2020-01-12,0.52
2020-01-13,0.52
2020-01-14,0.52
2020-01-15,0.52
2020-01-16,0.52
2020-01-17,0.52
2020-01-18,0.52
2020-01-19,0.52
2020-01-20,0.52
2020-01-21,0.52
2020-01-22,0.52
2020-01-23,0.52
2020-01-24,0.52
2020-01-25,0.52
2020-01-26,0.52
2020-01-27,0.52
2020-01-28,0.52
2020-01-29,0.52
2020-01-30,0.52
2020-01-31,0.52
2020-02-01,0.52
2020-02-02,0.52
2020-02-03,0.52
2020-02-04,0.52
2020-02-05,0.52
2020-02-06,0.52
2020-02-07,0.52
2020-02-08,0.52
2020-02-09,0.52
2020-02-10,0.52
2020-02-11,0.52
2020-02-12,0.52
2020-02-13,0.52
2020-02-14,0.52
2020-02-15,0.52
2020-02-16,0.52
2020-02-17,0.52
2020-02-18,0.52
2020-02-19,2.33
2020-02-20,1.997
2020-02-21,1.997
2020-02-22,1.997
2020-02-23,1.997
2020-02-24,1.997
2020-02-25,1.997
2020-02-26,1.997
2020-02-27,1.997
2020-02-28,1.997
2020-02-29,1.997
2020-03-01,1.997
2020-03-02,1.997
2020-03-03,1.997
2020-03-04,1.997
2020-03-05,1.997
2020-03-06,1.997
2020-03-07,1.997
2020-03-08,1.997
2020-03-09,1.997
2020-03-10,1.997
2020-03-11,1.997
2020-03-12,1.997
2020-03-13,1.997
2020-03-14,1.997
2020-03-15,1.997
2020-03-16,1.997
2020-03-17,1.997
2020-03-18,1.997
2020-03-19,1.997
2020-03-20,1.997
2020-03-21,1.997
2020-03-22,1.997
2020-03-23,1.997
2020-03-24,1.997
2020-03-25,1.997
2020-03-26,1.997
2020-03-27,1.997
2020-03-28,1.997
2020-03-29,1.997
2020-03-30,1.997
2020-03-31,1.997
2020-04-01,2.33
2020-04-02,2.33
2020-04-03,2.33
2020-04-04,2.33
2020-04-05,2.33
2020-04-06,2.33
2020-04-07,2.33
2020-04-08,2.33
2020-04-09,2.33
2020-04-10,2.33
2020-04-11,2.33
2020-04-12,2.33
2020-04-13,0.54
2020-04-14,0.54
2020-04-15,0.54
2020-04-16,0.54
2020-04-17,0.54
2020-04-18,0.54
2020-04-19,0.54
2020-04-20,0.54
2020-04-21,0.54
2020-04-22,0.54
2020-04-23,0.54
2020-04-24,0.54
2020-04-25,0.54
2020-04-26,0.54
2020-04-27,0.54
2020-04-28,0.54
2020-04-29,0.54
2020-04-30,0.54
2020-05-01,0.54
2020-05-02,0.54
2020-05-03,0.54
2020-05-04,0.54
2020-05-05,0.54
2020-05-06,0.54
2020-05-07,1.165
2020-05-08,1.165
2020-05-09,1.165
2020-05-10,1.165
2020-05-11,1.167
2020-05-12,1.167
2020-05-13,1.167
2020-05-14,1.167
2020-05-15,1.167
2020-05-16,1.167
2020-05-17,1.167
2020-05-18,1.613
2020-05-19,1.613
2020-05-20,1.613
2020-05-21,1.613
2020-05-22,1.613
2020-05-23,1.613
2020-05-24,1.613
2020-05-25,1.613
2020-05-26,1.613
2020-05-27,1.613
2020-05-28,1.613
2020-05-29,1.613
2020-05-30,1.613
2020-05-31,1.613
2020-06-01,1.613
2020-06-02,1.613
2020-06-03,1.613
2020-06-04,1.613
2020-06-05,1.576
2020-06-06,1.576
2020-06-07,1.576
2020-06-08,1.576
2020-06-09,1.576
2020-06-10,1.576
2020-06-11,1.592
2020-06-12,1.592
2020-06-13,1.592
2020-06-14,1.592
2020-06-15,1.592
2020-06-16,1.592
2020-06-17,1.592
2020-06-18,1.592
2020-06-19,1.592
2020-06-20,1.592
2020-06-21,1.592
2020-06-22,1.592
2020-06-23,1.592
2020-06-24,1.592
2020-06-25,1.592
2020-06-26,1.592
2020-06-27,1.592
2020-06-28,1.592
2020-06-29,1.592
2020-06-30,1.592
2020-07-01,1.592
2020-07-02,1.592
2020-07-03,1.592
2020-07-04,1.592
2020-07-05,1.592
2020-07-06,1.592
2020-07-07,1.592
2020-07-08,1.592
2020-07-09,1.592
2020-07-10,1.592
2020-07-11,1.592
2020-07-12,1.592
2020-07-13,1.592
2020-07-14,1.705
2020-07-15,1.705
2020-07-16,0.797
2020-07-17,0.797
2020-07-18,0.797
2020-07-19,0.797
2020-07-20,0.797
2020-07-21,0.797
2020-07-22,0.797
2020-07-23,0.797
2020-07-24,0.797
2020-07-25,0.797
2020-07-26,0.797
2020-07-27,0.797
2020-07-28,0.797
2020-07-29,0.797
2020-07-30,0.797
2020-07-31,0.797
2020-08-01,0.797
2020-08-02,0.797
2020-08-03,0.797
2020-08-04,0.797
2020-08-05,0.797
2020-08-06,0.797
2020-08-07,0.797
2020-08-08,1.93
2020-08-09,2.842
2020-08-10,3.08
2020-08-11,3.244
2020-08-12,3.244
2020-08-13,3.264
2020-08-14,3.264
2020-08-15,3.264
2020-08-16,3.264
2020-08-17,3.264
2020-08-18,3.264
2020-08-19,3.264
2020-08-20,3.264
2020-08-21,3.264
2020-08-22,3.264
2020-08-23,3.264
2020-08-24,3.264
2020-08-25,3.264
2020-08-26,3.264
2020-08-27,3.264
2020-08-28,3.264
2020-08-29,3.264
2020-08-30,3.263
2020-08-31,3.263
2020-09-01,3.263
2020-09-02,3.263
2020-09-03,3.263
2020-09-04,3.263
2020-09-05,3.263
2020-09-06,3.263
2020-09-07,3.263
2020-09-08,3.263
2020-09-09,3.263
2020-09-10,3.263
2020-09-11,3.263
2020-09-12,3.263
2020-09-13,3.263
2020-09-14,3.263
2020-09-15,3.263
2020-09-16,3.263
2020-09-17,3.263
2020-09-18,3.263
2020-09-19,3.263
2020-09-20,3.263
2020-09-21,3.263
2020-09-22,3.263
2020-09-23,3.263
2020-09-24,3.263
2020-09-25,3.263
2020-09-26,3.263
2020-09-27,3.263
2020-09-28,3.263
2020-09-29,3.263
2020-09-30,3.263
2020-10-01,3.263
2020-10-02,3.263
2020-10-03,3.263
2020-10-04,3.263
2020-10-05,3.263
2020-10-06,3.263
2020-10-07,3.263
2020-10-08,3.263
2020-10-09,3.263
2020-10-10,3.263
2020-10-11,3.263
2020-10-12,3.263
2020-10-13,3.263
2020-10-14,3.263
2020-10-15,3.263
2020-10-16,3.263
2020-10-17,3.263
2020-10-18,3.263
2020-10-19,3.263
2020-10-20,3.263
2020-10-21,3.263
2020-10-22,3.263
2020-10-23,3.263
2020-10-24,3.095
2020-10-25,3.095
2020-10-26,3.095
2020-10-27,3.095
2020-10-28,3.095
2020-10-29,3.095
2020-10-30,3.095
2020-10-31,3.095
2020-11-01,3.095
2020-11-02,3.095
2020-11-03,3.095
2020-11-04,3.095
2020-11-05,3.095
2020-11-06,3.095
2020-11-07,3.095
2020-11-08,2.452
2020-11-09,2.452
2020-11-10,2.452
2020-11-11,2.303
2020-11-12,2.303
2020-11-13,1.953
2020-11-14,1.953
2020-11-15,1.953
2020-11-16,1.953
2020-11-17,2.018
2020-11-18,2.018
2020-11-19,2.018
2020-11-20,1.957
2020-11-21,1.957
2020-11-22,1.957
2020-11-23,1.741
2020-11-24,1.741
2020-11-25,1.741
2020-11-26,1.741
2020-11-27,1.741
2020-11-28,1.741
2020-11-29,1.741
2020-11-30,1.741
2020-12-01,1.741
2020-12-02,1.741
2020-12-03,1.741
2020-12-04,1.726
2020-12-05,1.726
2020-12-06,1.726
2020-12-07,1.726
2020-12-08,1.726
2020-12-09,1.726
2020-12-10,1.726
2020-12-11,1.726
2020-12-12,1.726
2020-12-13,1.726
2020-12-14,1.726
2020-12-15,1.726
2020-12-16,1.726
2020-12-17,1.677
2020-12-18,1.677
2020-12-19,1.677
2020-12-20,1.677
2020-12-21,1.615
2020-12-22,1.615
2020-12-23,1.615
2020-12-24,1.615
2020-12-25,1.615
2020-12-26,1.615
2020-12-27,1.615
2020-12-28,1.615
2020-12-29,1.615
2020-12-30,1.615
2020-12-31,1.615
2021-01-01,1.615
2021-01-02,1.615
2021-01-03,1.615
2021-01-04,1.615
2021-01-05,1.615
2021-01-06,1.615
2021-01-07,1.615
2021-01-08,1.615
