,ROP US Equity
,BEST_EPS
2020-01-01,17.6
2020-01-02,17.6
2020-01-03,17.6
2020-01-04,17.6
2020-01-05,17.6
2020-01-06,17.6
2020-01-07,17.6
2020-01-08,17.6
2020-01-09,17.6
2020-01-10,17.6
2020-01-11,17.6
2020-01-12,17.6
2020-01-13,17.6
2020-01-14,17.6
2020-01-15,17.6
2020-01-16,17.6
2020-01-17,17.6
2020-01-18,17.6
2020-01-19,17.6
2020-01-20,17.6
2020-01-21,17.6
2020-01-22,17.6
2020-01-23,17.6
2020-01-24,17.6
2020-01-25,17.6
2020-01-26,17.6
2020-01-27,17.6
2020-01-28,17.6
2020-01-29,17.6
2020-01-30,17.6
2020-01-31,17.6
2020-02-01,17.6
2020-02-02,17.6
2020-02-03,17.6
2020-02-04,17.6
2020-02-05,17.6
2020-02-06,17.6
2020-02-07,17.6
2020-02-08,17.6
2020-02-09,17.6
2020-02-10,17.6
2020-02-11,17.6
2020-02-12,17.6
2020-02-13,17.6
2020-02-14,17.6
2020-02-15,17.6
2020-02-16,17.6
2020-02-17,17.6
2020-02-18,17.6
2020-02-19,17.6
2020-02-20,17.6
2020-02-21,17.6
2020-02-22,17.6
2020-02-23,17.6
2020-02-24,17.6
2020-02-25,17.6
2020-02-26,17.6
2020-02-27,17.6
2020-02-28,17.6
2020-02-29,17.6
2020-03-01,17.6
2020-03-02,17.6
2020-03-03,17.6
2020-03-04,17.6
2020-03-05,17.6
2020-03-06,17.6
2020-03-07,17.6
2020-03-08,17.6
2020-03-09,17.6
2020-03-10,17.6
2020-03-11,17.6
2020-03-12,17.6
2020-03-13,17.6
2020-03-14,17.6
2020-03-15,17.6
2020-03-16,17.6
2020-03-17,17.6
2020-03-18,17.6
2020-03-19,17.6
2020-03-20,17.6
2020-03-21,17.6
2020-03-22,17.6
2020-03-23,17.6
2020-03-24,17.6
2020-03-25,17.6
2020-03-26,17.6
2020-03-27,17.6
2020-03-28,17.6
2020-03-29,17.6
2020-03-30,17.6
2020-03-31,17.6
2020-04-01,17.6
2020-04-02,17.6
2020-04-03,17.6
2020-04-04,17.6
2020-04-05,17.6
2020-04-06,17.6
2020-04-07,17.6
2020-04-08,17.6
2020-04-09,17.6
2020-04-10,17.6
2020-04-11,17.6
2020-04-12,17.6
2020-04-13,17.6
2020-04-14,17.6
2020-04-15,17.6
2020-04-16,17.6
2020-04-17,17.6
2020-04-18,17.6
2020-04-19,17.6
2020-04-20,17.6
2020-04-21,17.6
2020-04-22,17.6
2020-04-23,17.6
2020-04-24,17.6
2020-04-25,17.6
2020-04-26,17.6
2020-04-27,17.6
2020-04-28,17.6
2020-04-29,17.6
2020-04-30,17.6
2020-05-01,17.6
2020-05-02,17.6
2020-05-03,17.6
2020-05-04,17.6
2020-05-05,17.6
2020-05-06,17.6
2020-05-07,22.97
2020-05-08,22.97
2020-05-09,22.97
2020-05-10,22.97
2020-05-11,22.97
2020-05-12,22.97
2020-05-13,22.97
2020-05-14,22.97
2020-05-15,22.97
2020-05-16,22.97
2020-05-17,22.97
2020-05-18,21.185
2020-05-19,21.185
2020-05-20,21.185
2020-05-21,21.185
2020-05-22,21.185
2020-05-23,21.185
2020-05-24,21.185
2020-05-25,21.185
2020-05-26,21.185
2020-05-27,21.185
2020-05-28,21.185
2020-05-29,21.185
2020-05-30,21.185
2020-05-31,21.185
2020-06-01,21.185
2020-06-02,21.185
2020-06-03,21.185
2020-06-04,21.185
2020-06-05,21.185
2020-06-06,21.185
2020-06-07,21.185
2020-06-08,21.185
2020-06-09,21.185
2020-06-10,21.185
2020-06-11,21.185
2020-06-12,21.185
2020-06-13,21.185
2020-06-14,21.185
2020-06-15,21.185
2020-06-16,21.185
2020-06-17,21.185
2020-06-18,21.185
2020-06-19,21.185
2020-06-20,21.185
2020-06-21,21.185
2020-06-22,21.185
2020-06-23,21.185
2020-06-24,21.185
2020-06-25,21.185
2020-06-26,21.185
2020-06-27,21.185
2020-06-28,21.185
2020-06-29,21.185
2020-06-30,21.185
2020-07-01,21.185
2020-07-02,21.185
2020-07-03,21.185
2020-07-04,21.185
2020-07-05,21.185
2020-07-06,21.185
2020-07-07,19.017
2020-07-08,19.017
2020-07-09,19.017
2020-07-10,19.017
2020-07-11,19.017
2020-07-12,19.017
2020-07-13,19.017
2020-07-14,19.017
2020-07-15,19.017
2020-07-16,19.017
2020-07-17,19.017
2020-07-18,19.017
2020-07-19,19.017
2020-07-20,19.017
2020-07-21,19.017
2020-07-22,19.017
2020-07-23,19.017
2020-07-24,19.017
2020-07-25,19.017
2020-07-26,19.017
2020-07-27,19.017
2020-07-28,19.017
2020-07-29,18.93
2020-07-30,18.93
2020-07-31,18.93
2020-08-01,18.93
2020-08-02,18.933
2020-08-03,18.933
2020-08-04,18.933
2020-08-05,18.933
2020-08-06,18.933
2020-08-07,18.933
2020-08-08,18.933
2020-08-09,18.933
2020-08-10,18.933
2020-08-11,18.933
2020-08-12,18.933
2020-08-13,18.933
2020-08-14,19.643
2020-08-15,19.643
2020-08-16,19.643
2020-08-17,19.643
2020-08-18,19.643
2020-08-19,19.643
2020-08-20,19.643
2020-08-21,19.85
2020-08-22,19.85
2020-08-23,19.85
2020-08-24,19.85
2020-08-25,19.85
2020-08-26,19.85
2020-08-27,19.85
2020-08-28,19.85
2020-08-29,19.85
2020-08-30,19.85
2020-08-31,19.85
2020-09-01,19.85
2020-09-02,19.85
2020-09-03,19.85
2020-09-04,19.85
2020-09-05,19.85
2020-09-06,19.85
2020-09-07,19.85
2020-09-08,19.85
2020-09-09,19.85
2020-09-10,19.85
2020-09-11,19.85
2020-09-12,19.85
2020-09-13,19.85
2020-09-14,19.85
2020-09-15,19.85
2020-09-16,19.85
2020-09-17,19.85
2020-09-18,19.85
2020-09-19,19.85
2020-09-20,19.85
2020-09-21,19.85
2020-09-22,19.85
2020-09-23,19.85
2020-09-24,19.85
2020-09-25,19.85
2020-09-26,19.85
2020-09-27,19.85
2020-09-28,19.85
2020-09-29,19.85
2020-09-30,19.85
2020-10-01,19.85
2020-10-02,19.85
2020-10-03,19.85
2020-10-04,19.85
2020-10-05,20.67
2020-10-06,20.67
2020-10-07,20.67
2020-10-08,20.67
2020-10-09,20.67
2020-10-10,20.67
2020-10-11,20.67
2020-10-12,20.67
2020-10-13,20.67
2020-10-14,20.67
2020-10-15,20.67
2020-10-16,20.67
2020-10-17,20.67
2020-10-18,20.67
2020-10-19,20.67
2020-10-20,20.67
2020-10-21,20.67
2020-10-22,20.67
2020-10-23,20.67
2020-10-24,20.67
2020-10-25,20.67
2020-10-26,20.67
2020-10-27,20.67
2020-10-28,21.37
2020-10-29,21.37
2020-10-30,21.367
2020-10-31,21.367
2020-11-01,21.367
2020-11-02,21.367
2020-11-03,21.367
2020-11-04,21.367
2020-11-05,21.367
2020-11-06,21.367
2020-11-07,21.367
2020-11-08,21.367
2020-11-09,21.367
2020-11-10,21.367
2020-11-11,21.367
2020-11-12,21.367
2020-11-13,22.04
2020-11-14,22.04
2020-11-15,22.04
2020-11-16,22.04
2020-11-17,22.04
2020-11-18,22.04
2020-11-19,22.04
2020-11-20,22.04
2020-11-21,22.04
2020-11-22,22.04
2020-11-23,22.04
2020-11-24,22.04
2020-11-25,22.04
2020-11-26,22.04
2020-11-27,22.04
2020-11-28,22.04
2020-11-29,22.04
2020-11-30,22.04
2020-12-01,22.04
2020-12-02,22.04
2020-12-03,22.04
2020-12-04,22.04
2020-12-05,22.04
2020-12-06,22.04
2020-12-07,22.04
2020-12-08,22.04
2020-12-09,22.04
2020-12-10,22.04
2020-12-11,22.04
2020-12-12,22.04
2020-12-13,22.04
2020-12-14,22.04
2020-12-15,22.04
2020-12-16,22.04
2020-12-17,22.04
2020-12-18,22.04
2020-12-19,22.04
2020-12-20,22.04
2020-12-21,22.04
2020-12-22,22.04
2020-12-23,22.04
2020-12-24,22.04
2020-12-25,22.04
2020-12-26,22.04
2020-12-27,22.04
2020-12-28,22.04
2020-12-29,22.04
2020-12-30,22.04
2020-12-31,22.04
2021-01-01,22.04
2021-01-02,22.04
2021-01-03,22.04
2021-01-04,22.04
2021-01-05,20.453
2021-01-06,20.49
2021-01-07,20.49
2021-01-08,20.49
2021-01-09,20.49
2021-01-10,20.49
2021-01-11,20.49
2021-01-12,20.49
2021-01-13,20.49
2021-01-14,20.49
2021-01-15,20.49
2021-01-16,20.49
2021-01-17,20.49
2021-01-18,20.49
2021-01-19,20.49
2021-01-20,20.49
2021-01-21,20.49
2021-01-22,20.49
2021-01-23,20.49
2021-01-24,20.49
2021-01-25,20.49
2021-01-26,20.49
2021-01-27,20.49
2021-01-28,20.49
2021-01-29,20.49
2021-01-30,19.833
2021-01-31,19.833
2021-02-01,19.65
2021-02-02,19.65
2021-02-03,19.65
2021-02-04,19.65
2021-02-05,19.65
2021-02-06,19.65
2021-02-07,19.65
2021-02-08,19.65
2021-02-09,19.65
2021-02-10,19.65
2021-02-11,19.65
2021-02-12,19.65
2021-02-13,19.65
2021-02-14,19.65
2021-02-15,19.65
2021-02-16,19.65
2021-02-17,19.65
2021-02-18,19.65
2021-02-19,19.65
2021-02-20,19.65
2021-02-21,19.65
2021-02-22,19.65
2021-02-23,19.65
2021-02-24,19.65
2021-02-25,19.65
2021-02-26,19.65
2021-02-27,19.253
2021-02-28,19.253
2021-03-01,19.253
2021-03-02,19.453
2021-03-03,19.453
2021-03-04,19.453
2021-03-05,19.453
2021-03-06,19.453
2021-03-07,19.453
2021-03-08,19.453
2021-03-09,19.453
2021-03-10,19.453
2021-03-11,19.453
2021-03-12,19.453
2021-03-13,19.453
2021-03-14,19.453
2021-03-15,19.453
2021-03-16,19.453
2021-03-17,19.453
2021-03-18,19.758
2021-03-19,19.758
2021-03-20,19.758
2021-03-21,19.758
2021-03-22,19.758
2021-03-23,19.758
2021-03-24,19.758
2021-03-25,19.758
2021-03-26,19.758
2021-03-27,19.758
2021-03-28,19.758
2021-03-29,19.758
2021-03-30,19.758
2021-03-31,19.758
2021-04-01,19.758
2021-04-02,19.758
2021-04-03,19.758
2021-04-04,19.758
2021-04-05,19.758
2021-04-06,19.778
2021-04-07,19.778
2021-04-08,19.778
2021-04-09,19.778
2021-04-10,19.778
2021-04-11,19.778
2021-04-12,19.778
2021-04-13,19.778
2021-04-14,19.778
2021-04-15,19.778
2021-04-16,19.778
2021-04-17,19.778
2021-04-18,19.778
2021-04-19,19.778
