,ULTA US Equity
,BEST_EPS
2019-01-01,24.33
2019-01-02,24.33
2019-01-03,24.33
2019-01-04,24.33
2019-01-05,24.33
2019-01-06,24.33
2019-01-07,24.33
2019-01-08,24.33
2019-01-09,24.33
2019-01-10,24.33
2019-01-11,24.33
2019-01-12,24.33
2019-01-13,24.33
2019-01-14,24.33
2019-01-15,24.33
2019-01-16,24.33
2019-01-17,24.33
2019-01-18,24.33
2019-01-19,24.33
2019-01-20,24.33
2019-01-21,24.33
2019-01-22,24.33
2019-01-23,24.33
2019-01-24,24.33
2019-01-25,24.33
2019-01-26,24.33
2019-01-27,24.33
2019-01-28,24.33
2019-01-29,24.33
2019-01-30,24.33
2019-01-31,24.33
2019-02-01,24.33
2019-02-02,24.33
2019-02-03,24.33
2019-02-04,24.33
2019-02-05,24.33
2019-02-06,24.33
2019-02-07,24.33
2019-02-08,24.33
2019-02-09,24.33
2019-02-10,24.33
2019-02-11,24.33
2019-02-12,24.33
2019-02-13,24.33
2019-02-14,24.33
2019-02-15,24.33
2019-02-16,24.33
2019-02-17,24.33
2019-02-18,24.33
2019-02-19,24.33
2019-02-20,24.33
2019-02-21,24.33
2019-02-22,24.33
2019-02-23,24.33
2019-02-24,24.33
2019-02-25,24.33
2019-02-26,24.33
2019-02-27,24.33
2019-02-28,24.33
2019-03-01,24.33
2019-03-02,24.33
2019-03-03,24.33
2019-03-04,24.33
2019-03-05,24.33
2019-03-06,24.33
2019-03-07,24.33
2019-03-08,24.33
2019-03-09,24.33
2019-03-10,24.33
2019-03-11,24.33
2019-03-12,24.33
2019-03-13,24.33
2019-03-14,24.33
2019-03-15,24.33
2019-03-16,24.33
2019-03-17,24.33
2019-03-18,24.33
2019-03-19,24.33
2019-03-20,24.33
2019-03-21,24.33
2019-03-22,24.33
2019-03-23,24.33
2019-03-24,24.33
2019-03-25,24.33
2019-03-26,24.33
2019-03-27,24.33
2019-03-28,24.33
2019-03-29,24.33
2019-03-30,24.33
2019-03-31,24.33
2019-04-01,24.33
2019-04-02,24.33
2019-04-03,24.33
2019-04-04,24.33
2019-04-05,24.33
2019-04-06,24.33
2019-04-07,24.33
2019-04-08,24.33
2019-04-09,24.33
2019-04-10,24.33
2019-04-11,24.33
2019-04-12,24.33
2019-04-13,24.33
2019-04-14,24.33
2019-04-15,24.33
2019-04-16,24.33
2019-04-17,24.33
2019-04-18,24.33
2019-04-19,24.33
2019-04-20,24.33
2019-04-21,24.33
2019-04-22,24.33
2019-04-23,24.33
2019-04-24,24.33
2019-04-25,24.33
2019-04-26,24.33
2019-04-27,24.33
2019-04-28,24.33
2019-04-29,24.33
2019-04-30,24.33
2019-05-01,24.33
2019-05-02,24.33
2019-05-03,24.33
2019-05-04,24.33
2019-05-05,24.33
2019-05-06,24.33
2019-05-07,24.33
2019-05-08,24.33
2019-05-09,24.33
2019-05-10,24.33
2019-05-11,24.33
2019-05-12,24.33
2019-05-13,24.33
2019-05-14,24.33
2019-05-15,24.33
2019-05-16,24.33
2019-05-17,24.33
2019-05-18,24.33
2019-05-19,24.33
2019-05-20,24.33
2019-05-21,24.33
2019-05-22,24.33
2019-05-23,24.33
2019-05-24,24.33
2019-05-25,24.33
2019-05-26,24.33
2019-05-27,24.33
2019-05-28,24.33
2019-05-29,24.33
2019-05-30,24.33
2019-05-31,24.33
2019-06-01,24.33
2019-06-02,24.33
2019-06-03,24.33
2019-06-04,24.33
2019-06-05,24.33
2019-06-06,24.33
2019-06-07,24.33
2019-06-08,24.33
2019-06-09,24.33
2019-06-10,24.33
2019-06-11,24.33
2019-06-12,24.33
2019-06-13,24.33
2019-06-14,24.33
2019-06-15,24.33
2019-06-16,24.33
2019-06-17,26.17
2019-06-18,26.17
2019-06-19,26.17
2019-06-20,26.17
2019-06-21,26.17
2019-06-22,26.17
2019-06-23,26.17
2019-06-24,26.17
2019-06-25,26.17
2019-06-26,26.17
2019-06-27,26.17
2019-06-28,26.17
2019-06-29,26.17
2019-06-30,26.17
2019-07-01,26.17
2019-07-02,26.17
2019-07-03,26.17
2019-07-04,26.17
2019-07-05,26.17
2019-07-06,26.17
2019-07-07,26.17
2019-07-08,26.17
2019-07-09,26.17
2019-07-10,26.17
2019-07-11,26.17
2019-07-12,26.17
2019-07-13,26.17
2019-07-14,26.17
2019-07-15,26.17
2019-07-16,26.17
2019-07-17,26.17
2019-07-18,26.17
2019-07-19,26.17
2019-07-20,26.17
2019-07-21,26.17
2019-07-22,26.17
2019-07-23,26.17
2019-07-24,26.17
2019-07-25,26.17
2019-07-26,26.17
2019-07-27,26.17
2019-07-28,26.17
2019-07-29,26.17
2019-07-30,26.17
2019-07-31,26.17
2019-08-01,26.17
2019-08-02,26.17
2019-08-03,26.17
2019-08-04,26.17
2019-08-05,26.17
2019-08-06,26.17
2019-08-07,26.17
2019-08-08,26.17
2019-08-09,26.17
2019-08-10,26.17
2019-08-11,26.17
2019-08-12,26.17
2019-08-13,26.17
2019-08-14,26.17
2019-08-15,26.17
2019-08-16,26.17
2019-08-17,26.17
2019-08-18,26.17
2019-08-19,26.17
2019-08-20,26.17
2019-08-21,26.17
2019-08-22,26.17
2019-08-23,26.17
2019-08-24,26.17
2019-08-25,26.17
2019-08-26,26.17
2019-08-27,26.17
2019-08-28,26.17
2019-08-29,26.17
2019-08-30,26.17
2019-08-31,26.17
2019-09-01,26.17
2019-09-02,26.17
2019-09-03,26.17
2019-09-04,26.17
2019-09-05,26.17
2019-09-06,26.17
2019-09-07,26.17
2019-09-08,26.17
2019-09-09,26.17
2019-09-10,26.17
