,URI US Equity
,BEST_EPS
2020-01-01,43.44
2020-01-02,43.44
2020-01-03,43.44
2020-01-04,43.44
2020-01-05,43.44
2020-01-06,43.44
2020-01-07,43.44
2020-01-08,43.44
2020-01-09,43.44
2020-01-10,43.44
2020-01-11,43.44
2020-01-12,43.44
2020-01-13,43.44
2020-01-14,43.44
2020-01-15,43.44
2020-01-16,43.44
2020-01-17,43.44
2020-01-18,43.44
2020-01-19,43.44
2020-01-20,43.44
2020-01-21,43.44
2020-01-22,43.44
2020-01-23,43.44
2020-01-24,43.44
2020-01-25,43.44
2020-01-26,43.44
2020-01-27,43.44
2020-01-28,43.44
2020-01-29,43.44
2020-01-30,43.44
2020-01-31,43.44
2020-02-01,43.44
2020-02-02,43.44
2020-02-03,43.44
2020-02-04,43.44
2020-02-05,43.44
2020-02-06,43.44
2020-02-07,43.44
2020-02-08,43.44
2020-02-09,43.44
2020-02-10,43.44
2020-02-11,43.44
2020-02-12,43.44
2020-02-13,43.44
2020-02-14,43.44
2020-02-15,43.44
2020-02-16,43.44
2020-02-17,43.44
2020-02-18,43.44
2020-02-19,43.44
2020-02-20,43.44
2020-02-21,43.44
2020-02-22,43.44
2020-02-23,43.44
2020-02-24,43.44
2020-02-25,43.44
2020-02-26,43.44
2020-02-27,43.44
2020-02-28,43.44
2020-02-29,43.44
2020-03-01,43.44
2020-03-02,43.44
2020-03-03,43.44
2020-03-04,43.44
2020-03-05,43.44
2020-03-06,43.44
2020-03-07,43.44
2020-03-08,43.44
2020-03-09,43.44
2020-03-10,43.44
2020-03-11,43.44
2020-03-12,43.44
2020-03-13,43.44
2020-03-14,43.44
2020-03-15,43.44
2020-03-16,43.44
2020-03-17,43.44
2020-03-18,43.44
2020-03-19,43.44
2020-03-20,43.44
2020-03-21,43.44
2020-03-22,43.44
2020-03-23,43.44
2020-03-24,43.44
2020-03-25,43.44
2020-03-26,43.44
2020-03-27,43.44
2020-03-28,43.44
2020-03-29,43.44
2020-03-30,43.44
2020-03-31,43.44
2020-04-01,43.44
2020-04-02,43.44
2020-04-03,43.44
2020-04-04,43.44
2020-04-05,43.44
2020-04-06,43.44
2020-04-07,43.44
2020-04-08,43.44
2020-04-09,43.44
2020-04-10,43.44
2020-04-11,43.44
2020-04-12,43.44
2020-04-13,43.44
2020-04-14,43.44
2020-04-15,43.44
2020-04-16,43.44
2020-04-17,43.44
2020-04-18,43.44
2020-04-19,43.44
2020-04-20,43.44
2020-04-21,43.44
2020-04-22,43.44
2020-04-23,43.44
2020-04-24,43.44
2020-04-25,43.44
2020-04-26,43.44
2020-04-27,43.44
2020-04-28,43.44
2020-04-29,43.44
2020-04-30,43.44
2020-05-01,43.44
2020-05-02,43.44
2020-05-03,43.44
2020-05-04,43.44
2020-05-05,43.44
2020-05-06,43.44
2020-05-07,43.44
2020-05-08,43.44
2020-05-09,43.44
2020-05-10,43.44
2020-05-11,43.44
