,VRTX US Equity
,BEST_EPS
2020-01-01,14.904
2020-01-02,14.904
2020-01-03,14.904
2020-01-04,14.904
2020-01-05,14.904
2020-01-06,14.998
2020-01-07,14.998
2020-01-08,14.998
2020-01-09,15.148
2020-01-10,15.148
2020-01-11,15.148
2020-01-12,15.148
2020-01-13,15.148
2020-01-14,15.148
2020-01-15,15.148
2020-01-16,15.148
2020-01-17,15.148
2020-01-18,15.148
2020-01-19,15.148
2020-01-20,15.148
2020-01-21,15.146
2020-01-22,15.146
2020-01-23,15.146
2020-01-24,14.94
2020-01-25,14.94
2020-01-26,14.94
2020-01-27,15.684
2020-01-28,15.684
2020-01-29,15.635
2020-01-30,14.974
2020-01-31,14.815
2020-02-01,14.815
2020-02-02,14.815
2020-02-03,14.815
2020-02-04,14.815
2020-02-05,14.815
2020-02-06,14.815
2020-02-07,14.815
2020-02-08,14.815
2020-02-09,14.823
2020-02-10,14.823
2020-02-11,14.823
2020-02-12,14.823
2020-02-13,14.823
2020-02-14,14.823
2020-02-15,14.823
2020-02-16,14.823
2020-02-17,14.823
2020-02-18,14.823
2020-02-19,15.365
2020-02-20,15.365
2020-02-21,15.365
2020-02-22,15.365
2020-02-23,15.365
2020-02-24,15.365
2020-02-25,15.365
2020-02-26,15.365
2020-02-27,15.365
2020-02-28,15.365
2020-02-29,15.365
2020-03-01,15.365
2020-03-02,15.365
2020-03-03,15.365
2020-03-04,15.369
2020-03-05,15.369
2020-03-06,15.369
2020-03-07,15.369
2020-03-08,15.369
2020-03-09,15.369
2020-03-10,15.369
2020-03-11,15.507
2020-03-12,15.507
2020-03-13,15.507
2020-03-14,15.507
2020-03-15,15.507
2020-03-16,15.507
2020-03-17,15.507
2020-03-18,15.572
2020-03-19,15.572
2020-03-20,15.572
2020-03-21,15.572
2020-03-22,15.572
2020-03-23,15.572
2020-03-24,15.572
2020-03-25,15.572
2020-03-26,15.517
2020-03-27,15.517
2020-03-28,15.517
2020-03-29,15.517
2020-03-30,15.517
2020-03-31,15.517
2020-04-01,15.517
2020-04-02,15.517
2020-04-03,15.517
2020-04-04,15.517
2020-04-05,15.517
2020-04-06,15.43
2020-04-07,15.43
2020-04-08,15.43
2020-04-09,15.43
2020-04-10,15.43
2020-04-11,15.43
2020-04-12,15.43
2020-04-13,15.489
2020-04-14,15.489
2020-04-15,15.489
2020-04-16,15.489
2020-04-17,15.489
2020-04-18,15.489
2020-04-19,15.489
2020-04-20,15.489
2020-04-21,15.486
2020-04-22,15.486
2020-04-23,15.486
2020-04-24,15.486
2020-04-25,15.486
2020-04-26,15.486
2020-04-27,15.486
2020-04-28,15.486
2020-04-29,15.432
2020-04-30,15.779
2020-05-01,15.845
2020-05-02,15.845
2020-05-03,15.845
2020-05-04,15.845
2020-05-05,15.845
2020-05-06,15.845
2020-05-07,15.845
2020-05-08,15.845
2020-05-09,15.845
2020-05-10,15.845
2020-05-11,15.845
2020-05-12,15.845
2020-05-13,15.845
2020-05-14,15.845
2020-05-15,15.845
2020-05-16,15.845
2020-05-17,15.845
2020-05-18,15.845
2020-05-19,15.845
2020-05-20,15.845
2020-05-21,15.845
2020-05-22,15.845
2020-05-23,15.845
2020-05-24,15.845
2020-05-25,15.845
2020-05-26,15.845
2020-05-27,15.845
2020-05-28,15.845
2020-05-29,15.845
2020-05-30,15.845
2020-05-31,15.845
2020-06-01,15.845
2020-06-02,15.845
2020-06-03,15.845
2020-06-04,15.845
2020-06-05,15.845
2020-06-06,15.845
2020-06-07,15.845
2020-06-08,15.845
2020-06-09,15.845
2020-06-10,15.845
2020-06-11,15.845
2020-06-12,15.779
2020-06-13,15.779
2020-06-14,15.779
2020-06-15,15.779
2020-06-16,15.779
2020-06-17,15.779
2020-06-18,15.779
2020-06-19,15.779
2020-06-20,15.779
2020-06-21,15.779
2020-06-22,15.779
2020-06-23,15.902
2020-06-24,15.902
2020-06-25,15.902
2020-06-26,15.902
2020-06-27,15.902
2020-06-28,15.902
2020-06-29,15.902
2020-06-30,15.902
2020-07-01,15.902
2020-07-02,15.902
2020-07-03,15.902
2020-07-04,15.902
2020-07-05,15.902
2020-07-06,15.906
2020-07-07,15.906
2020-07-08,15.906
2020-07-09,15.906
2020-07-10,15.961
2020-07-11,15.961
2020-07-12,15.961
2020-07-13,15.961
2020-07-14,15.961
2020-07-15,15.961
2020-07-16,15.961
2020-07-17,15.961
2020-07-18,15.961
2020-07-19,15.961
2020-07-20,15.989
2020-07-21,16.185
2020-07-22,16.185
2020-07-23,16.185
2020-07-24,16.18
2020-07-25,16.18
2020-07-26,16.18
2020-07-27,16.18
2020-07-28,16.18
2020-07-29,16.18
2020-07-30,16.282
2020-07-31,16.523
2020-08-01,16.553
2020-08-02,16.553
2020-08-03,16.553
2020-08-04,16.553
2020-08-05,16.553
2020-08-06,16.553
2020-08-07,16.553
2020-08-08,16.553
2020-08-09,16.553
2020-08-10,16.553
2020-08-11,16.553
2020-08-12,16.553
2020-08-13,16.553
2020-08-14,16.553
2020-08-15,16.553
2020-08-16,16.553
2020-08-17,16.553
2020-08-18,16.553
2020-08-19,16.553
2020-08-20,16.553
2020-08-21,16.553
2020-08-22,16.553
2020-08-23,16.553
2020-08-24,16.585
2020-08-25,16.585
2020-08-26,16.585
2020-08-27,16.585
2020-08-28,16.585
2020-08-29,16.585
2020-08-30,16.585
2020-08-31,16.585
2020-09-01,16.585
2020-09-02,16.585
2020-09-03,16.585
2020-09-04,16.585
2020-09-05,16.585
2020-09-06,16.585
2020-09-07,16.585
2020-09-08,16.585
2020-09-09,16.585
2020-09-10,16.585
2020-09-11,16.585
2020-09-12,16.585
2020-09-13,16.585
2020-09-14,16.585
2020-09-15,16.585
2020-09-16,16.585
2020-09-17,16.585
2020-09-18,16.585
2020-09-19,16.585
2020-09-20,16.585
2020-09-21,16.585
2020-09-22,16.585
2020-09-23,16.585
2020-09-24,16.585
2020-09-25,16.585
2020-09-26,16.585
2020-09-27,16.585
2020-09-28,16.585
2020-09-29,16.585
2020-09-30,16.585
2020-10-01,16.585
2020-10-02,16.585
2020-10-03,16.585
2020-10-04,16.585
2020-10-05,16.603
2020-10-06,16.603
2020-10-07,16.603
2020-10-08,16.603
2020-10-09,16.603
2020-10-10,16.603
2020-10-11,16.603
2020-10-12,16.603
2020-10-13,16.708
2020-10-14,16.658
2020-10-15,16.622
2020-10-16,16.61
2020-10-17,16.61
2020-10-18,16.61
2020-10-19,16.409
2020-10-20,16.409
2020-10-21,16.325
2020-10-22,16.325
2020-10-23,16.325
2020-10-24,16.325
2020-10-25,16.325
2020-10-26,16.325
2020-10-27,16.325
2020-10-28,16.325
2020-10-29,16.052
2020-10-30,15.948
2020-10-31,15.503
2020-11-01,15.503
2020-11-02,15.503
2020-11-03,15.503
2020-11-04,15.503
2020-11-05,15.503
2020-11-06,15.503
2020-11-07,15.503
2020-11-08,15.503
2020-11-09,15.503
2020-11-10,15.503
2020-11-11,15.503
2020-11-12,15.503
2020-11-13,15.503
2020-11-14,15.503
2020-11-15,15.503
2020-11-16,15.503
2020-11-17,15.503
2020-11-18,15.503
2020-11-19,15.567
2020-11-20,15.567
2020-11-21,15.567
2020-11-22,15.567
2020-11-23,15.567
2020-11-24,15.567
2020-11-25,15.567
2020-11-26,15.567
2020-11-27,15.567
2020-11-28,15.567
2020-11-29,15.567
2020-11-30,15.569
2020-12-01,15.569
2020-12-02,15.569
2020-12-03,15.569
2020-12-04,15.569
2020-12-05,15.569
2020-12-06,15.569
2020-12-07,15.569
2020-12-08,15.569
2020-12-09,15.52
2020-12-10,15.52
2020-12-11,15.52
2020-12-12,15.52
2020-12-13,15.52
2020-12-14,15.52
2020-12-15,15.52
2020-12-16,15.52
2020-12-17,15.52
2020-12-18,15.52
2020-12-19,15.52
2020-12-20,15.52
2020-12-21,15.52
2020-12-22,15.52
2020-12-23,15.52
2020-12-24,15.52
2020-12-25,15.52
2020-12-26,15.52
2020-12-27,15.52
2020-12-28,15.52
2020-12-29,15.614
2020-12-30,15.614
2020-12-31,15.614
