,LLY US Equity
,BEST_EPS_NXT_YR
2019-01-01,9.995
2019-01-02,9.995
2019-01-03,9.995
2019-01-04,9.995
2019-01-05,9.995
2019-01-06,9.995
2019-01-07,9.995
2019-01-08,10.058
2019-01-09,10.058
2019-01-10,10.058
2019-01-11,10.058
2019-01-12,10.058
2019-01-13,10.058
2019-01-14,10.058
2019-01-15,10.058
2019-01-16,10.058
2019-01-17,10.058
2019-01-18,10.025
2019-01-19,10.025
2019-01-20,10.025
2019-01-21,10.025
2019-01-22,10.025
2019-01-23,9.96
2019-01-24,9.96
2019-01-25,9.96
2019-01-26,9.96
2019-01-27,9.96
2019-01-28,9.96
2019-01-29,9.96
2019-01-30,9.96
2019-01-31,9.96
2019-02-01,9.96
2019-02-02,9.96
2019-02-03,9.96
2019-02-04,9.96
2019-02-05,9.96
2019-02-06,9.972
2019-02-07,10.084
2019-02-08,10.084
2019-02-09,10.084
2019-02-10,10.084
2019-02-11,10.084
2019-02-12,10.084
2019-02-13,10.084
2019-02-14,10.084
2019-02-15,10.084
2019-02-16,10.084
2019-02-17,10.084
2019-02-18,10.084
2019-02-19,10.084
2019-02-20,10.084
2019-02-21,10.084
2019-02-22,9.978
2019-02-23,9.978
2019-02-24,9.978
2019-02-25,9.978
2019-02-26,9.978
2019-02-27,9.978
2019-02-28,9.978
2019-03-01,9.978
2019-03-02,9.978
2019-03-03,9.978
2019-03-04,9.978
2019-03-05,9.978
2019-03-06,9.978
2019-03-07,9.978
2019-03-08,9.978
2019-03-09,9.978
2019-03-10,9.978
2019-03-11,9.978
2019-03-12,9.978
2019-03-13,9.978
2019-03-14,9.978
2019-03-15,9.978
2019-03-16,9.978
2019-03-17,9.978
2019-03-18,9.978
2019-03-19,9.978
2019-03-20,9.978
2019-03-21,9.978
2019-03-22,9.978
2019-03-23,9.978
2019-03-24,9.978
2019-03-25,9.978
2019-03-26,9.978
2019-03-27,9.978
2019-03-28,9.978
2019-03-29,9.978
2019-03-30,9.978
2019-03-31,9.978
2019-04-01,9.978
2019-04-02,9.978
2019-04-03,9.978
2019-04-04,9.978
2019-04-05,9.978
2019-04-06,9.978
2019-04-07,9.978
2019-04-08,9.978
2019-04-09,9.978
2019-04-10,9.978
2019-04-11,10.116
2019-04-12,10.116
2019-04-13,10.116
2019-04-14,10.116
2019-04-15,10.116
2019-04-16,10.184
2019-04-17,10.184
2019-04-18,10.184
2019-04-19,10.184
2019-04-20,10.184
2019-04-21,10.2
2019-04-22,10.2
2019-04-23,10.2
2019-04-24,10.2
2019-04-25,10.2
2019-04-26,10.2
2019-04-27,10.2
2019-04-28,10.2
2019-04-29,10.2
2019-04-30,10.165
2019-05-01,10.165
2019-05-02,10.165
2019-05-03,10.165
2019-05-04,10.165
2019-05-05,10.165
2019-05-06,10.165
2019-05-07,10.165
2019-05-08,10.165
2019-05-09,10.165
2019-05-10,10.165
2019-05-11,10.165
2019-05-12,10.165
2019-05-13,10.165
2019-05-14,10.165
2019-05-15,10.165
2019-05-16,10.165
2019-05-17,10.066
2019-05-18,10.066
2019-05-19,10.066
2019-05-20,10.066
2019-05-21,10.066
2019-05-22,10.066
2019-05-23,10.066
2019-05-24,10.066
2019-05-25,10.066
2019-05-26,10.066
2019-05-27,10.066
2019-05-28,10.066
2019-05-29,10.066
