,AVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.9307
2020-01-02,25.7342
2020-01-03,25.7912
2020-01-04,25.7912
2020-01-05,25.7912
2020-01-06,25.8039
2020-01-07,25.6961
2020-01-08,25.5344
2020-01-09,25.5502
2020-01-10,25.6549
2020-01-11,25.6549
2020-01-12,25.6549
2020-01-13,25.7817
2020-01-14,25.7627
2020-01-15,25.9085
2020-01-16,26.0988
2020-01-17,26.3144
2020-01-18,26.3144
2020-01-19,26.3144
2020-01-20,26.3144
2020-01-21,26.4127
2020-01-22,26.4222
2020-01-23,26.4951
2020-01-24,26.4095
2020-01-25,26.4095
2020-01-26,26.4095
2020-01-27,26.419
2020-01-28,26.5332
2020-01-29,26.6505
2020-01-30,26.7551
2020-01-31,26.8059
2020-02-01,26.8059
2020-02-02,26.8059
2020-02-03,26.8883
2020-02-04,26.7773
2020-02-05,26.901
2020-02-06,26.9454
2020-02-07,26.9073
2020-02-08,26.9073
2020-02-09,26.9073
2020-02-10,26.9739
2020-02-11,26.9105
2020-02-12,26.9137
2020-02-13,27.0627
2020-02-14,27.1737
2020-02-15,27.1737
2020-02-16,27.1737
2020-02-17,27.1737
2020-02-18,27.2086
2020-02-19,27.2371
2020-02-20,27.031
2020-02-21,26.9137
2020-02-22,26.9137
2020-02-23,26.9137
2020-02-24,26.6791
2020-02-25,26.2351
2020-02-26,26.492
2020-02-27,26.1981
2020-02-28,25.7444
2020-02-29,25.7444
2020-03-01,25.7444
2020-03-02,26.5335
2020-03-03,26.4408
2020-03-04,27.265
2020-03-05,27.0957
2020-03-06,27.4822
2020-03-07,27.4822
2020-03-08,27.4822
2020-03-09,26.8114
2020-03-10,26.789
2020-03-11,26.0192
2020-03-12,24.2079
2020-03-13,25.0576
2020-03-14,25.0576
2020-03-15,25.0576
2020-03-16,24.5465
2020-03-17,27.2107
2020-03-18,27.067
2020-03-19,25.54
2020-03-20,22.2337
2020-03-21,22.2337
2020-03-22,22.2337
2020-03-23,21.237
2020-03-24,22.8375
2020-03-25,22.5819
2020-03-26,23.5434
2020-03-27,23.7479
2020-03-28,23.7479
2020-03-29,23.7479
2020-03-30,24.8564
2020-03-31,22.8257
2020-04-01,21.9316
2020-04-02,22.6196
2020-04-03,22.2764
2020-04-04,22.2764
2020-04-05,22.2764
2020-04-06,22.8941
2020-04-07,22.3301
2020-04-08,22.7031
2020-04-09,23.7056
2020-04-10,23.7056
2020-04-11,23.7056
2020-04-12,23.7056
2020-04-13,23.0283
2020-04-14,23.4699
2020-04-15,23.1447
2020-04-16,23.3357
2020-04-17,23.4431
2020-04-18,23.4431
2020-04-19,23.4431
2020-04-20,23.1417
2020-04-21,22.9955
2020-04-22,23.0552
2020-04-23,22.9836
2020-04-24,22.9448
2020-04-25,22.9448
2020-04-26,22.9448
2020-04-27,23.085
2020-04-28,23.1805
2020-04-29,23.4162
2020-04-30,23.0045
2020-05-01,22.3659
2020-05-02,22.3659
2020-05-03,22.3659
2020-05-04,22.4793
2020-05-05,22.5271
2020-05-06,21.8856
2020-05-07,22.1272
2020-05-08,22.0777
2020-05-09,22.0777
2020-05-10,22.0777
2020-05-11,21.9494
2020-05-12,21.4988
2020-05-13,21.0095
2020-05-14,20.9915
2020-05-15,20.914
2020-05-16,20.914
2020-05-17,20.914
2020-05-18,21.5884
2020-05-19,21.1766
2020-05-20,21.5287
2020-05-21,21.5376
2020-05-22,21.5227
2020-05-23,21.5227
2020-05-24,21.5227
