,AZTA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,53.571
2020-01-02,54.8859
2020-01-03,54.5222
2020-01-04,54.5222
2020-01-05,54.5222
2020-01-06,51.7524
2020-01-07,52.6897
2020-01-08,52.8156
2020-01-09,53.8088
2020-01-10,52.6197
2020-01-11,52.6197
2020-01-12,52.6197
2020-01-13,53.8368
2020-01-14,54.5222
2020-01-15,55.1517
2020-01-16,56.6205
2020-01-17,55.8791
2020-01-18,55.8791
2020-01-19,55.8791
2020-01-20,55.8791
2020-01-21,54.788
2020-01-22,54.0746
2020-01-23,53.3402
2020-01-24,52.0742
2020-01-25,52.0742
2020-01-26,52.0742
2020-01-27,49.4303
2020-01-28,50.2416
2020-01-29,48.6889
2020-01-30,49.2344
2020-01-31,48.1433
2020-02-01,48.1433
2020-02-02,48.1433
2020-02-03,48.8148
2020-02-04,49.5002
2020-02-05,50.4515
2020-02-06,51.6
2020-02-07,49.6695
2020-02-08,49.6695
2020-02-09,49.6695
2020-02-10,53.5305
2020-02-11,54.188
2020-02-12,54.2789
2020-02-13,54.3699
2020-02-14,52.6632
2020-02-15,52.6632
2020-02-16,52.6632
2020-02-17,52.6632
2020-02-18,51.3622
2020-02-19,52.5513
2020-02-20,50.3969
2020-02-21,48.2985
2020-02-22,48.2985
2020-02-23,48.2985
2020-02-24,46.2561
2020-02-25,43.864
2020-02-26,43.78
2020-02-27,42.3531
2020-02-28,43.1505
2020-02-29,43.1505
2020-03-01,43.1505
2020-03-02,43.85
2020-03-03,42.3252
2020-03-04,45.0111
2020-03-05,43.3883
2020-03-06,42.0873
2020-03-07,42.0873
2020-03-08,42.0873
2020-03-09,37.8206
2020-03-10,39.6392
2020-03-11,37.9605
2020-03-12,34.1135
2020-03-13,34.9389
2020-03-14,34.9389
2020-03-15,34.9389
2020-03-16,29.4551
2020-03-17,30.9659
2020-03-18,26.6153
2020-03-19,26.8811
2020-03-20,27.0489
2020-03-21,27.0489
2020-03-22,27.0489
2020-03-23,28.336
2020-03-24,34.2814
2020-03-25,34.5192
2020-03-26,37.9325
2020-03-27,36.1559
2020-03-28,36.1559
2020-03-29,36.1559
2020-03-30,37.5828
2020-03-31,38.9337
2020-04-01,37.176
2020-04-02,37.0662
2020-04-03,33.4959
2020-04-04,33.4959
2020-04-05,33.4959
2020-04-06,39.3731
2020-04-07,38.9337
2020-04-08,40.4717
2020-04-09,38.9337
2020-04-10,38.9337
2020-04-11,38.9337
2020-04-12,38.9337
2020-04-13,39.071
2020-04-14,44.7285
2020-04-15,41.3917
2020-04-16,43.2455
2020-04-17,43.6712
2020-04-18,43.6712
2020-04-19,43.6712
2020-04-20,43.5888
2020-04-21,42.4216
2020-04-22,44.5363
2020-04-23,44.2616
2020-04-24,44.9482
2020-04-25,44.9482
2020-04-26,44.9482
2020-04-27,47.1178
2020-04-28,49.0815
2020-04-29,54.1485
2020-04-30,49.9054
2020-05-01,45.4516
2020-05-02,45.4516
2020-05-03,45.4516
2020-05-04,45.6167
2020-05-05,47.1988
2020-05-06,47.873
2020-05-07,49.3313
2020-05-08,50.9685
2020-05-09,50.9685
2020-05-10,50.9685
2020-05-11,50.8446
2020-05-12,50.9685
2020-05-13,50.1843
2020-05-14,50.3356
2020-05-15,48.6984
2020-05-16,48.6984
2020-05-17,48.6984
2020-05-18,50.8309
2020-05-19,51.0373
2020-05-20,52.9358
2020-05-21,52.3993
2020-05-22,53.4311
2020-05-23,53.4311
2020-05-24,53.4311
2020-05-25,53.4311
2020-05-26,53.775
2020-05-27,54.8069
2020-05-28,52.1929
2020-05-29,52.0416
2020-05-30,52.0416
2020-05-31,52.0416
2020-06-01,53.2523
2020-06-02,53.5412
2020-06-03,55.5223
2020-06-04,56.2377
2020-06-05,57.2007
2020-06-06,57.2007
2020-06-07,57.2007
2020-06-08,56.9668
2020-06-09,57.0081
2020-06-10,57.5722
2020-06-11,50.8722
2020-06-12,51.7114
2020-06-13,51.7114
2020-06-14,51.7114
2020-06-15,52.6882
2020-06-16,55.2059
2020-06-17,55.6874
2020-06-18,55.9625
2020-06-19,55.5223
2020-06-20,55.5223
2020-06-21,55.5223
2020-06-22,55.4535
2020-06-23,56.6848
2020-06-24,56.2514
2020-06-25,57.3658
2020-06-26,55.082
2020-06-27,55.082
2020-06-28,55.082
2020-06-29,56.0588
2020-06-30,54.8681
2020-07-01,53.86
2020-07-02,55.1561
2020-07-03,55.1561
2020-07-04,55.1561
2020-07-05,55.1561
2020-07-06,55.4441
2020-07-07,54.148
2020-07-08,55.7845
2020-07-09,56.2558
2020-07-10,56.2558
2020-07-11,56.2558
2020-07-12,56.2558
2020-07-13,55.4441
2020-07-14,55.9547
2020-07-15,56.426
2020-07-16,55.0252
2020-07-17,56.007
2020-07-18,56.007
2020-07-19,56.007
2020-07-20,57.4602
2020-07-21,57.0675
2020-07-22,57.8791
2020-07-23,56.7795
2020-07-24,54.0957
2020-07-25,54.0957
2020-07-26,54.0957
2020-07-27,56.8842
2020-07-28,55.863
2020-07-29,57.4471
2020-07-30,58.8872
2020-07-31,68.2358
2020-08-01,68.2358
2020-08-02,68.2358
2020-08-03,68.393
2020-08-04,70.2716
2020-08-05,71.1684
2020-08-06,71.1684
2020-08-07,70.6709
2020-08-08,70.6709
2020-08-09,70.6709
2020-08-10,69.401
2020-08-11,68.5239
2020-08-12,69.9509
2020-08-13,69.5188
2020-08-14,68.8119
2020-08-15,68.8119
2020-08-16,68.8119
2020-08-17,69.2177
2020-08-18,66.6648
2020-08-19,64.7534
2020-08-20,64.0465
2020-08-21,63.5882
2020-08-22,63.5882
2020-08-23,63.5882
2020-08-24,64.1381
2020-08-25,64.2428
2020-08-26,65.12
2020-08-27,63.9286
2020-08-28,65.4473
2020-08-29,65.4473
2020-08-30,65.4473
2020-08-31,64.5439
2020-09-01,65.4866
2020-09-02,66.115
2020-09-03,60.839
2020-09-04,58.7835
2020-09-05,58.7835
2020-09-06,58.7835
2020-09-07,58.7835
2020-09-08,55.0524
2020-09-09,55.8248
2020-09-10,54.0181
2020-09-11,52.9446
2020-09-12,52.9446
2020-09-13,52.9446
2020-09-14,55.1178
2020-09-15,55.4582
2020-09-16,57.6314
2020-09-17,56.715
2020-09-18,56.5317
2020-09-19,56.5317
2020-09-20,56.5317
2020-09-21,56.2961
2020-09-22,56.9638
2020-09-23,55.5368
2020-09-24,54.9214
2020-09-25,55.7855
2020-09-26,55.7855
2020-09-27,55.7855
2020-09-28,57.5136
2020-09-29,58.5479
2020-09-30,75.2677
2020-10-01,78.9424
2020-10-02,76.7788
2020-10-03,76.7788
2020-10-04,76.7788
2020-10-05,80.3504
2020-10-06,81.5009
2020-10-07,82.9605
2020-10-08,83.9221
2020-10-09,86.0686
2020-10-10,86.0686
2020-10-11,86.0686
2020-10-12,86.5322
2020-10-13,85.8797
2020-10-14,83.8191
2020-10-15,83.2696
2020-10-16,81.707
2020-10-17,81.707
2020-10-18,81.707
2020-10-19,80.711
2020-10-20,80.2818
2020-10-21,78.7363
2020-10-22,80.4535
2020-10-23,79.4232
2020-10-24,79.4232
2020-10-25,79.4232
2020-10-26,76.9161
2020-10-27,77.8606
2020-10-28,76.3667
2020-10-29,78.8909
2020-10-30,76.0232
2020-10-31,76.0232
2020-11-01,76.0232
2020-11-02,79.7494
2020-11-03,84.4373
2020-11-04,88.2322
2020-11-05,93.6584
2020-11-06,94.4826
2020-11-07,94.4826
2020-11-08,94.4826
2020-11-09,100.0805
2020-11-10,97.8826
2020-11-11,110.3055
2020-11-12,107.7101
2020-11-13,113.5541
2020-11-14,113.5541
2020-11-15,113.5541
2020-11-16,116.5964
2020-11-17,117.4386
2020-11-18,113.176
2020-11-19,113.7947
2020-11-20,111.3025
2020-11-21,111.3025
2020-11-22,111.3025
2020-11-23,113.6572
2020-11-24,115.6339
2020-11-25,116.8371
2020-11-26,116.8371
2020-11-27,121.3575
2020-11-28,121.3575
2020-11-29,121.3575
2020-11-30,121.2888
2020-12-01,122.0107
2020-12-02,119.02
2020-12-03,119.5872
2020-12-04,125.0702
2020-12-05,125.0702
2020-12-06,125.0702
2020-12-07,124.9843
2020-12-08,125.1218
2020-12-09,118.1262
2020-12-10,120.9794
2020-12-11,118.6762
2020-12-12,118.6762
2020-12-13,118.6762
2020-12-14,124.8639
2020-12-15,125.1964
2020-12-16,122.1039
2020-12-17,125.0063
2020-12-18,122.0262
2020-12-19,122.0262
2020-12-20,122.0262
2020-12-21,124.5226
2020-12-22,124.6262
2020-12-23,122.3285
2020-12-24,124.6435
2020-12-25,124.6435
2020-12-26,124.6435
2020-12-27,124.6435
2020-12-28,124.4535
2020-12-29,119.9789
2020-12-30,123.1923
2020-12-31,147.5415
2021-01-01,147.5415
2021-01-02,147.5415
2021-01-03,147.5415
2021-01-04,144.0634
2021-01-05,146.6322
2021-01-06,146.6663
2021-01-07,152.0652
2021-01-08,148.4053
2021-01-09,148.4053
2021-01-10,148.4053
2021-01-11,157.8847
2021-01-12,162.9995
2021-01-13,162.1584
2021-01-14,174.4566
2021-01-15,170.0011
2021-01-16,170.0011
2021-01-17,170.0011
2021-01-18,170.0011
2021-01-19,179.4805
2021-01-20,184.4361
2021-01-21,184.5725
2021-01-22,185.209
2021-01-23,185.209
2021-01-24,185.209
2021-01-25,178.4575
2021-01-26,168.3416
2021-01-27,164.3862
2021-01-28,170.683
2021-01-29,165.5228
2021-01-30,165.5228
2021-01-31,165.5228
2021-02-01,174.7976
2021-02-02,185.5273
2021-02-03,169.661
2021-02-04,175.4138
2021-02-05,174.2543
2021-02-06,174.2543
2021-02-07,174.2543
2021-02-08,184.2806
2021-02-09,182.0071
