,BFH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.901
2020-01-02,15.9185
2020-01-03,15.7875
2020-01-04,15.7875
2020-01-05,15.7875
2020-01-06,15.8187
2020-01-07,15.7794
2020-01-08,15.7769
2020-01-09,15.8106
2020-01-10,15.8929
2020-01-11,15.8929
2020-01-12,15.8929
2020-01-13,15.9147
2020-01-14,15.8979
2020-01-15,15.9621
2020-01-16,16.0152
2020-01-17,15.9453
2020-01-18,15.9453
2020-01-19,15.9453
2020-01-20,15.9453
2020-01-21,15.8792
2020-01-22,15.8648
2020-01-23,15.8761
2020-01-24,15.6016
2020-01-25,15.6016
2020-01-26,15.6016
2020-01-27,15.4925
2020-01-28,15.5973
2020-01-29,15.7445
2020-01-30,15.5879
2020-01-31,15.3141
2020-02-01,15.3141
2020-02-02,15.3141
2020-02-03,15.1769
2020-02-04,15.2898
2020-02-05,15.5673
2020-02-06,15.5455
2020-02-07,15.5093
2020-02-08,15.5093
2020-02-09,15.5093
2020-02-10,15.3546
2020-02-11,15.3702
2020-02-12,15.4288
2020-02-13,15.3577
2020-02-14,15.3166
2020-02-15,15.3166
2020-02-16,15.3166
2020-02-17,15.3166
2020-02-18,15.1712
2020-02-19,15.2249
2020-02-20,15.3309
2020-02-21,15.2748
2020-02-22,15.2748
2020-02-23,15.2748
2020-02-24,15.0602
2020-02-25,14.7502
2020-02-26,14.575
2020-02-27,14.3729
2020-02-28,14.4421
2020-02-29,14.4421
2020-03-01,14.4421
2020-03-02,14.4544
2020-03-03,14.0422
2020-03-04,14.1074
2020-03-05,13.6894
2020-03-06,13.5862
2020-03-07,13.5862
2020-03-08,13.5862
2020-03-09,12.9676
2020-03-10,13.0025
2020-03-11,12.5974
2020-03-12,11.9227
2020-03-13,12.0962
2020-03-14,12.0962
2020-03-15,12.0962
2020-03-16,11.2319
2020-03-17,10.8939
2020-03-18,10.3611
2020-03-19,10.5398
2020-03-20,10.6798
2020-03-21,10.6798
2020-03-22,10.6798
2020-03-23,10.9036
2020-03-24,11.6125
2020-03-25,11.3867
2020-03-26,11.3248
2020-03-27,11.2551
2020-03-28,11.2551
2020-03-29,11.2551
2020-03-30,11.1152
2020-03-31,13.4261
2020-04-01,13.1837
2020-04-02,12.9284
2020-04-03,12.7613
2020-04-04,12.7613
2020-04-05,12.7613
2020-04-06,13.1949
2020-04-07,13.6043
2020-04-08,14.0815
2020-04-09,13.8838
2020-04-10,13.8838
2020-04-11,13.8838
2020-04-12,13.8838
2020-04-13,13.6275
2020-04-14,13.6823
2020-04-15,13.5068
2020-04-16,13.3657
2020-04-17,13.8169
2020-04-18,13.8169
2020-04-19,13.8169
2020-04-20,13.6897
2020-04-21,13.6415
2020-04-22,13.7074
2020-04-23,14.0518
2020-04-24,14.0527
2020-04-25,14.0527
2020-04-26,14.0527
2020-04-27,14.1446
2020-04-28,14.7211
2020-04-29,15.4026
2020-04-30,14.9505
2020-05-01,14.6079
2020-05-02,14.6079
2020-05-03,14.6079
2020-05-04,14.6042
2020-05-05,14.5113
2020-05-06,14.3601
2020-05-07,14.5263
2020-05-08,14.6822
2020-05-09,14.6822
2020-05-10,14.6822
2020-05-11,14.296
2020-05-12,14.0593
2020-05-13,13.7427
2020-05-14,13.9581
2020-05-15,13.8467
2020-05-16,13.8467
2020-05-17,13.8467
2020-05-18,14.4641
2020-05-19,14.2617
2020-05-20,14.3944
2020-05-21,14.2997
2020-05-22,14.206
2020-05-23,14.206
2020-05-24,14.206
2020-05-25,14.206
2020-05-26,14.8902
2020-05-27,15.1288
2020-05-28,14.8512
2020-05-29,14.6033
2020-05-30,14.6033
2020-05-31,14.6033
2020-06-01,14.9348
2020-06-02,14.9208
2020-06-03,15.424
2020-06-04,15.3646
2020-06-05,15.904
2020-06-06,15.904
2020-06-07,15.904
2020-06-08,16.4379
2020-06-09,16.1983
2020-06-10,15.5522
2020-06-11,14.7184
2020-06-12,15.1381
2020-06-13,15.1381
2020-06-14,15.1381
2020-06-15,15.0239
2020-06-16,15.23
2020-06-17,14.9988
2020-06-18,14.8308
2020-06-19,14.7027
2020-06-20,14.7027
2020-06-21,14.7027
2020-06-22,14.7027
2020-06-23,14.8169
2020-06-24,14.5207
2020-06-25,14.5838
2020-06-26,14.2821
2020-06-27,14.2821
2020-06-28,14.2821
2020-06-29,14.5458
2020-06-30,16.4147
2020-07-01,16.2254
2020-07-02,16.2199
2020-07-03,16.2199
2020-07-04,16.2199
2020-07-05,16.2199
2020-07-06,16.235
2020-07-07,15.9867
2020-07-08,16.0539
2020-07-09,15.6986
2020-07-10,15.9208
2020-07-11,15.9208
2020-07-12,15.9208
2020-07-13,15.8454
2020-07-14,15.785
2020-07-15,16.2309
2020-07-16,16.2926
2020-07-17,16.0566
2020-07-18,16.0566
2020-07-19,16.0566
2020-07-20,15.7288
2020-07-21,16.0237
2020-07-22,16.0649
2020-07-23,16.3653
2020-07-24,16.3173
2020-07-25,16.3173
2020-07-26,16.3173
2020-07-27,16.2418
2020-07-28,16.1266
2020-07-29,16.4572
2020-07-30,16.3296
2020-07-31,16.3104
2020-08-01,16.3104
2020-08-02,16.3104
2020-08-03,16.39
2020-08-04,16.2088
2020-08-05,16.4548
2020-08-06,16.4507
2020-08-07,16.5675
2020-08-08,16.5675
2020-08-09,16.5675
2020-08-10,16.7242
2020-08-11,16.9468
2020-08-12,16.7998
2020-08-13,16.6995
2020-08-14,16.7998
2020-08-15,16.7998
2020-08-16,16.7998
2020-08-17,16.6857
2020-08-18,16.448
2020-08-19,16.4947
2020-08-20,16.2047
2020-08-21,16.1607
2020-08-22,16.1607
2020-08-23,16.1607
2020-08-24,16.4906
2020-08-25,16.5428
2020-08-26,16.3985
2020-08-27,16.617
2020-08-28,16.6775
2020-08-29,16.6775
2020-08-30,16.6775
2020-08-31,16.4246
2020-09-01,16.4356
2020-09-02,16.5565
2020-09-03,16.4521
2020-09-04,16.8369
2020-09-05,16.8369
2020-09-06,16.8369
2020-09-07,16.8369
2020-09-08,16.639
2020-09-09,16.4988
2020-09-10,16.4411
2020-09-11,16.4438
2020-09-12,16.4438
2020-09-13,16.4438
2020-09-14,16.5923
2020-09-15,16.3215
2020-09-16,16.6912
2020-09-17,16.7531
2020-09-18,16.5978
2020-09-19,16.5978
2020-09-20,16.5978
2020-09-21,16.4232
2020-09-22,16.2226
2020-09-23,15.9931
2020-09-24,16.0412
2020-09-25,15.9972
2020-09-26,15.9972
2020-09-27,15.9972
2020-09-28,16.1704
2020-09-29,16.1099
2020-09-30,18.4634
2020-10-01,18.6653
2020-10-02,18.9253
2020-10-03,18.9253
2020-10-04,18.9253
2020-10-05,19.1466
2020-10-06,19.0194
2020-10-07,19.1259
2020-10-08,19.3527
2020-10-09,19.3818
2020-10-10,19.3818
2020-10-11,19.3818
2020-10-12,19.3652
2020-10-13,19.5809
2020-10-14,19.8796
2020-10-15,19.9405
2020-10-16,20.2641
2020-10-17,20.2641
2020-10-18,20.2641
2020-10-19,20.1576
2020-10-20,19.816
2020-10-21,19.3804
2020-10-22,19.5145
2020-10-23,19.3804
2020-10-24,19.3804
2020-10-25,19.3804
2020-10-26,19.1162
2020-10-27,18.8866
2020-10-28,18.7096
2020-10-29,19.8548
2020-10-30,19.7856
2020-10-31,19.7856
2020-11-01,19.7856
2020-11-02,20.2987
2020-11-03,20.5919
2020-11-04,20.4934
2020-11-05,20.7659
2020-11-06,20.7729
2020-11-07,20.7729
2020-11-08,20.7729
2020-11-09,22.2488
2020-11-10,22.2294
2020-11-11,21.5627
2020-11-12,21.2279
2020-11-13,21.7951
2020-11-14,21.7951
2020-11-15,21.7951
2020-11-16,22.3193
2020-11-17,22.1672
2020-11-18,21.9154
2020-11-19,22.0593
2020-11-20,21.8421
2020-11-21,21.8421
2020-11-22,21.8421
2020-11-23,22.4798
2020-11-24,23.04
2020-11-25,22.9722
2020-11-26,22.9722
2020-11-27,22.9722
2020-11-28,22.9722
2020-11-29,22.9722
2020-11-30,22.7744
2020-12-01,23.2018
2020-12-02,23.6044
2020-12-03,24.0622
2020-12-04,24.6831
2020-12-05,24.6831
2020-12-06,24.6831
2020-12-07,24.3164
2020-12-08,23.5814
2020-12-09,23.4361
2020-12-10,23.4246
2020-12-11,23.1096
2020-12-12,23.1096
2020-12-13,23.1096
2020-12-14,23.0233
2020-12-15,23.019
2020-12-16,22.9399
2020-12-17,22.8335
2020-12-18,22.9341
2020-12-19,22.9341
2020-12-20,22.9341
2020-12-21,22.4782
2020-12-22,22.3948
2020-12-23,22.914
2020-12-24,23.0147
2020-12-25,23.0147
2020-12-26,23.0147
2020-12-27,23.0147
2020-12-28,23.0808
2020-12-29,22.8694
2020-12-30,23.2549
2020-12-31,31.266
2021-01-01,31.266
2021-01-02,31.266
2021-01-03,31.266
2021-01-04,30.7434
2021-01-05,30.9693
2021-01-06,32.0573
2021-01-07,31.9617
2021-01-08,31.332
2021-01-09,31.332
2021-01-10,31.332
2021-01-11,31.0715
2021-01-12,31.2067
2021-01-13,31.2067
2021-01-14,31.3781
2021-01-15,30.7583
2021-01-16,30.7583
2021-01-17,30.7583
2021-01-18,30.7583
2021-01-19,31.0435
2021-01-20,31.055
2021-01-21,30.7978
2021-01-22,30.7253
2021-01-23,30.7253
2021-01-24,30.7253
2021-01-25,30.4681
2021-01-26,30.3593
2021-01-27,30.1912
2021-01-28,30.7204
2021-01-29,30.2027
2021-01-30,30.2027
2021-01-31,30.2027
2021-02-01,30.2076
2021-02-02,30.5456
2021-02-03,31.4424
2021-02-04,32.758
2021-02-05,33.0399
2021-02-06,33.0399
2021-02-07,33.0399
2021-02-08,33.3119
2021-02-09,32.7992
2021-02-10,33.185
2021-02-11,32.8223
2021-02-12,32.7629
2021-02-13,32.7629
2021-02-14,32.7629
2021-02-15,32.7629
2021-02-16,33.4108
2021-02-17,33.3251
2021-02-18,32.8486
2021-02-19,33.2971
2021-02-20,33.2971
2021-02-21,33.2971
2021-02-22,33.4108
2021-02-23,34.0818
2021-02-24,34.7049
2021-02-25,34.1856
2021-02-26,34.9823
2021-02-27,34.9823
2021-02-28,34.9823
2021-03-01,35.4941
2021-03-02,35.0615
2021-03-03,35.7418
2021-03-04,35.1127
2021-03-05,36.1793
2021-03-06,36.1793
2021-03-07,36.1793
2021-03-08,36.4352
2021-03-09,36.7769
2021-03-10,37.0246
2021-03-11,37.0527
2021-03-12,37.2838
2021-03-13,37.2838
2021-03-14,37.2838
2021-03-15,38.1324
2021-03-16,37.652
2021-03-17,38.2942
2021-03-18,37.7807
2021-03-19,38.0565
2021-03-20,38.0565
2021-03-21,38.0565
2021-03-22,37.2987
2021-03-23,36.4748
2021-03-24,36.5887
2021-03-25,37.5182
2021-03-26,38.6459
2021-03-27,38.6459
2021-03-28,38.6459
2021-03-29,37.5034
2021-03-30,38.0697
2021-03-31,14.052
2021-04-01,14.1434
2021-04-02,14.1434
2021-04-03,14.1434
2021-04-04,14.1434
2021-04-05,14.1521
2021-04-06,14.1166
2021-04-07,14.0302
2021-04-08,14.0215
2021-04-09,13.8866
2021-04-10,13.8866
2021-04-11,13.8866
2021-04-12,14.0237
2021-04-13,13.5899
2021-04-14,13.7335
2021-04-15,13.7233
2021-04-16,13.8888
2021-04-17,13.8888
2021-04-18,13.8888
2021-04-19,13.7981
2021-04-20,13.3248
2021-04-21,13.5448
2021-04-22,13.5608
2021-04-23,13.6921
2021-04-24,13.6921
2021-04-25,13.6921
2021-04-26,13.6508
2021-04-27,13.5753
2021-04-28,13.748
2021-04-29,14.532
2021-04-30,14.4746
2021-05-01,14.4746
2021-05-02,14.4746
2021-05-03,14.4028
2021-05-04,14.6002
2021-05-05,14.7884
2021-05-06,14.6802
2021-05-07,14.9844
2021-05-08,14.9844
2021-05-09,14.9844
2021-05-10,14.7797
2021-05-11,14.6824
2021-05-12,14.2091
2021-05-13,14.3376
2021-05-14,14.6744
2021-05-15,14.6744
2021-05-16,14.6744
2021-05-17,14.7833
2021-05-18,14.6156
2021-05-19,14.551
2021-05-20,14.3942
2021-05-21,14.4646
2021-05-22,14.4646
2021-05-23,14.4646
2021-05-24,14.5075
2021-05-25,14.2077
2021-05-26,14.4283
2021-05-27,14.7666
2021-05-28,14.7071
2021-05-29,14.7071
2021-05-30,14.7071
2021-05-31,14.7071
2021-06-01,14.9619
2021-06-02,14.9735
2021-06-03,14.8356
2021-06-04,14.498
2021-06-05,14.498
2021-06-06,14.498
2021-06-07,14.4508
2021-06-08,14.3354
2021-06-09,14.3028
2021-06-10,14.0197
2021-06-11,14.0327
2021-06-12,14.0327
2021-06-13,14.0327
2021-06-14,13.897
2021-06-15,14.175
2021-06-16,14.2955
2021-06-17,13.6894
2021-06-18,13.399
2021-06-19,13.399
2021-06-20,13.399
2021-06-21,13.6233
2021-06-22,13.5667
2021-06-23,13.6175
2021-06-24,13.7699
2021-06-25,13.8215
2021-06-26,13.8215
2021-06-27,13.8215
2021-06-28,13.4222
2021-06-29,13.3605
2021-06-30,6.7073
2021-07-01,6.8524
2021-07-02,6.787
2021-07-03,6.787
2021-07-04,6.787
2021-07-05,6.787
2021-07-06,6.6581
2021-07-07,6.6758
2021-07-08,6.5091
2021-07-09,6.785
2021-07-10,6.785
2021-07-11,6.785
2021-07-12,6.8396
2021-07-13,6.6911
2021-07-14,6.6281
2021-07-15,6.546
2021-07-16,6.424
2021-07-17,6.424
2021-07-18,6.424
2021-07-19,6.1934
2021-07-20,6.3808
2021-07-21,6.4924
2021-07-22,6.3896
2021-07-23,6.4437
2021-07-24,6.4437
2021-07-25,6.4437
2021-07-26,6.4791
2021-07-27,6.4265
2021-07-28,6.4565
2021-07-29,6.3696
2021-07-30,6.1671
2021-07-31,6.1671
2021-08-01,6.1671
2021-08-02,6.1666
2021-08-03,6.1563
2021-08-04,6.0491
2021-08-05,6.1216
2021-08-06,6.22
2021-08-07,6.22
2021-08-08,6.22
2021-08-09,6.1009
2021-08-10,6.1668
2021-08-11,6.2323
2021-08-12,6.1693
2021-08-13,6.1127
2021-08-14,6.1127
2021-08-15,6.1127
2021-08-16,6.0517
2021-08-17,6.0025
2021-08-18,6.062
2021-08-19,6.0197
2021-08-20,6.0645
2021-08-21,6.0645
2021-08-22,6.0645
2021-08-23,6.0374
2021-08-24,6.1954
2021-08-25,6.3666
2021-08-26,6.2584
2021-08-27,6.4001
2021-08-28,6.4001
2021-08-29,6.4001
2021-08-30,6.2402
2021-08-31,6.4114
2021-09-01,6.2677
2021-09-02,6.2387
2021-09-03,6.2436
2021-09-04,6.2436
2021-09-05,6.2436
2021-09-06,6.2436
2021-09-07,6.2397
2021-09-08,6.128
2021-09-09,6.2352
2021-09-10,6.1619
2021-09-11,6.1619
2021-09-12,6.1619
2021-09-13,6.3046
2021-09-14,6.1772
2021-09-15,6.3563
2021-09-16,6.4552
2021-09-17,6.3307
2021-09-18,6.3307
2021-09-19,6.3307
2021-09-20,6.1457
2021-09-21,6.1408
2021-09-22,6.2702
2021-09-23,6.4917
2021-09-24,6.6216
2021-09-25,6.6216
2021-09-26,6.6216
2021-09-27,6.7141
2021-09-28,6.6491
2021-09-29,6.6403
2021-09-30,8.5217
2021-10-01,8.6713
2021-10-02,8.6713
2021-10-03,8.6713
2021-10-04,8.5756
2021-10-05,8.608
2021-10-06,8.5469
2021-10-07,8.5666
2021-10-08,8.5644
2021-10-09,8.5644
2021-10-10,8.5644
2021-10-11,8.3955
2021-10-12,8.4571
2021-10-13,8.3241
2021-10-14,8.4364
2021-10-15,8.4777
2021-10-16,8.4777
2021-10-17,8.4777
2021-10-18,8.4858
2021-10-19,8.5235
2021-10-20,8.5698
2021-10-21,8.3174
2021-10-22,8.365
2021-10-23,8.365
2021-10-24,8.365
2021-10-25,8.3884
2021-10-26,8.2236
2021-10-27,7.9653
2021-10-28,7.874
2021-10-29,7.8228
2021-10-30,7.8228
2021-10-31,7.8228
2021-11-01,8.0763
2021-11-02,7.8862
2021-11-03,7.9115
2021-11-04,7.9079
2021-11-05,8.1213
2021-11-06,8.1213
2021-11-07,8.1213
2021-11-08,7.3597
2021-11-09,7.3966
2021-11-10,7.5017
2021-11-11,7.5893
2021-11-12,7.5875
2021-11-13,7.5875
2021-11-14,7.5875
2021-11-15,7.5822
2021-11-16,7.4936
2021-11-17,7.4599
2021-11-18,7.3885
2021-11-19,7.3328
2021-11-20,7.3328
2021-11-21,7.3328
2021-11-22,7.3256
2021-11-23,7.3786
2021-11-24,7.4033
2021-11-25,7.4033
2021-11-26,7.2402
2021-11-27,7.2402
2021-11-28,7.2402
2021-11-29,7.1688
2021-11-30,7.0537
2021-12-01,7.0537
2021-12-02,7.1966
2021-12-03,7.1674
2021-12-04,7.1674
2021-12-05,7.1674
2021-12-06,7.2438
2021-12-07,7.3305
2021-12-08,7.3224
2021-12-09,7.2905
2021-12-10,7.2775
2021-12-11,7.2775
2021-12-12,7.2775
2021-12-13,7.1279
2021-12-14,7.1122
2021-12-15,7.0888
