,BSIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.0051
2020-01-02,5.8823
2020-01-03,5.7765
2020-01-04,5.7765
2020-01-05,5.7765
2020-01-06,5.7491
2020-01-07,5.7867
2020-01-08,5.855
2020-01-09,5.8925
2020-01-10,5.9437
2020-01-11,5.9437
2020-01-12,5.9437
2020-01-13,5.9915
2020-01-14,5.9505
2020-01-15,5.9539
2020-01-16,6.0051
2020-01-17,5.9881
2020-01-18,5.9881
2020-01-19,5.9881
2020-01-20,5.9881
2020-01-21,5.9301
2020-01-22,5.9301
2020-01-23,5.8311
2020-01-24,5.7594
2020-01-25,5.7594
2020-01-26,5.7594
2020-01-27,5.6809
2020-01-28,5.6809
2020-01-29,5.7423
2020-01-30,5.7355
2020-01-31,5.6604
2020-02-01,5.6604
2020-02-02,5.6604
2020-02-03,5.7218
2020-02-04,5.9096
2020-02-05,5.9744
2020-02-06,6.0359
2020-02-07,5.913
2020-02-08,5.913
2020-02-09,5.913
2020-02-10,5.9574
2020-02-11,6.0529
2020-02-12,6.0051
2020-02-13,6.0325
2020-02-14,6.012
2020-02-15,6.012
2020-02-16,6.012
2020-02-17,6.012
2020-02-18,6.1485
2020-02-19,6.1041
2020-02-20,6.2373
2020-02-21,6.2543
2020-02-22,6.2543
2020-02-23,6.2543
2020-02-24,6.1349
2020-02-25,6.0188
2020-02-26,5.7799
2020-02-27,5.6911
2020-02-28,5.7082
2020-02-29,5.7082
2020-03-01,5.7082
2020-03-02,5.6433
2020-03-03,5.3598
2020-03-04,5.3802
2020-03-05,5.2545
2020-03-06,5.0575
2020-03-07,5.0575
2020-03-08,5.0575
2020-03-09,4.6737
2020-03-10,4.7994
2020-03-11,4.7688
2020-03-12,4.5446
2020-03-13,4.8979
2020-03-14,4.8979
2020-03-15,4.8979
2020-03-16,4.2321
2020-03-17,4.1811
2020-03-18,3.7837
2020-03-19,4.0215
2020-03-20,4.0521
2020-03-21,4.0521
2020-03-22,4.0521
2020-03-23,4.1064
2020-03-24,4.2627
2020-03-25,4.4359
2020-03-26,4.7076
2020-03-27,4.5854
2020-03-28,4.5854
2020-03-29,4.5854
2020-03-30,4.6805
2020-03-31,5.0938
2020-04-01,4.9601
2020-04-02,5.0203
2020-04-03,4.9601
2020-04-04,4.9601
2020-04-05,4.9601
2020-04-06,5.1272
2020-04-07,5.0805
2020-04-08,4.9
2020-04-09,5.027
2020-04-10,5.027
2020-04-11,5.027
2020-04-12,5.027
2020-04-13,5.0771
2020-04-14,5.0036
2020-04-15,4.7897
2020-04-16,4.7128
2020-04-17,4.7697
2020-04-18,4.7697
2020-04-19,4.7697
2020-04-20,4.7062
2020-04-21,4.7596
2020-04-22,5.0136
2020-04-23,5.1139
2020-04-24,5.2643
2020-04-25,5.2643
2020-04-26,5.2643
2020-04-27,5.3478
2020-04-28,5.4481
2020-04-29,5.5918
2020-04-30,5.2979
2020-05-01,5.32
2020-05-02,5.32
2020-05-03,5.32
2020-05-04,5.3358
2020-05-05,5.2443
2020-05-06,5.2411
2020-05-07,5.5411
2020-05-08,5.6137
2020-05-09,5.6137
2020-05-10,5.6137
2020-05-11,5.4937
2020-05-12,5.3492
2020-05-13,5.3211
2020-05-14,5.4024
