,CC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.601
2020-01-02,18.6103
2020-01-03,18.0435
2020-01-04,18.0435
2020-01-05,18.0435
2020-01-06,18.184
2020-01-07,18.1278
2020-01-08,18.1793
2020-01-09,17.9685
2020-01-10,17.8233
2020-01-11,17.8233
2020-01-12,17.8233
2020-01-13,18.0388
2020-01-14,18.6525
2020-01-15,18.4417
2020-01-16,18.5822
2020-01-17,18.3058
2020-01-18,18.3058
2020-01-19,18.3058
2020-01-20,18.3058
2020-01-21,17.931
2020-01-22,17.7343
2020-01-23,17.7062
2020-01-24,17.4297
2020-01-25,17.4297
2020-01-26,17.4297
2020-01-27,16.9472
2020-01-28,16.905
2020-01-29,16.9378
2020-01-30,16.905
2020-01-31,16.624
2020-02-01,16.624
2020-02-02,16.624
2020-02-03,16.8441
2020-02-04,16.8207
2020-02-05,17.0737
2020-02-06,16.9941
2020-02-07,16.7036
2020-02-08,16.7036
2020-02-09,16.7036
2020-02-10,16.7317
2020-02-11,17.1252
2020-02-12,17.4297
2020-02-13,17.4719
2020-02-14,19.2287
2020-02-15,19.2287
2020-02-16,19.2287
2020-02-17,19.2287
2020-02-18,18.848
2020-02-19,19.083
2020-02-20,19.3837
2020-02-21,19.2616
2020-02-22,19.2616
2020-02-23,19.2616
2020-02-24,18.8809
2020-02-25,17.8612
2020-02-26,17.4335
2020-02-27,16.7662
2020-02-28,17.1093
2020-02-29,17.1093
2020-03-01,17.1093
2020-03-02,16.9072
2020-03-03,16.9824
2020-03-04,17.1986
2020-03-05,17.161
2020-03-06,16.4561
2020-03-07,16.4561
2020-03-08,16.4561
2020-03-09,15.0134
2020-03-10,15.5491
2020-03-11,15.1355
2020-03-12,14.4917
2020-03-13,14.9664
2020-03-14,14.9664
2020-03-15,14.9664
2020-03-16,14.4248
2020-03-17,15.2008
2020-03-18,14.674
2020-03-19,14.9139
2020-03-20,14.4201
2020-03-21,14.4201
2020-03-22,14.4201
2020-03-23,13.9874
2020-03-24,14.6223
2020-03-25,15.2478
2020-03-26,15.2149
2020-03-27,14.5988
2020-03-28,14.5988
2020-03-29,14.5988
2020-03-30,14.6834
2020-03-31,13.4773
2020-04-01,12.8982
2020-04-02,12.8851
2020-04-03,12.7763
2020-04-04,12.7763
2020-04-05,12.7763
2020-04-06,13.2509
2020-04-07,13.3728
2020-04-08,13.7603
2020-04-09,14.4003
2020-04-10,14.4003
2020-04-11,14.4003
2020-04-12,14.4003
2020-04-13,14.2044
2020-04-14,14.2653
2020-04-15,13.7951
2020-04-16,13.6688
2020-04-17,14.2305
2020-04-18,14.2305
2020-04-19,14.2305
2020-04-20,14.1478
2020-04-21,14.0476
2020-04-22,14.0433
2020-04-23,14.1739
2020-04-24,14.2914
2020-04-25,14.2914
2020-04-26,14.2914
2020-04-27,14.4699
2020-04-28,14.5396
2020-04-29,15.0403
2020-04-30,14.7225
2020-05-01,14.3742
2020-05-02,14.3742
2020-05-03,14.3742
2020-05-04,14.3654
2020-05-05,14.9184
2020-05-06,14.9819
2020-05-07,14.6726
2020-05-08,15.2389
2020-05-09,15.2389
2020-05-10,15.2389
2020-05-11,15.1082
2020-05-12,14.8251
2020-05-13,14.6247
2020-05-14,14.6465
2020-05-15,14.4461
2020-05-16,14.4461
2020-05-17,14.4461
2020-05-18,15.1343
2020-05-19,14.9732
2020-05-20,15.2084
2020-05-21,15.0647
2020-05-22,15.0385
2020-05-23,15.0385
2020-05-24,15.0385
2020-05-25,15.0385
2020-05-26,15.4393
2020-05-27,15.7703
2020-05-28,15.5394
2020-05-29,15.326
2020-05-30,15.326
2020-05-31,15.326
2020-06-01,15.5264
2020-06-02,15.8139
2020-06-03,16.0622
2020-06-04,16.476
2020-06-05,16.8114
2020-06-06,16.8114
2020-06-07,16.8114
2020-06-08,17.3036
2020-06-09,16.9029
2020-06-10,16.6066
2020-06-11,15.5394
2020-06-12,16.1493
2020-06-13,16.1493
2020-06-14,16.1493
2020-06-15,16.3104
2020-06-16,16.7548
2020-06-17,16.5805
2020-06-18,16.4455
2020-06-19,16.5108
2020-06-20,16.5108
2020-06-21,16.5108
2020-06-22,16.4934
2020-06-23,16.3889
2020-06-24,16.1711
2020-06-25,16.4716
2020-06-26,16.0752
2020-06-27,16.0752
2020-06-28,16.0752
2020-06-29,16.2843
2020-06-30,22.8648
2020-07-01,22.2826
2020-07-02,23.0608
2020-07-03,23.0608
2020-07-04,23.0608
2020-07-05,23.0608
2020-07-06,23.4224
2020-07-07,23.1466
2020-07-08,23.0425
2020-07-09,22.8096
2020-07-10,23.1466
2020-07-11,23.1466
2020-07-12,23.1466
2020-07-13,23.0057
2020-07-14,23.4224
2020-07-15,23.6184
2020-07-16,23.6001
2020-07-17,23.5204
2020-07-18,23.5204
2020-07-19,23.5204
2020-07-20,23.2937
2020-07-21,23.6797
2020-07-22,23.7778
2020-07-23,23.9003
2020-07-24,23.9371
2020-07-25,23.9371
2020-07-26,23.9371
2020-07-27,24.7337
2020-07-28,24.5437
2020-07-29,24.8501
2020-07-30,24.4886
