,CORT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.5891
2020-01-02,9.5482
2020-01-03,9.6198
2020-01-04,9.6198
2020-01-05,9.6198
2020-01-06,9.4152
2020-01-07,9.3435
2020-01-08,9.4152
2020-01-09,9.5687
2020-01-10,9.8245
2020-01-11,9.8245
2020-01-12,9.8245
2020-01-13,9.978
2020-01-14,9.8756
2020-01-15,10.1622
2020-01-16,10.6533
2020-01-17,10.4077
2020-01-18,10.4077
2020-01-19,10.4077
2020-01-20,10.4077
2020-01-21,10.2849
2020-01-22,10.6124
2020-01-23,10.6431
2020-01-24,10.5663
2020-01-25,10.5663
2020-01-26,10.5663
2020-01-27,10.7505
2020-01-28,10.9603
2020-01-29,10.6022
2020-01-30,10.5408
2020-01-31,10.1724
2020-02-01,10.1724
2020-02-02,10.1724
2020-02-03,10.2747
2020-02-04,10.551
2020-02-05,10.6175
2020-02-06,11.2877
2020-02-07,11.0831
2020-02-08,11.0831
2020-02-09,11.0831
2020-02-10,11.5742
2020-02-11,11.344
2020-02-12,11.0626
2020-02-13,10.7454
2020-02-14,10.858
2020-02-15,10.858
2020-02-16,10.858
2020-02-17,10.858
2020-02-18,11.2008
2020-02-19,11.3696
2020-02-20,11.1854
2020-02-21,11.1138
2020-02-22,11.1138
2020-02-23,11.1138
2020-02-24,10.8442
2020-02-25,10.8544
2020-02-26,11.1007
2020-02-27,10.8955
2020-02-28,10.1567
2020-02-29,10.1567
2020-03-01,10.1567
2020-03-02,10.7723
2020-03-03,9.8078
2020-03-04,10.3311
2020-03-05,9.931
2020-03-06,9.0691
2020-03-07,9.0691
2020-03-08,9.0691
2020-03-09,8.279
2020-03-10,8.8433
2020-03-11,8.4432
2020-03-12,7.9609
2020-03-13,8.2893
2020-03-14,8.2893
2020-03-15,8.2893
2020-03-16,7.5813
2020-03-17,7.8583
2020-03-18,8.279
2020-03-19,8.515
2020-03-20,7.7352
2020-03-21,7.7352
2020-03-22,7.7352
2020-03-23,7.9814
2020-03-24,8.8228
2020-03-25,7.7967
2020-03-26,8.4945
2020-03-27,8.3611
2020-03-28,8.3611
2020-03-29,8.3611
2020-03-30,9.2127
2020-03-31,7.7927
2020-04-01,7.617
2020-04-02,7.8893
2020-04-03,7.5819
2020-04-04,7.5819
2020-04-05,7.5819
2020-04-06,7.4853
2020-04-07,7.0109
2020-04-08,7.5907
2020-04-09,8.0738
2020-04-10,8.0738
2020-04-11,8.0738
2020-04-12,8.0738
2020-04-13,7.8542
2020-04-14,7.8542
2020-04-15,7.8366
2020-04-16,7.8893
2020-04-17,8.4515
2020-04-18,8.4515
2020-04-19,8.4515
2020-04-20,8.1792
2020-04-21,7.9596
2020-04-22,8.1968
2020-04-23,8.4954
2020-04-24,8.8907
2020-04-25,8.8907
2020-04-26,8.8907
2020-04-27,9.1894
2020-04-28,8.7765
2020-04-29,8.7414
2020-04-30,8.4691
2020-05-01,8.065
2020-05-02,8.065
2020-05-03,8.065
2020-05-04,8.4961
2020-05-05,8.9792
2020-05-06,9.4097
2020-05-07,8.6981
2020-05-08,9.1461
2020-05-09,9.1461
2020-05-10,9.1461
2020-05-11,9.4097
2020-05-12,9.2779
2020-05-13,9.3218
2020-05-14,9.3833
2020-05-15,9.6996
2020-05-16,9.6996
2020-05-17,9.6996
2020-05-18,10.0509
2020-05-19,10.376
2020-05-20,10.5077
2020-05-21,10.7713
2020-05-22,11.1841
2020-05-23,11.1841
2020-05-24,11.1841
2020-05-25,11.1841
2020-05-26,11.0524
2020-05-27,10.6571
2020-05-28,10.7361
2020-05-29,10.6483
2020-05-30,10.6483
2020-05-31,10.6483
2020-06-01,10.6659
2020-06-02,9.928
2020-06-03,10.0861
2020-06-04,9.7523
2020-06-05,9.8138
2020-06-06,9.8138
2020-06-07,9.8138
2020-06-08,10.3057
2020-06-09,10.6834
2020-06-10,10.8591
2020-06-11,10.3057
2020-06-12,10.1739
2020-06-13,10.1739
2020-06-14,10.1739
2020-06-15,10.7273
2020-06-16,11.0524
2020-06-17,11.1753
2020-06-18,11.1314
2020-06-19,11.5663
2020-06-20,11.5663
2020-06-21,11.5663
2020-06-22,13.389
2020-06-23,12.4667
2020-06-24,12.0845
2020-06-25,12.2119
2020-06-26,11.9747
2020-06-27,11.9747
2020-06-28,11.9747
2020-06-29,12.0626
2020-06-30,10.7825
2020-07-01,11.0018
2020-07-02,11.0749
2020-07-03,11.0749
2020-07-04,11.0749
2020-07-05,11.0749
2020-07-06,10.7013
2020-07-07,10.5957
2020-07-08,10.7988
2020-07-09,10.7257
2020-07-10,10.5186
2020-07-11,10.5186
2020-07-12,10.5186
2020-07-13,9.9704
2020-07-14,10.3684
2020-07-15,10.5389
