,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.7765
2020-01-02,19.8638
2020-01-03,19.7075
2020-01-04,19.7075
2020-01-05,19.7075
2020-01-06,19.6248
2020-01-07,19.5513
2020-01-08,19.5398
2020-01-09,19.349
2020-01-10,19.2158
2020-01-11,19.2158
2020-01-12,19.2158
2020-01-13,19.1422
2020-01-14,19.4272
2020-01-15,19.418
2020-01-16,19.6892
2020-01-17,19.6432
2020-01-18,19.6432
2020-01-19,19.6432
2020-01-20,19.6432
2020-01-21,19.5972
2020-01-22,19.6754
2020-01-23,19.5467
2020-01-24,19.4318
2020-01-25,19.4318
2020-01-26,19.4318
2020-01-27,19.4869
2020-01-28,19.8225
2020-01-29,19.0733
2020-01-30,19.2939
2020-01-31,18.2737
2020-02-01,18.2737
2020-02-02,18.2737
2020-02-03,18.647
2020-02-04,20.0053
2020-02-05,19.8771
2020-02-06,20.2707
2020-02-07,19.4611
2020-02-08,19.4611
2020-02-09,19.4611
2020-02-10,19.3801
2020-02-11,19.5668
2020-02-12,19.8884
2020-02-13,19.9064
2020-02-14,20.3336
2020-02-15,20.3336
2020-02-16,20.3336
2020-02-17,20.3336
2020-02-18,20.2122
2020-02-19,20.0593
2020-02-20,20.1312
2020-02-21,20.3606
2020-02-22,20.3606
2020-02-23,20.3606
2020-02-24,19.9378
2020-02-25,19.578
2020-02-26,19.6815
2020-02-27,18.9394
2020-02-28,18.7595
2020-02-29,18.7595
2020-03-01,18.7595
2020-03-02,19.3531
2020-03-03,19.695
2020-03-04,20.491
2020-03-05,19.9198
2020-03-06,19.5465
2020-03-07,19.5465
2020-03-08,19.5465
2020-03-09,19.1552
2020-03-10,19.3891
2020-03-11,18.8449
2020-03-12,18.0353
2020-03-13,18.4671
2020-03-14,18.4671
2020-03-15,18.4671
2020-03-16,17.68
2020-03-17,18.1478
2020-03-18,17.2572
2020-03-19,16.4927
2020-03-20,15.5841
2020-03-21,15.5841
2020-03-22,15.5841
2020-03-23,15.0264
2020-03-24,15.6246
2020-03-25,15.9394
2020-03-26,16.7445
2020-03-27,16.7535
2020-03-28,16.7535
2020-03-29,16.7535
2020-03-30,17.2078
2020-03-31,15.7088
2020-04-01,15.1529
2020-04-02,15.3309
2020-04-03,15.4265
2020-04-04,15.4265
2020-04-05,15.4265
2020-04-06,16.1952
2020-04-07,16.3863
2020-04-08,16.99
2020-04-09,17.3461
2020-04-10,17.3461
2020-04-11,17.3461
2020-04-12,17.3461
2020-04-13,17.75
2020-04-14,18.1756
2020-04-15,18.3711
2020-04-16,18.8184
2020-04-17,18.9205
