,GOLF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.4332
2020-01-02,15.3529
2020-01-03,15.4934
2020-01-04,15.4934
2020-01-05,15.4934
2020-01-06,15.6259
2020-01-07,15.2445
2020-01-08,15.2245
2020-01-09,15.2325
2020-01-10,15.088
2020-01-11,15.088
2020-01-12,15.088
2020-01-13,15.3891
2020-01-14,15.4573
2020-01-15,15.5777
2020-01-16,15.5737
2020-01-17,15.369
2020-01-18,15.369
2020-01-19,15.369
2020-01-20,15.369
2020-01-21,15.3128
2020-01-22,15.1602
2020-01-23,15.2686
2020-01-24,15.08
2020-01-25,15.08
2020-01-26,15.08
2020-01-27,15.104
2020-01-28,15.088
2020-01-29,15.084
2020-01-30,15.2004
2020-01-31,14.819
2020-02-01,14.819
2020-02-02,14.819
2020-02-03,14.8391
2020-02-04,14.9234
2020-02-05,15.0599
2020-02-06,14.9676
2020-02-07,14.7468
2020-02-08,14.7468
2020-02-09,14.7468
2020-02-10,14.7106
2020-02-11,14.526
2020-02-12,14.8391
2020-02-13,14.7749
2020-02-14,14.6986
2020-02-15,14.6986
2020-02-16,14.6986
2020-02-17,14.6986
2020-02-18,14.4698
2020-02-19,14.4216
2020-02-20,14.5541
2020-02-21,14.3614
2020-02-22,14.3614
2020-02-23,14.3614
2020-02-24,13.7592
2020-02-25,13.3537
2020-02-26,13.1851
2020-02-27,12.5445
2020-02-28,12.4968
2020-02-29,12.4968
2020-03-01,12.4968
2020-03-02,12.9378
2020-03-03,12.9259
2020-03-04,13.1047
2020-03-05,12.767
2020-03-06,12.6836
2020-03-07,12.6836
2020-03-08,12.6836
2020-03-09,12.0241
2020-03-10,12.3697
2020-03-11,12.1512
2020-03-12,11.6507
2020-03-13,12.7789
2020-03-14,12.7789
2020-03-15,12.7789
2020-03-16,11.607
2020-03-17,12.2505
2020-03-18,11.8016
2020-03-19,11.5037
2020-03-20,11.0905
2020-03-21,11.0905
2020-03-22,11.0905
2020-03-23,10.7886
2020-03-24,11.7539
2020-03-25,11.9248
2020-03-26,12.7392
2020-03-27,12.5246
2020-03-28,12.5246
2020-03-29,12.5246
2020-03-30,12.5723
2020-03-31,15.5609
2020-04-01,14.9989
2020-04-02,15.2342
2020-04-03,14.7203
2020-04-04,14.7203
2020-04-05,14.7203
2020-04-06,15.4744
2020-04-07,15.6521
2020-04-08,15.0229
2020-04-09,15.0517
2020-04-10,15.0517
2020-04-11,15.0517
2020-04-12,15.0517
2020-04-13,14.8211
2020-04-14,14.4849
2020-04-15,14.4273
2020-04-16,14.5281
2020-04-17,14.8333
2020-04-18,14.8333
2020-04-19,14.8333
2020-04-20,14.9004
2020-04-21,14.5311
2020-04-22,14.6366
2020-04-23,14.6318
2020-04-24,14.7613
2020-04-25,14.7613
2020-04-26,14.7613
2020-04-27,15.5384
2020-04-28,16.2531
2020-04-29,16.5649
2020-04-30,16.349
2020-05-01,15.9269
2020-05-02,15.9269
2020-05-03,15.9269
2020-05-04,16.0948
2020-05-05,16.0756
2020-05-06,16.2675
2020-05-07,16.3586
2020-05-08,16.6944
2020-05-09,16.6944
2020-05-10,16.6944
2020-05-11,16.8287
2020-05-12,16.4066
2020-05-13,16.1236
2020-05-14,16.2147
2020-05-15,16.7471
2020-05-16,16.7471
2020-05-17,16.7471
2020-05-18,17.5434
2020-05-19,17.5673
2020-05-20,17.9463
2020-05-21,18.1238
2020-05-22,18.1477
2020-05-23,18.1477
2020-05-24,18.1477
2020-05-25,18.1477
2020-05-26,18.7185
2020-05-27,19.1934
2020-05-28,19.131
2020-05-29,19.2366
2020-05-30,19.2366
2020-05-31,19.2366
2020-06-01,19.5771
2020-06-02,19.7882
2020-06-03,20.076
2020-06-04,20.1143
2020-06-05,20.287
2020-06-06,20.287
2020-06-07,20.287
2020-06-08,20.5029
2020-06-09,20.263
2020-06-10,20.1143
2020-06-11,19.2462
2020-06-12,19.5148
2020-06-13,19.5148
2020-06-14,19.5148
2020-06-15,19.5339
2020-06-16,19.6635
2020-06-17,20.0424
2020-06-18,20.028
2020-06-19,19.6155
2020-06-20,19.6155
2020-06-21,19.6155
2020-06-22,19.8026
2020-06-23,20.052
2020-06-24,19.4332
2020-06-25,19.4572
2020-06-26,19.2174
2020-06-27,19.2174
2020-06-28,19.2174
2020-06-29,19.7834
2020-06-30,28.7215
2020-07-01,28.6581
2020-07-02,28.5524
2020-07-03,28.5524
