,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.1792
2020-01-02,21.1136
2020-01-03,20.8793
2020-01-04,20.8793
2020-01-05,20.8793
2020-01-06,20.5341
2020-01-07,20.4732
2020-01-08,20.4279
2020-01-09,20.3326
2020-01-10,20.0343
2020-01-11,20.0343
2020-01-12,20.0343
2020-01-13,20.1592
2020-01-14,20.2061
2020-01-15,20.0967
2020-01-16,20.4529
2020-01-17,20.6434
2020-01-18,20.6434
2020-01-19,20.6434
2020-01-20,20.6434
2020-01-21,20.4279
2020-01-22,20.2389
2020-01-23,20.2326
2020-01-24,19.9046
2020-01-25,19.9046
2020-01-26,19.9046
2020-01-27,19.6063
2020-01-28,19.6719
2020-01-29,19.7625
2020-01-30,19.7187
2020-01-31,19.2017
2020-02-01,19.2017
2020-02-02,19.2017
2020-02-03,19.3158
2020-02-04,19.486
2020-02-05,19.8968
2020-02-06,19.6047
2020-02-07,19.4844
2020-02-08,19.4844
2020-02-09,19.4844
2020-02-10,19.447
2020-02-11,19.536
2020-02-12,19.6672
2020-02-13,19.7312
2020-02-14,19.6547
2020-02-15,19.6547
2020-02-16,19.6547
2020-02-17,19.6547
2020-02-18,19.7
2020-02-19,20.1136
2020-02-20,20.1543
2020-02-21,19.6232
2020-02-22,19.6232
2020-02-23,19.6232
2020-02-24,19.5467
2020-02-25,18.9715
2020-02-26,18.6808
2020-02-27,18.1385
2020-02-28,18.2213
2020-02-29,18.2213
2020-03-01,18.2213
2020-03-02,18.5026
2020-03-03,18.0838
2020-03-04,18.5354
2020-03-05,17.9728
2020-03-06,17.5352
2020-03-07,17.5352
2020-03-08,17.5352
2020-03-09,17.1132
2020-03-10,18.015
2020-03-11,17.6993
2020-03-12,16.8475
2020-03-13,16.9757
2020-03-14,16.9757
2020-03-15,16.9757
2020-03-16,15.6753
2020-03-17,16.5974
2020-03-18,14.9564
2020-03-19,14.6375
2020-03-20,13.2371
2020-03-21,13.2371
2020-03-22,13.2371
2020-03-23,12.4463
2020-03-24,14.0905
2020-03-25,14.711
2020-03-26,15.3143
2020-03-27,14.661
2020-03-28,14.661
2020-03-29,14.661
2020-03-30,14.9142
2020-03-31,16.1437
2020-04-01,15.3683
2020-04-02,15.1419
2020-04-03,14.6115
