,INTU US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,35.5934
2020-01-02,36.181
2020-01-03,35.9338
2020-01-04,35.9338
2020-01-05,35.9338
2020-01-06,36.2157
2020-01-07,36.2241
2020-01-08,37.1144
2020-01-09,37.395
2020-01-10,37.4437
2020-01-11,37.4437
2020-01-12,37.4437
2020-01-13,37.5534
2020-01-14,37.0867
2020-01-15,37.1311
2020-01-16,37.6687
2020-01-17,38.4993
2020-01-18,38.4993
2020-01-19,38.4993
2020-01-20,38.4993
2020-01-21,38.7994
2020-01-22,39.5647
2020-01-23,39.2952
2020-01-24,39.2258
2020-01-25,39.2258
2020-01-26,39.2258
2020-01-27,38.6257
2020-01-28,39.2369
2020-01-29,38.9258
2020-01-30,39.0244
2020-01-31,37.4007
2020-02-01,37.4007
2020-02-02,37.4007
2020-02-03,37.7304
2020-02-04,38.8364
2020-02-05,38.6852
2020-02-06,39.2846
2020-02-07,39.3527
2020-02-08,39.3527
2020-02-09,39.3527
2020-02-10,39.7654
2020-02-11,39.6537
2020-02-12,39.8894
2020-02-13,39.779
2020-02-14,40.6576
2020-02-15,40.6576
2020-02-16,40.6576
2020-02-17,40.6576
2020-02-18,40.5595
2020-02-19,40.8374
2020-02-20,40.2422
2020-02-21,39.7423
2020-02-22,39.7423
2020-02-23,39.7423
2020-02-24,38.2522
2020-02-25,38.03
2020-02-26,37.388
2020-02-27,35.845
2020-02-28,35.447
2020-02-29,35.447
2020-03-01,35.447
2020-03-02,37.5366
2020-03-03,35.7727
2020-03-04,38.1323
2020-03-05,38.3545
2020-03-06,36.855
2020-03-07,36.855
2020-03-08,36.855
2020-03-09,34.655
2020-03-10,35.9663
2020-03-11,34.8022
2020-03-12,31.6425
2020-03-13,34.8199
2020-03-14,34.8199
2020-03-15,34.8199
2020-03-16,29.6647
2020-03-17,31.8102
2020-03-18,29.8882
2020-03-19,28.6369
2020-03-20,26.7217
2020-03-21,26.7217
2020-03-22,26.7217
2020-03-23,25.7512
2020-03-24,31.0809
2020-03-25,30.9119
2020-03-26,33.067
2020-03-27,30.518
2020-03-28,30.518
2020-03-29,30.518
2020-03-30,31.6575
2020-03-31,30.5602
2020-04-01,28.9408
2020-04-02,29.9087
2020-04-03,28.9777
2020-04-04,28.9777
2020-04-05,28.9777
2020-04-06,31.9397
2020-04-07,31.8906
2020-04-08,32.7316
2020-04-09,33.5727
2020-04-10,33.5727
2020-04-11,33.5727
2020-04-12,33.5727
2020-04-13,33.2987
2020-04-14,34.8295
2020-04-15,33.5536
2020-04-16,34.3006
2020-04-17,35.3802
2020-04-18,35.3802
2020-04-19,35.3802
2020-04-20,35.1948
2020-04-21,33.1706
2020-04-22,35.1743
2020-04-23,34.3851
2020-04-24,35.1484
2020-04-25,35.1484
2020-04-26,35.1484
2020-04-27,36.2621
2020-04-28,35.5097
2020-04-29,36.4802
2020-04-30,43.49
2020-05-01,42.0218
2020-05-02,42.0218
2020-05-03,42.0218
2020-05-04,43.1467
2020-05-05,44.28
2020-05-06,44.5151
2020-05-07,45.349
2020-05-08,45.2746
2020-05-09,45.2746
2020-05-10,45.2746
2020-05-11,46.5727
2020-05-12,45.53
2020-05-13,44.765
2020-05-14,45.2914
2020-05-15,45.9887
2020-05-16,45.9887
2020-05-17,45.9887
2020-05-18,47.0009
2020-05-19,46.3882
2020-05-20,47.0212
2020-05-21,46.9582
2020-05-22,46.5535
2020-05-23,46.5535
2020-05-24,46.5535
2020-05-25,46.5535
2020-05-26,45.6374
2020-05-27,45.4698
2020-05-28,45.9202
2020-05-29,47.0124
2020-05-30,47.0124
2020-05-31,47.0124
2020-06-01,46.9498
2020-06-02,46.4807
2020-06-03,46.9752
2020-06-04,45.7594
2020-06-05,46.6382
2020-06-06,46.6382
2020-06-07,46.6382
2020-06-08,47.4747
2020-06-09,47.1699
2020-06-10,47.9522
2020-06-11,44.9042
2020-06-12,45.3801
2020-06-13,45.3801
2020-06-14,45.3801
2020-06-15,45.7966
2020-06-16,46.7178
2020-06-17,46.3639
2020-06-18,46.4892
2020-06-19,46.3351
2020-06-20,46.3351
2020-06-21,46.3351
2020-06-22,47.6559
2020-06-23,47.6068
