,KRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2227
2020-01-02,10.8802
2020-01-03,10.7368
2020-01-04,10.7368
2020-01-05,10.7368
2020-01-06,10.5297
2020-01-07,10.3545
2020-01-08,10.2908
2020-01-09,10.1872
2020-01-10,10.235
2020-01-11,10.235
2020-01-12,10.235
2020-01-13,10.3864
2020-01-14,10.6173
2020-01-15,10.6651
2020-01-16,10.7687
2020-01-17,10.5934
2020-01-18,10.5934
2020-01-19,10.5934
2020-01-20,10.5934
2020-01-21,10.3784
2020-01-22,10.1155
2020-01-23,9.9801
2020-01-24,9.781
2020-01-25,9.781
2020-01-26,9.781
2020-01-27,9.4704
2020-01-28,9.6297
2020-01-29,9.4863
2020-01-30,9.5341
2020-01-31,9.1836
2020-02-01,9.1836
2020-02-02,9.1836
2020-02-03,9.4783
2020-02-04,9.4704
2020-02-05,9.7332
2020-02-06,9.5261
2020-02-07,9.2951
2020-02-08,9.2951
2020-02-09,9.2951
2020-02-10,9.3589
2020-02-11,9.5102
2020-02-12,9.55
2020-02-13,9.4306
2020-02-14,9.5739
2020-02-15,9.5739
2020-02-16,9.5739
2020-02-17,9.5739
2020-02-18,9.6456
2020-02-19,9.558
2020-02-20,9.8686
2020-02-21,9.6775
2020-02-22,9.6775
2020-02-23,9.6775
2020-02-24,9.5182
2020-02-25,8.8013
2020-02-26,8.8969
2020-02-27,8.4827
2020-02-28,8.5066
2020-02-29,8.5066
2020-03-01,8.5066
2020-03-02,8.3155
2020-03-03,8.2916
2020-03-04,8.4588
2020-03-05,8.0208
2020-03-06,7.6703
2020-03-07,7.6703
2020-03-08,7.6703
2020-03-09,6.5472
2020-03-10,7.057
2020-03-11,6.826
2020-03-12,6.2366
2020-03-13,6.6826
2020-03-14,6.6826
2020-03-15,6.6826
2020-03-16,6.5632
2020-03-17,7.5906
2020-03-18,7.6862
2020-03-19,7.4791
2020-03-20,7.0809
2020-03-21,7.0809
2020-03-22,7.0809
2020-03-23,6.6906
2020-03-24,7.1048
2020-03-25,7.4154
2020-03-26,7.6703
2020-03-27,7.1048
2020-03-28,7.1048
2020-03-29,7.1048
2020-03-30,7.3915
2020-03-31,8.6362
2020-04-01,8.618
2020-04-02,8.4177
2020-04-03,8.0716
2020-04-04,8.0716
2020-04-05,8.0716
2020-04-06,8.4359
2020-04-07,8.5269
2020-04-08,9.0733
2020-04-09,9.5833
2020-04-10,9.5833
2020-04-11,9.5833
2020-04-12,9.5833
2020-04-13,9.3374
2020-04-14,9.3374
2020-04-15,8.7182
2020-04-16,8.4541
2020-04-17,9.2099
2020-04-18,9.2099
2020-04-19,9.2099
2020-04-20,9.046
2020-04-21,8.9732
2020-04-22,9.0642
2020-04-23,9.3374
2020-04-24,9.3465
2020-04-25,9.3465
2020-04-26,9.3465
2020-04-27,9.4012
2020-04-28,9.6288
2020-04-29,10.1115
2020-04-30,9.5924
2020-05-01,9.3374
2020-05-02,9.3374
2020-05-03,9.3374
2020-05-04,9.1098
2020-05-05,9.301
2020-05-06,9.3103
2020-05-07,8.8282
2020-05-08,9.5378
2020-05-09,9.5378
2020-05-10,9.5378
2020-05-11,9.4923
2020-05-12,9.3831
2020-05-13,8.9829
2020-05-14,8.7554
2020-05-15,8.4371
2020-05-16,8.4371
2020-05-17,8.4371
2020-05-18,8.9192
2020-05-19,8.7736
2020-05-20,9.1193
2020-05-21,9.0101
2020-05-22,9.0011
2020-05-23,9.0011
2020-05-24,9.0011
2020-05-25,9.0011
2020-05-26,9.4013
2020-05-27,9.9926
2020-05-28,10.0563
2020-05-29,9.8289
2020-05-30,9.8289
2020-05-31,9.8289
2020-06-01,9.9198
2020-06-02,10.0927
2020-06-03,10.2655
2020-06-04,10.5839
2020-06-05,11.0023
2020-06-06,11.0023
