,LLY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.976
2020-01-02,28.1265
2020-01-03,28.0416
2020-01-04,28.0416
2020-01-05,28.0416
2020-01-06,28.1362
2020-01-07,28.1844
2020-01-08,28.4161
2020-01-09,28.8426
2020-01-10,29.2441
2020-01-11,29.2441
2020-01-12,29.2441
2020-01-13,29.4255
2020-01-14,29.7556
2020-01-15,29.8444
2020-01-16,29.9062
2020-01-17,29.5491
2020-01-18,29.5491
2020-01-19,29.5491
2020-01-20,29.5491
2020-01-21,29.8058
2020-01-22,29.9312
2020-01-23,29.8637
2020-01-24,29.4506
2020-01-25,29.4506
2020-01-26,29.4506
2020-01-27,29.3039
2020-01-28,29.4873
2020-01-29,29.6147
2020-01-30,30.1455
2020-01-31,29.5607
2020-02-01,29.5607
2020-02-02,29.5607
2020-02-03,29.8232
2020-02-04,30.2941
2020-02-05,31.0488
2020-02-06,31.0392
2020-02-07,30.8674
2020-02-08,30.8674
2020-02-09,30.8674
2020-02-10,30.6937
2020-02-11,30.4505
2020-02-12,30.3076
2020-02-13,29.9776
2020-02-14,29.8463
2020-02-15,29.8463
2020-02-16,29.8463
2020-02-17,29.8463
2020-02-18,29.8251
2020-02-19,29.6842
2020-02-20,29.9092
2020-02-21,29.9169
2020-02-22,29.9169
2020-02-23,29.9169
2020-02-24,29.1689
2020-02-25,28.6421
2020-02-26,28.2807
2020-02-27,27.4463
2020-02-28,26.8579
2020-02-29,26.8579
2020-03-01,26.8579
2020-03-02,28.148
2020-03-03,27.6616
2020-03-04,29.5977
2020-03-05,29.5535
2020-03-06,29.8053
2020-03-07,29.8053
2020-03-08,29.8053
2020-03-09,28.7017
2020-03-10,29.7534
2020-03-11,29.5285
2020-03-12,26.8368
2020-03-13,29.4035
2020-03-14,29.4035
2020-03-15,29.4035
2020-03-16,27.4828
2020-03-17,30.1399
2020-03-18,30.1187
2020-03-19,28.1961
2020-03-20,26.1569
2020-03-21,26.1569
2020-03-22,26.1569
2020-03-23,25.5124
2020-03-24,26.2512
2020-03-25,26.0684
2020-03-26,28.4561
2020-03-27,28.4099
2020-03-28,28.4099
2020-03-29,28.4099
2020-03-30,29.243
2020-03-31,25.056
2020-04-01,24.6842
2020-04-02,25.6154
2020-04-03,25.208
2020-04-04,25.208
2020-04-05,25.208
2020-04-06,25.5232
2020-04-07,25.5669
2020-04-08,26.2685
2020-04-09,26.1893
2020-04-10,26.1893
2020-04-11,26.1893
2020-04-12,26.1893
2020-04-13,25.9775
2020-04-14,27.059
2020-04-15,27.0703
2020-04-16,27.6442
2020-04-17,28.0581
2020-04-18,28.0581
2020-04-19,28.0581
2020-04-20,28.1389
2020-04-21,27.3112
2020-04-22,27.9643
2020-04-23,28.4849
2020-04-24,28.9699
2020-04-25,28.9699
2020-04-26,28.9699
2020-04-27,28.7047
2020-04-28,28.0597
2020-04-29,27.7137
2020-04-30,27.6297
2020-05-01,27.4511
2020-05-02,27.4511
2020-05-03,27.4511
2020-05-04,27.3946
2020-05-05,28.1394
2020-05-06,27.9439
2020-05-07,27.3445
2020-05-08,27.4318
2020-05-09,27.4318
2020-05-10,27.4318
2020-05-11,28.246
2020-05-12,28.1119
2020-05-13,28.1459
2020-05-14,28.2186
2020-05-15,28.3559
2020-05-16,28.3559
2020-05-17,28.3559
2020-05-18,28.1507
2020-05-19,27.9471
2020-05-20,27.3704
2020-05-21,27.233
2020-05-22,27.0521
2020-05-23,27.0521
2020-05-24,27.0521
2020-05-25,27.0521
2020-05-26,26.5351
2020-05-27,26.17
2020-05-28,26.9697
2020-05-29,27.3413
2020-05-30,27.3413
2020-05-31,27.3413
2020-06-01,27.2605
2020-06-02,27.4883
2020-06-03,27.2734
2020-06-04,26.9794
2020-06-05,26.737
2020-06-06,26.737
2020-06-07,26.737
2020-06-08,26.737
2020-06-09,26.7241
2020-06-10,27.0262
2020-06-11,25.9082
2020-06-12,25.821
2020-06-13,25.821
2020-06-14,25.821
2020-06-15,25.4946
2020-06-16,29.0797
2020-06-17,28.4755
2020-06-18,28.6532
2020-06-19,28.4706
2020-06-20,28.4706
2020-06-21,28.4706
2020-06-22,28.553
2020-06-23,28.3737
2020-06-24,28.0005
2020-06-25,28.9424
2020-06-26,28.9375
2020-06-27,28.9375
2020-06-28,28.9375
2020-06-29,28.9197
2020-06-30,30.4618
2020-07-01,30.312
2020-07-02,30.409
2020-07-03,30.409
2020-07-04,30.409
2020-07-05,30.409
2020-07-06,30.9231
2020-07-07,30.8993
2020-07-08,31.3044
2020-07-09,30.8482
2020-07-10,30.3222
2020-07-11,30.3222
2020-07-12,30.3222
2020-07-13,30.1043
2020-07-14,30.4107
2020-07-15,30.678
2020-07-16,30.6014
2020-07-17,30.7648
2020-07-18,30.7648
2020-07-19,30.7648
2020-07-20,30.9486
2020-07-21,30.6524
2020-07-22,30.5741
2020-07-23,30.0089
2020-07-24,29.6719
2020-07-25,29.6719
2020-07-26,29.6719
2020-07-27,29.8353
2020-07-28,30.2013
2020-07-29,30.0481
2020-07-30,28.5586
2020-07-31,28.0978
2020-08-01,28.0978
2020-08-02,28.0978
2020-08-03,28.5319
2020-08-04,28.874
2020-08-05,28.7872
2020-08-06,28.5387
2020-08-07,28.5472
2020-08-08,28.5472
2020-08-09,28.5472
2020-08-10,28.5591
2020-08-11,28.1557
2020-08-12,28.4825
2020-08-13,28.1267
2020-08-14,28.0637
2020-08-15,28.0637
2020-08-16,28.0637
2020-08-17,28.3089
2020-08-18,28.5778
2020-08-19,28.4382
2020-08-20,28.2765
2020-08-21,27.9224
2020-08-22,27.9224
2020-08-23,27.9224
2020-08-24,27.9667
2020-08-25,27.9939
2020-08-26,27.9224
2020-08-27,27.8731
2020-08-28,27.5956
2020-08-29,27.5956
2020-08-30,27.5956
2020-08-31,27.7743
2020-09-01,27.5888
2020-09-02,27.9718
2020-09-03,27.8816
2020-09-04,28.2033
2020-09-05,28.2033
2020-09-06,28.2033
2020-09-07,28.2033
2020-09-08,27.9309
2020-09-09,28.3838
2020-09-10,27.4049
2020-09-11,27.7233
2020-09-12,27.7233
2020-09-13,27.7233
2020-09-14,27.8782
2020-09-15,28.062
2020-09-16,28.2118
2020-09-17,28.4689
2020-09-18,28.7583
2020-09-19,28.7583
2020-09-20,28.7583
2020-09-21,28.2493
2020-09-22,28.0246
2020-09-23,28.0161
2020-09-24,27.8458
2020-09-25,28.0927
2020-09-26,28.0927
2020-09-27,28.0927
2020-09-28,27.725
