,MMM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.4125
2020-01-02,19.7446
2020-01-03,19.6008
2020-01-04,19.6008
2020-01-05,19.6008
2020-01-06,19.6166
2020-01-07,19.5498
2020-01-08,19.803
2020-01-09,19.8559
2020-01-10,19.7882
2020-01-11,19.7882
2020-01-12,19.7882
2020-01-13,19.8299
2020-01-14,19.8716
2020-01-15,19.7242
2020-01-16,19.8382
2020-01-17,19.8698
2020-01-18,19.8698
2020-01-19,19.8698
2020-01-20,19.8698
2020-01-21,19.688
2020-01-22,19.5618
2020-01-23,19.535
2020-01-24,19.573
2020-01-25,19.573
2020-01-26,19.573
2020-01-27,19.3393
2020-01-28,18.4071
2020-01-29,18.0751
2020-01-30,18.1224
2020-01-31,17.7653
2020-02-01,17.7653
2020-02-02,17.7653
2020-02-03,17.5733
2020-02-04,17.6336
2020-02-05,18.1057
2020-02-06,18.1721
2020-02-07,17.9112
2020-02-08,17.9112
2020-02-09,17.9112
2020-02-10,17.9177
2020-02-11,18.1312
2020-02-12,18.2566
2020-02-13,17.8815
2020-02-14,17.9976
2020-02-15,17.9976
2020-02-16,17.9976
2020-02-17,17.9976
2020-02-18,17.7998
2020-02-19,17.8425
2020-02-20,17.7701
2020-02-21,17.6188
2020-02-22,17.6188
2020-02-23,17.6188
2020-02-24,17.2122
2020-02-25,16.683
2020-02-26,16.8789
2020-02-27,16.9903
2020-02-28,16.9049
2020-02-29,16.9049
2020-03-01,16.9049
2020-03-02,17.2558
2020-03-03,16.5335
2020-03-04,17.3449
2020-03-05,17.1063
2020-03-06,17.3143
2020-03-07,17.3143
2020-03-08,17.3143
2020-03-09,16.424
2020-03-10,17.2818
2020-03-11,16.7192
2020-03-12,15.4511
2020-03-13,16.203
2020-03-14,16.203
2020-03-15,16.203
2020-03-16,15.2032
2020-03-17,15.5309
2020-03-18,15.7704
2020-03-19,15.8159
2020-03-20,14.6443
2020-03-21,14.6443
2020-03-22,14.6443
2020-03-23,13.9926
2020-03-24,15.3712
2020-03-25,15.2617
2020-03-26,15.6924
2020-03-27,15.4195
2020-03-28,15.4195
2020-03-29,15.4195
2020-03-30,15.8297
2020-03-31,14.5435
2020-04-01,14.2542
2020-04-02,14.6637
2020-04-03,14.31
2020-04-04,14.31
2020-04-05,14.31
2020-04-06,14.9032
2020-04-07,15.238
2020-04-08,15.6148
2020-04-09,15.511
2020-04-10,15.511
2020-04-11,15.511
2020-04-12,15.511
2020-04-13,15.3925
2020-04-14,15.7136
2020-04-15,15.2861
2020-04-16,15.2637
2020-04-17,15.3977
2020-04-18,15.3977
2020-04-19,15.3977
2020-04-20,15.1581
2020-04-21,14.983
2020-04-22,15.153
2020-04-23,15.2148
2020-04-24,15.444
2020-04-25,15.444
2020-04-26,15.444
2020-04-27,16.0149
2020-04-28,16.3533
2020-04-29,16.2375
2020-04-30,15.8649
2020-05-01,15.5799
2020-05-02,15.5799
2020-05-03,15.5799
2020-05-04,15.5628
2020-05-05,15.4795
2020-05-06,15.3739
2020-05-07,15.3344
2020-05-08,15.5722
2020-05-09,15.5722
2020-05-10,15.5722
2020-05-11,15.3336
2020-05-12,14.9722
2020-05-13,14.5087
2020-05-14,14.4975
2020-05-15,14.7293
2020-05-16,14.7293
2020-05-17,14.7293
2020-05-18,15.6375
2020-05-19,15.5611
2020-05-20,15.6726
2020-05-21,15.3405
2020-05-22,15.3945
2020-05-23,15.3945
2020-05-24,15.3945
2020-05-25,15.3945
2020-05-26,15.8787
2020-05-27,16.3997
2020-05-28,16.2855
2020-05-29,16.2529
2020-05-30,16.2529
2020-05-31,16.2529
2020-06-01,16.1791
2020-06-02,16.3559
2020-06-03,16.6623
2020-06-04,16.7774
2020-06-05,17.1945
2020-06-06,17.1945
2020-06-07,17.1945
2020-06-08,17.1482
2020-06-09,17.1336
2020-06-10,16.8933
2020-06-11,15.9044
2020-06-12,16.1181
2020-06-13,16.1181
2020-06-14,16.1181
2020-06-15,16.3636
2020-06-16,16.5302
2020-06-17,16.4915
2020-06-18,16.4907
2020-06-19,16.3997
2020-06-20,16.3997
2020-06-21,16.3997
2020-06-22,16.2744
2020-06-23,16.3731
2020-06-24,15.8907
2020-06-25,16.101
2020-06-26,15.9164
2020-06-27,15.9164
2020-06-28,15.9164
2020-06-29,16.1782
2020-06-30,15.8679
2020-07-01,15.8201
2020-07-02,15.9575
2020-07-03,15.9575
2020-07-04,15.9575
2020-07-05,15.9575
2020-07-06,16.048
2020-07-07,15.7681
2020-07-08,15.7476
2020-07-09,15.4804
2020-07-10,15.5999
2020-07-11,15.5999
2020-07-12,15.5999
2020-07-13,15.7663
2020-07-14,16.0856
2020-07-15,16.153
2020-07-16,16.2529
2020-07-17,16.1957
2020-07-18,16.1957
2020-07-19,16.1957
2020-07-20,15.9003
2020-07-21,16.0224
2020-07-22,16.1001
2020-07-23,16.1496
