,MRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.1256
2020-01-02,28.2687
2020-01-03,28.369
2020-01-04,28.369
2020-01-05,28.369
2020-01-06,28.6696
2020-01-07,28.4262
2020-01-08,27.696
2020-01-09,27.9394
2020-01-10,27.5529
2020-01-11,27.5529
2020-01-12,27.5529
2020-01-13,27.5672
2020-01-14,27.696
2020-01-15,27.6388
2020-01-16,27.7819
2020-01-17,27.5958
2020-01-18,27.5958
2020-01-19,27.5958
2020-01-20,27.5958
2020-01-21,27.0804
2020-01-22,26.5077
2020-01-23,26.1784
2020-01-24,25.7632
2020-01-25,25.7632
2020-01-26,25.7632
2020-01-27,25.4196
2020-01-28,25.5341
2020-01-29,25.5055
2020-01-30,25.663
2020-01-31,24.9614
2020-02-01,24.9614
2020-02-02,24.9614
2020-02-03,25.1046
2020-02-04,25.5341
2020-02-05,26.0925
2020-02-06,25.7489
2020-02-07,25.4052
2020-02-08,25.4052
2020-02-09,25.4052
2020-02-10,24.9757
2020-02-11,25.2478
2020-02-12,25.305
2020-02-13,24.5892
2020-02-14,23.9162
2020-02-15,23.9162
2020-02-16,23.9162
2020-02-17,23.9162
2020-02-18,23.4294
2020-02-19,23.6728
2020-02-20,23.283
2020-02-21,23.0836
2020-02-22,23.0836
2020-02-23,23.0836
2020-02-24,22.1577
2020-02-25,21.3885
2020-02-26,20.6621
2020-02-27,19.9783
2020-02-28,20.4769
2020-02-29,20.4769
2020-03-01,20.4769
2020-03-02,20.5623
2020-03-03,20.192
2020-03-04,20.2347
2020-03-05,19.7931
2020-03-06,18.4114
2020-03-07,18.4114
2020-03-08,18.4114
2020-03-09,13.8532
2020-03-10,14.95
2020-03-11,14.5085
2020-03-12,14.3518
2020-03-13,15.1352
2020-03-14,15.1352
2020-03-15,15.1352
2020-03-16,14.3803
2020-03-17,13.839
2020-03-18,13.5968
2020-03-19,14.1381
2020-03-20,13.7535
2020-03-21,13.7535
2020-03-22,13.7535
2020-03-23,13.4544
2020-03-24,13.8247
2020-03-25,13.782
2020-03-26,14.2093
2020-03-27,13.6965
2020-03-28,13.6965
2020-03-29,13.6965
2020-03-30,13.2977
2020-03-31,14.4813
2020-04-01,14.2191
2020-04-02,14.7589
2020-04-03,15.0365
2020-04-04,15.0365
2020-04-05,15.0365
2020-04-06,14.9903
2020-04-07,15.0828
2020-04-08,15.4992
2020-04-09,15.7181
2020-04-10,15.7181
2020-04-11,15.7181
2020-04-12,15.7181
2020-04-13,16.1317
2020-04-14,15.9172
2020-04-15,15.8866
2020-04-16,15.3657
2020-04-17,16.0704
2020-04-18,16.0704
2020-04-19,16.0704
2020-04-20,15.8559
2020-04-21,15.9019
2020-04-22,16.3461
2020-04-23,16.821
2020-04-24,16.9588
2020-04-25,16.9588
2020-04-26,16.9588
2020-04-27,16.8363
2020-04-28,17.0507
2020-04-29,18.3681
2020-04-30,18.7817
2020-05-01,17.832
2020-05-02,17.832
2020-05-03,17.832
2020-05-04,18.3068
2020-05-05,17.8779
