,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.6393
2020-01-02,10.4542
2020-01-03,10.3378
2020-01-04,10.3378
2020-01-05,10.3378
2020-01-06,10.2644
2020-01-07,10.2453
2020-01-08,10.2245
2020-01-09,10.1958
2020-01-10,10.0794
2020-01-11,10.0794
2020-01-12,10.0794
2020-01-13,10.1751
2020-01-14,10.2756
2020-01-15,10.1846
2020-01-16,10.1719
2020-01-17,10.2453
2020-01-18,10.2453
2020-01-19,10.2453
2020-01-20,10.2453
2020-01-21,10.014
2020-01-22,9.9518
2020-01-23,9.9167
2020-01-24,9.6902
2020-01-25,9.6902
2020-01-26,9.6902
2020-01-27,9.5067
2020-01-28,9.553
2020-01-29,9.3281
2020-01-30,9.4557
2020-01-31,9.2372
2020-02-01,9.2372
2020-02-02,9.2372
2020-02-03,9.3089
2020-02-04,9.4525
2020-02-05,9.561
2020-02-06,9.486
2020-02-07,9.3058
2020-02-08,9.3058
2020-02-09,9.3058
2020-02-10,9.2643
2020-02-11,9.3727
2020-02-12,9.3775
2020-02-13,9.3105
2020-02-14,9.1829
2020-02-15,9.1829
2020-02-16,9.1829
2020-02-17,9.1829
2020-02-18,9.2212
2020-02-19,9.2723
2020-02-20,9.2946
2020-02-21,9.4094
2020-02-22,9.4094
2020-02-23,9.4094
2020-02-24,9.2053
2020-02-25,8.8352
2020-02-26,8.6278
2020-02-27,8.3311
2020-02-28,8.2096
2020-02-29,8.2096
2020-03-01,8.2096
2020-03-02,8.4234
2020-03-03,8.2919
2020-03-04,8.5009
2020-03-05,8.1178
2020-03-06,7.9341
2020-03-07,7.9341
2020-03-08,7.9341
2020-03-09,7.1598
2020-03-10,7.5414
2020-03-11,7.2722
2020-03-12,6.6927
2020-03-13,7.3371
2020-03-14,7.3371
2020-03-15,7.3371
2020-03-16,6.5137
2020-03-17,6.5691
2020-03-18,6.3095
2020-03-19,6.5422
2020-03-20,6.5121
2020-03-21,6.5121
2020-03-22,6.5121
2020-03-23,6.1622
2020-03-24,6.7259
2020-03-25,6.6024
2020-03-26,6.9729
2020-03-27,6.9445
2020-03-28,6.9445
2020-03-29,6.9445
2020-03-30,7.1915
2020-03-31,7.3657
2020-04-01,7.3467
2020-04-02,7.353
2020-04-03,10.2587
2020-04-04,10.2587
2020-04-05,10.2587
2020-04-06,10.6662
2020-04-07,10.6246
2020-04-08,11.0036
2020-04-09,11.0869
2020-04-10,11.0869
2020-04-11,11.0869
2020-04-12,11.0869
2020-04-13,10.9466
2020-04-14,10.8568
2020-04-15,10.2324
2020-04-16,10.228
2020-04-17,10.6267
2020-04-18,10.6267
2020-04-19,10.6267
2020-04-20,10.4515
2020-04-21,10.3463
2020-04-22,10.423
2020-04-23,10.7122
2020-04-24,10.7451
2020-04-25,10.7451
2020-04-26,10.7451
2020-04-27,11.3213
2020-04-28,11.3191
2020-04-29,11.7595
2020-04-30,11.4725
2020-05-01,11.4309
2020-05-02,11.4309
2020-05-03,11.4309
2020-05-04,11.444
2020-05-05,11.3761
2020-05-06,11.3213
2020-05-07,11.4111
2020-05-08,11.6938
2020-05-09,11.6938
2020-05-10,11.6938
2020-05-11,11.3498
2020-05-12,10.9948
