,OSK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.5473
2020-01-02,8.5499
2020-01-03,8.5166
2020-01-04,8.5166
2020-01-05,8.5166
2020-01-06,8.4619
2020-01-07,8.5482
2020-01-08,8.514
2020-01-09,8.4568
2020-01-10,8.3509
2020-01-11,8.3509
2020-01-12,8.3509
2020-01-13,8.3321
2020-01-14,8.2689
2020-01-15,8.2741
2020-01-16,8.3133
2020-01-17,8.3014
2020-01-18,8.3014
2020-01-19,8.3014
2020-01-20,8.3014
2020-01-21,8.1844
2020-01-22,8.1289
2020-01-23,8.1178
2020-01-24,8.0905
2020-01-25,8.0905
2020-01-26,8.0905
2020-01-27,7.9684
2020-01-28,8.0759
2020-01-29,7.9259
2020-01-30,7.9482
2020-01-31,7.8394
2020-02-01,7.8394
2020-02-02,7.8394
2020-02-03,8.0322
2020-02-04,8.2028
2020-02-05,8.3982
2020-02-06,8.2071
2020-02-07,7.9414
2020-02-08,7.9414
2020-02-09,7.9414
2020-02-10,7.9182
2020-02-11,7.7494
2020-02-12,7.7922
2020-02-13,7.7657
2020-02-14,7.6757
2020-02-15,7.6757
2020-02-16,7.6757
2020-02-17,7.6757
2020-02-18,7.7502
2020-02-19,7.6834
2020-02-20,7.7237
2020-02-21,7.7237
2020-02-22,7.7237
2020-02-23,7.7237
2020-02-24,7.3877
2020-02-25,7.038
2020-02-26,7.0397
2020-02-27,6.7971
2020-02-28,6.6489
2020-02-29,6.6489
2020-03-01,6.6489
2020-03-02,7.0191
2020-03-03,6.8674
2020-03-04,6.9471
2020-03-05,6.5169
2020-03-06,6.4037
2020-03-07,6.4037
2020-03-08,6.4037
2020-03-09,5.8364
2020-03-10,6.1218
2020-03-11,5.8235
2020-03-12,5.4695
2020-03-13,5.6075
2020-03-14,5.6075
2020-03-15,5.6075
2020-03-16,5.0718
2020-03-17,5.4704
2020-03-18,4.9938
2020-03-19,5.047
2020-03-20,4.8104
2020-03-21,4.8104
2020-03-22,4.8104
2020-03-23,4.6459
2020-03-24,5.179
2020-03-25,5.5115
2020-03-26,5.8046
2020-03-27,5.4292
2020-03-28,5.4292
2020-03-29,5.4292
2020-03-30,5.7549
2020-03-31,6.4834
2020-04-01,6.4648
2020-04-02,6.4435
2020-04-03,6.2838
2020-04-04,6.2838
2020-04-05,6.2838
2020-04-06,6.526
2020-04-07,6.3699
2020-04-08,6.4453
2020-04-09,6.6085
2020-04-10,6.6085
2020-04-11,6.6085
2020-04-12,6.6085
2020-04-13,6.4098
2020-04-14,6.6475
2020-04-15,6.2368
2020-04-16,6.1197
2020-04-17,6.4408
2020-04-18,6.4408
2020-04-19,6.4408
2020-04-20,6.5428
2020-04-21,6.2847
2020-04-22,6.3175
2020-04-23,6.4036
2020-04-24,6.4071
2020-04-25,6.4071
2020-04-26,6.4071
2020-04-27,6.7016
2020-04-28,6.7486
2020-04-29,7.1803
2020-04-30,6.7463
2020-05-01,6.4033
2020-05-02,6.4033
2020-05-03,6.4033
2020-05-04,6.3043
2020-05-05,6.4033
2020-05-06,6.3123
2020-05-07,6.3733
2020-05-08,6.6685
2020-05-09,6.6685
2020-05-10,6.6685
2020-05-11,6.4608
2020-05-12,6.1541
2020-05-13,6.0162
2020-05-14,6.0506
2020-05-15,6.17
2020-05-16,6.17
2020-05-17,6.17
2020-05-18,6.5943
2020-05-19,6.4608
2020-05-20,6.619
2020-05-21,6.6049
2020-05-22,6.581
2020-05-23,6.581
2020-05-24,6.581
2020-05-25,6.581
2020-05-26,6.9849
2020-05-27,7.4128
2020-05-28,7.2457
2020-05-29,7.1255
2020-05-30,7.1255
2020-05-31,7.1255
2020-06-01,7.1644
2020-06-02,7.2192
2020-06-03,7.4649
2020-06-04,7.9316
2020-06-05,8.1588
2020-06-06,8.1588
2020-06-07,8.1588
2020-06-08,8.3135
2020-06-09,8.0845
2020-06-10,7.7168
2020-06-11,7.0548
2020-06-12,7.1105
2020-06-13,7.1105
2020-06-14,7.1105
2020-06-15,7.2598
2020-06-16,7.4172
2020-06-17,7.3571
2020-06-18,7.2987
2020-06-19,7.2713
2020-06-20,7.2713
2020-06-21,7.2713
2020-06-22,7.19
2020-06-23,7.1997
2020-06-24,6.9133
2020-06-25,6.9717
2020-06-26,6.9019
2020-06-27,6.9019
2020-06-28,6.9019
2020-06-29,7.0954
2020-06-30,7.7515
2020-07-01,7.6189
2020-07-02,7.7678
2020-07-03,7.7678
2020-07-04,7.7678
2020-07-05,7.7678
2020-07-06,7.7649
2020-07-07,7.6112
2020-07-08,7.6924
2020-07-09,7.6189
2020-07-10,7.7916
2020-07-11,7.7916
2020-07-12,7.7916
2020-07-13,7.9062
2020-07-14,8.1
2020-07-15,8.3415
2020-07-16,8.3033
2020-07-17,8.2813
2020-07-18,8.2813
2020-07-19,8.2813
2020-07-20,8.1353
2020-07-21,8.3472
2020-07-22,8.4742
2020-07-23,8.4952
2020-07-24,8.4226
2020-07-25,8.4226
2020-07-26,8.4226
2020-07-27,8.6097
2020-07-28,8.4923
2020-07-29,8.5982
2020-07-30,8.5782
2020-07-31,8.4332
2020-08-01,8.4332
2020-08-02,8.4332
2020-08-03,8.5392
2020-08-04,8.4237
2020-08-05,8.5822
2020-08-06,8.5536
2020-08-07,8.6376
2020-08-08,8.6376
2020-08-09,8.6376
2020-08-10,8.8305
2020-08-11,8.9022
2020-08-12,8.8697
2020-08-13,8.6825
2020-08-14,8.6319
2020-08-15,8.6319
