,PFE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.8832
2020-01-02,12.8723
2020-01-03,12.8149
2020-01-04,12.8149
2020-01-05,12.8149
2020-01-06,12.8013
2020-01-07,12.7657
2020-01-08,12.8504
2020-01-09,12.804
2020-01-10,12.9679
2020-01-11,12.9679
2020-01-12,12.9679
2020-01-13,12.9461
2020-01-14,13.1264
2020-01-15,13.2903
2020-01-16,13.2739
2020-01-17,13.2466
2020-01-18,13.2466
2020-01-19,13.2466
2020-01-20,13.2466
2020-01-21,13.2002
2020-01-22,13.1592
2020-01-23,13.3013
2020-01-24,13.0581
2020-01-25,13.0581
2020-01-26,13.0581
2020-01-27,13.151
2020-01-28,12.5991
2020-01-29,12.4461
2020-01-30,12.3067
2020-01-31,12.3532
2020-02-01,12.3532
2020-02-02,12.3532
2020-02-03,12.427
2020-02-04,12.4761
2020-02-05,12.6073
2020-02-06,12.6319
2020-02-07,12.5745
2020-02-08,12.5745
2020-02-09,12.5745
2020-02-10,12.5089
2020-02-11,12.5854
2020-02-12,12.4898
2020-02-13,12.2685
2020-02-14,12.1537
2020-02-15,12.1537
2020-02-16,12.1537
2020-02-17,12.1537
2020-02-18,12.1018
2020-02-19,12.0772
2020-02-20,11.9734
2020-02-21,11.9379
2020-02-22,11.9379
2020-02-23,11.9379
2020-02-24,11.651
2020-02-25,11.4488
2020-02-26,11.6647
2020-02-27,11.4953
2020-02-28,11.3318
2020-02-29,11.3318
2020-03-01,11.3318
2020-03-02,11.7317
2020-03-03,11.5728
2020-03-04,12.148
2020-03-05,11.8905
2020-03-06,11.77
2020-03-07,11.77
2020-03-08,11.77
2020-03-09,11.4249
2020-03-10,11.6522
2020-03-11,10.9894
2020-03-12,10.4005
2020-03-13,11.1373
2020-03-14,11.1373
2020-03-15,11.1373
2020-03-16,10.4444
2020-03-17,10.9867
2020-03-18,11.0415
2020-03-19,10.5101
2020-03-20,10.1239
2020-03-21,10.1239
2020-03-22,10.1239
2020-03-23,9.9815
2020-03-24,10.3129
2020-03-25,10.3266
2020-03-26,10.8744
2020-03-27,11.3219
2020-03-28,11.3219
2020-03-29,11.3219
2020-03-30,11.8421
2020-03-31,11.8333
2020-04-01,11.5717
2020-04-02,11.9009
2020-04-03,12.1272
2020-04-04,12.1272
2020-04-05,12.1272
2020-04-06,12.4006
2020-04-07,12.1184
2020-04-08,12.4094
2020-04-09,12.6416
2020-04-10,12.6416
2020-04-11,12.6416
2020-04-12,12.6416
2020-04-13,12.5681
2020-04-14,12.9502
2020-04-15,12.8121
2020-04-16,12.7856
2020-04-17,13.0884
2020-04-18,13.0884
2020-04-19,13.0884
2020-04-20,12.8444
2020-04-21,12.7092
2020-04-22,12.8944
2020-04-23,13.0237
2020-04-24,13.2265
2020-04-25,13.2265
2020-04-26,13.2265
2020-04-27,13.5058
2020-04-28,13.3823
2020-04-29,13.444
2020-04-30,13.5146
2020-05-01,13.303
2020-05-02,13.303
2020-05-03,13.303
2020-05-04,13.2971
2020-05-05,13.5587
2020-05-06,13.5587
2020-05-07,13.1172
2020-05-08,13.1937
2020-05-09,13.1937
2020-05-10,13.1937
2020-05-11,13.4527
2020-05-12,13.2349
2020-05-13,13.1437
2020-05-14,13.3997
2020-05-15,13.3526
2020-05-16,13.3526
2020-05-17,13.3526
2020-05-18,13.4439
2020-05-19,13.3291
2020-05-20,13.3144
2020-05-21,13.2055
2020-05-22,13.2761
2020-05-23,13.2761
2020-05-24,13.2761
2020-05-25,13.2761
2020-05-26,13.2732
2020-05-27,13.2496
2020-05-28,13.4762
2020-05-29,13.4792
2020-05-30,13.4792
2020-05-31,13.4792
2020-06-01,12.6757
2020-06-02,12.8817
2020-06-03,12.8817
2020-06-04,12.8376
2020-06-05,12.8317
2020-06-06,12.8317
2020-06-07,12.8317
2020-06-08,13.0083
2020-06-09,12.8964
2020-06-10,12.8111
2020-06-11,12.04
2020-06-12,12.1724
2020-06-13,12.1724
2020-06-14,12.1724
2020-06-15,12.0577
2020-06-16,12.0694
2020-06-17,12.1165
2020-06-18,12.0223
2020-06-19,12.0753
2020-06-20,12.0753
2020-06-21,12.0753
2020-06-22,11.9841
2020-06-23,11.884
2020-06-24,11.7133
2020-06-25,11.7516
2020-06-26,13.8161
2020-06-27,13.8161
2020-06-28,13.8161
2020-06-29,14.0159
2020-06-30,14.0359
2020-07-01,14.3823
2020-07-02,14.6387
2020-07-03,14.6387
2020-07-04,14.6387
2020-07-05,14.6387
2020-07-06,14.6387
2020-07-07,14.4788
2020-07-08,14.3856
2020-07-09,14.289
2020-07-10,14.4122
2020-07-11,14.4122
2020-07-12,14.4122
2020-07-13,14.8718
2020-07-14,14.8785
2020-07-15,15.0416
2020-07-16,15.0017
2020-07-17,15.2181
2020-07-18,15.2181
2020-07-19,15.2181
2020-07-20,15.3014
2020-07-21,15.3647
2020-07-22,15.9874
2020-07-23,15.9375
2020-07-24,15.6877
2020-07-25,15.6877
2020-07-26,15.6877
2020-07-27,15.6477
2020-07-28,16.1406
2020-07-29,16.2205
2020-07-30,16.0474
2020-07-31,15.9608
2020-08-01,15.9608
2020-08-02,15.9608
2020-08-03,15.9175
2020-08-04,15.9308
2020-08-05,15.9508
2020-08-06,15.8909
2020-08-07,15.9508
2020-08-08,15.9508
2020-08-09,15.9508
2020-08-10,15.9355
2020-08-11,15.7356
2020-08-12,15.9155
2020-08-13,15.8622
2020-08-14,15.8256
2020-08-15,15.8256
2020-08-16,15.8256
2020-08-17,15.9222
2020-08-18,15.9255
2020-08-19,15.8922
2020-08-20,16.0455
2020-08-21,16.0988
2020-08-22,16.0988
2020-08-23,16.0988
2020-08-24,16.0854
2020-08-25,15.9422
2020-08-26,15.8223
2020-08-27,15.759
2020-08-28,15.7756
2020-08-29,15.7756
2020-08-30,15.7756
2020-08-31,15.7356
2020-09-01,15.4325
2020-09-02,15.5391
2020-09-03,15.2726
2020-09-04,15.2592
2020-09-05,15.2592
2020-09-06,15.2592
2020-09-07,15.2592
2020-09-08,15.116
2020-09-09,15.1993
2020-09-10,15.0227
2020-09-11,15.1626
2020-09-12,15.1626
2020-09-13,15.1626
2020-09-14,15.4758
2020-09-15,15.4591
2020-09-16,15.3992
2020-09-17,15.4125
2020-09-18,15.3492
2020-09-19,15.3492
2020-09-20,15.3492
2020-09-21,15.146
2020-09-22,15.2226
2020-09-23,15.1393
2020-09-24,15.0594
2020-09-25,31.3263
2020-09-26,31.3263
2020-09-27,31.3263
2020-09-28,31.56
2020-09-29,31.4088
2020-09-30,31.7732
2020-10-01,31.5463
2020-10-02,31.5532
2020-10-03,31.5532
2020-10-04,31.5532
2020-10-05,31.8075
2020-10-06,31.4088
2020-10-07,31.615
2020-10-08,31.9038
2020-10-09,31.835
2020-10-10,31.835
2020-10-11,31.835
2020-10-12,31.8557
2020-10-13,31.9107
2020-10-14,31.8832
2020-10-15,31.67
2020-10-16,32.6325
2020-10-17,32.6325
2020-10-18,32.6325
2020-10-19,32.5294
2020-10-20,32.3163
2020-10-21,32.0344
2020-10-22,32.275
2020-10-23,32.7906
2020-10-24,32.7906
2020-10-25,32.7906
2020-10-26,32.6119
2020-10-27,32.275
2020-10-28,30.9138
2020-10-29,30.7969
2020-10-30,30.9344
2020-10-31,30.9344
2020-11-01,30.9344
2020-11-02,31.4501
2020-11-03,31.4226
2020-11-04,32.2063
2020-11-05,31.5669
2020-11-06,31.5738
2020-11-07,31.5738
2020-11-08,31.5738
2020-11-09,33.4992
2020-11-10,33.1416
2020-11-11,33.0178
2020-11-12,32.3646
