,PRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.365
2020-01-02,13.4689
2020-01-03,13.459
2020-01-04,13.459
2020-01-05,13.459
2020-01-06,13.3667
2020-01-07,13.3593
2020-01-08,13.2947
2020-01-09,13.3904
2020-01-10,13.2571
2020-01-11,13.2571
2020-01-12,13.2571
2020-01-13,13.2498
2020-01-14,13.2064
2020-01-15,13.1173
2020-01-16,13.186
2020-01-17,13.1909
2020-01-18,13.1909
2020-01-19,13.1909
2020-01-20,13.1909
2020-01-21,13.0258
2020-01-22,13.0454
2020-01-23,12.9555
2020-01-24,12.7086
2020-01-25,12.7086
2020-01-26,12.7086
2020-01-27,12.4265
2020-01-28,12.5541
2020-01-29,12.5009
2020-01-30,12.6137
2020-01-31,12.384
2020-02-01,12.384
2020-02-02,12.384
2020-02-03,12.5925
2020-02-04,12.7911
2020-02-05,13.0184
2020-02-06,12.8386
2020-02-07,12.7764
2020-02-08,12.7764
2020-02-09,12.7764
2020-02-10,12.7822
2020-02-11,12.9923
2020-02-12,13.3552
2020-02-13,13.8825
2020-02-14,13.8784
2020-02-15,13.8784
2020-02-16,13.8784
2020-02-17,13.8784
2020-02-18,13.7787
2020-02-19,13.7844
2020-02-20,13.8425
2020-02-21,13.5097
2020-02-22,13.5097
2020-02-23,13.5097
2020-02-24,13.0716
2020-02-25,12.6178
2020-02-26,12.5132
2020-02-27,12.075
2020-02-28,11.7384
2020-02-29,11.7384
2020-03-01,11.7384
2020-03-02,12.1357
2020-03-03,11.8749
2020-03-04,12.2219
2020-03-05,11.8075
2020-03-06,11.6417
2020-03-07,11.6417
2020-03-08,11.6417
2020-03-09,10.7739
2020-03-10,11.0543
2020-03-11,10.5708
2020-03-12,9.9508
2020-03-13,10.713
2020-03-14,10.713
2020-03-15,10.713
2020-03-16,9.6006
2020-03-17,9.8785
2020-03-18,8.6874
2020-03-19,8.4631
2020-03-20,7.7578
2020-03-21,7.7578
2020-03-22,7.7578
2020-03-23,8.1746
2020-03-24,9.1578
2020-03-25,9.261
2020-03-26,9.8485
2020-03-27,10.0012
2020-03-28,10.0012
2020-03-29,10.0012
2020-03-30,10.0622
2020-03-31,10.0986
2020-04-01,9.7421
2020-04-02,9.5718
2020-04-03,9.4024
2020-04-04,9.4024
2020-04-05,9.4024
2020-04-06,9.9263
2020-04-07,10.0057
2020-04-08,10.7794
2020-04-09,11.1584
2020-04-10,11.1584
2020-04-11,11.1584
2020-04-12,11.1584
2020-04-13,10.7949
2020-04-14,10.8907
2020-04-15,10.2301
2020-04-16,10.3258
2020-04-17,10.7679
2020-04-18,10.7679
2020-04-19,10.7679
2020-04-20,10.6811
2020-04-21,10.3283
2020-04-22,10.6001
2020-04-23,10.5387
2020-04-24,10.6607
2020-04-25,10.6607
2020-04-26,10.6607
2020-04-27,10.7949
2020-04-28,11.0577
2020-04-29,11.463
2020-04-30,11.3033
2020-05-01,10.8549
2020-05-02,10.8549
2020-05-03,10.8549
2020-05-04,10.9829
2020-05-05,11.02
2020-05-06,10.9088
2020-05-07,11.273
2020-05-08,11.5549
2020-05-09,11.5549
2020-05-10,11.5549
2020-05-11,11.4067
2020-05-12,11.132
2020-05-13,10.7952
2020-05-14,11.0807
2020-05-15,11.0823
2020-05-16,11.0823
2020-05-17,11.0823
2020-05-18,11.5366
2020-05-19,11.3713
2020-05-20,11.5596
2020-05-21,11.7348
2020-05-22,11.6652
2020-05-23,11.6652
2020-05-24,11.6652
2020-05-25,11.6652
2020-05-26,12.2006
2020-05-27,12.4167
2020-05-28,12.2309
2020-05-29,12.0999
2020-05-30,12.0999
2020-05-31,12.0999
2020-06-01,12.2522
2020-06-02,12.1449
2020-06-03,12.4429
2020-06-04,12.5616
2020-06-05,12.8285
2020-06-06,12.8285
2020-06-07,12.8285
2020-06-08,13.4425
2020-06-09,13.2689
2020-06-10,12.736
2020-06-11,11.9386
2020-06-12,12.1629
2020-06-13,12.1629
2020-06-14,12.1629
2020-06-15,12.2964
2020-06-16,12.465
2020-06-17,12.3725
2020-06-18,12.3799
2020-06-19,12.465
2020-06-20,12.465
2020-06-21,12.465
2020-06-22,12.5469
2020-06-23,12.4568
2020-06-24,12.1506
2020-06-25,12.307
2020-06-26,11.9435
2020-06-27,11.9435
2020-06-28,11.9435
