,RMAX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.3793
2020-01-02,18.9702
2020-01-03,19.0954
2020-01-04,19.0954
2020-01-05,19.0954
2020-01-06,19.0704
2020-01-07,18.9952
2020-01-08,18.9284
2020-01-09,18.9827
2020-01-10,18.9409
2020-01-11,18.9409
2020-01-12,18.9409
2020-01-13,19.0912
2020-01-14,19.062
2020-01-15,19.2332
2020-01-16,19.4169
2020-01-17,19.3042
2020-01-18,19.3042
2020-01-19,19.3042
2020-01-20,19.3042
2020-01-21,19.3543
2020-01-22,19.4085
2020-01-23,19.5797
2020-01-24,19.3125
2020-01-25,19.3125
2020-01-26,19.3125
2020-01-27,19.1539
2020-01-28,19.5421
2020-01-29,19.6674
2020-01-30,19.6006
2020-01-31,19.2916
2020-02-01,19.2916
2020-02-02,19.2916
2020-02-03,19.3042
2020-02-04,19.5797
2020-02-05,19.8594
2020-02-06,19.9221
2020-02-07,19.6298
2020-02-08,19.6298
2020-02-09,19.6298
2020-02-10,19.3626
2020-02-11,18.6153
2020-02-12,18.8366
2020-02-13,19.3626
2020-02-14,19.2415
2020-02-15,19.2415
2020-02-16,19.2415
2020-02-17,19.2415
2020-02-18,19.5964
2020-02-19,19.5087
2020-02-20,20.2477
2020-02-21,17.4391
2020-02-22,17.4391
2020-02-23,17.4391
2020-02-24,16.9491
2020-02-25,16.3716
2020-02-26,16.3004
2020-02-27,15.6141
2020-02-28,15.5094
2020-02-29,15.5094
2020-03-01,15.5094
2020-03-02,15.9447
2020-03-03,15.5094
2020-03-04,16.1581
2020-03-05,15.8903
2020-03-06,14.8942
2020-03-07,14.8942
2020-03-08,14.8942
2020-03-09,14.1535
2020-03-10,14.3753
2020-03-11,13.7224
2020-03-12,13.17
2020-03-13,14.7561
2020-03-14,14.7561
2020-03-15,14.7561
2020-03-16,14.5552
2020-03-17,13.9191
2020-03-18,9.3406
2020-03-19,11.7386
2020-03-20,10.7175
2020-03-21,10.7175
2020-03-22,10.7175
2020-03-23,10.9225
2020-03-24,11.6256
2020-03-25,12.4752
2020-03-26,12.7682
2020-03-27,12.5799
2020-03-28,12.5799
2020-03-29,12.5799
2020-03-30,12.4669
2020-03-31,13.5106
2020-04-01,12.6725
2020-04-02,12.0654
2020-04-03,11.1458
2020-04-04,11.1458
2020-04-05,11.1458
2020-04-06,12.4369
2020-04-07,12.6136
2020-04-08,13.6012
2020-04-09,14.4755
2020-04-10,14.4755
2020-04-11,14.4755
2020-04-12,14.4755
2020-04-13,14.1675
2020-04-14,14.1765
2020-04-15,13.8051
2020-04-16,13.4653
2020-04-17,13.9819
2020-04-18,13.9819
2020-04-19,13.9819
2020-04-20,13.2748
2020-04-21,13.5668
2020-04-22,13.6215
2020-04-23,14.0276
2020-04-24,14.0093
2020-04-25,14.0093
2020-04-26,14.0093
2020-04-27,14.7393
2020-04-28,15.1818
2020-04-29,16.1353
2020-04-30,15.5741
2020-05-01,14.8351
2020-05-02,14.8351
2020-05-03,14.8351
2020-05-04,14.6434
2020-05-05,14.4153
2020-05-06,14.3013
2020-05-07,14.7712
2020-05-08,15.5924
2020-05-09,15.5924
2020-05-10,15.5924
2020-05-11,15.4783
2020-05-12,14.5978
2020-05-13,13.7584
2020-05-14,13.7766
2020-05-15,13.8314
2020-05-16,13.8314
2020-05-17,13.8314
2020-05-18,15.2
2020-05-19,14.7073
2020-05-20,15.3369
2020-05-21,15.0404
2020-05-22,15.2137
2020-05-23,15.2137
2020-05-24,15.2137
2020-05-25,15.2137
2020-05-26,15.7931
2020-05-27,16.7557
2020-05-28,16.3542
2020-05-29,16.3497
2020-05-30,16.3497
2020-05-31,16.3497
2020-06-01,16.6325
2020-06-02,16.8196
2020-06-03,17.1846
2020-06-04,17.9282
2020-06-05,18.6855
2020-06-06,18.6855
2020-06-07,18.6855
2020-06-08,19.6071
2020-06-09,19.2603
2020-06-10,18.6992
2020-06-11,17.8187
2020-06-12,18.1107
2020-06-13,18.1107
2020-06-14,18.1107
2020-06-15,18.4939
2020-06-16,18.8406
2020-06-17,18.5988
2020-06-18,18.576
2020-06-19,18.2932
2020-06-20,18.2932
2020-06-21,18.2932
2020-06-22,18.3068
2020-06-23,17.9692
2020-06-24,17.3899
2020-06-25,17.513
2020-06-26,17.6864
2020-06-27,17.6864
2020-06-28,17.6864
2020-06-29,17.6043
2020-06-30,22.281
2020-07-01,22.1443
2020-07-02,22.1216
2020-07-03,22.1216
2020-07-04,22.1216
2020-07-05,22.1216
2020-07-06,22.4064
2020-07-07,22.0589
2020-07-08,22.2412
2020-07-09,21.7114
2020-07-10,21.8083
2020-07-11,21.8083
2020-07-12,21.8083
2020-07-13,21.2045
2020-07-14,21.5007
2020-07-15,22.3437
2020-07-16,21.9165
2020-07-17,22.3893
2020-07-18,22.3893
2020-07-19,22.3893
2020-07-20,22.5829
2020-07-21,22.8449
2020-07-22,23.7905
2020-07-23,23.7677
2020-07-24,22.9646
2020-07-25,22.9646
2020-07-26,22.9646
2020-07-27,23.369
2020-07-28,22.9589
2020-07-29,23.6196
2020-07-30,23.2949
2020-07-31,22.8165
2020-08-01,22.8165
2020-08-02,22.8165
2020-08-03,22.7424
2020-08-04,23.0158
2020-08-05,22.9873
2020-08-06,23.2892
2020-08-07,24.1892
2020-08-08,24.1892
2020-08-09,24.1892
2020-08-10,24.6335
2020-08-11,25.0721
2020-08-12,25.1689
