,ROK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.3765
2020-01-02,18.6245
2020-01-03,18.374
2020-01-04,18.374
2020-01-05,18.374
2020-01-06,18.5084
2020-01-07,18.4734
2020-01-08,18.6028
2020-01-09,18.7523
2020-01-10,18.5786
2020-01-11,18.5786
2020-01-12,18.5786
2020-01-13,18.703
2020-01-14,18.3957
2020-01-15,18.3398
2020-01-16,18.5928
2020-01-17,18.5494
2020-01-18,18.5494
2020-01-19,18.5494
2020-01-20,18.5494
2020-01-21,18.303
2020-01-22,18.1018
2020-01-23,18.3456
2020-01-24,18.1302
2020-01-25,18.1302
2020-01-26,18.1302
2020-01-27,17.6459
2020-01-28,17.8755
2020-01-29,17.8812
2020-01-30,17.7673
2020-01-31,17.5035
2020-02-01,17.5035
2020-02-02,17.5035
2020-02-03,17.7464
2020-02-04,18.4021
2020-02-05,18.6433
2020-02-06,18.6232
2020-02-07,18.4298
2020-02-08,18.4298
2020-02-09,18.4298
2020-02-10,18.5219
2020-02-11,18.5336
2020-02-12,18.6919
2020-02-13,18.2983
2020-02-14,18.2589
2020-02-15,18.2589
2020-02-16,18.2589
2020-02-17,18.2589
2020-02-18,18.0964
2020-02-19,18.2321
2020-02-20,18.6467
2020-02-21,18.9867
2020-02-22,18.9867
2020-02-23,18.9867
2020-02-24,18.4331
2020-02-25,17.9398
2020-02-26,17.7966
2020-02-27,17.0463
2020-02-28,16.8202
2020-02-29,16.8202
2020-03-01,16.8202
2020-03-02,17.4139
2020-03-03,16.857
2020-03-04,17.5529
2020-03-05,16.8118
2020-03-06,16.4307
2020-03-07,16.4307
2020-03-08,16.4307
2020-03-09,14.2357
2020-03-10,15.6393
2020-03-11,14.7759
2020-03-12,13.9803
2020-03-13,15.3697
2020-03-14,15.3697
2020-03-15,15.3697
2020-03-16,14.2919
2020-03-17,14.4468
2020-03-18,12.2191
2020-03-19,12.7652
2020-03-20,12.0709
2020-03-21,12.0709
2020-03-22,12.0709
2020-03-23,11.5592
2020-03-24,13.3363
2020-03-25,14.3965
2020-03-26,14.7927
2020-03-27,14.1369
2020-03-28,14.1369
2020-03-29,14.1369
2020-03-30,14.2039
2020-03-31,13.8942
2020-04-01,13.2988
2020-04-02,13.7954
2020-04-03,13.5541
2020-04-04,13.5541
2020-04-05,13.5541
2020-04-06,14.4295
2020-04-07,14.6494
2020-04-08,15.2852
2020-04-09,15.272
2020-04-10,15.272
2020-04-11,15.272
2020-04-12,15.272
2020-04-13,14.6873
2020-04-14,14.9549
2020-04-15,14.5572
2020-04-16,14.5564
2020-04-17,15.3502
2020-04-18,15.3502
2020-04-19,15.3502
2020-04-20,15.3461
2020-04-21,15.0101
2020-04-22,15.1526
2020-04-23,15.412
2020-04-24,15.8443
2020-04-25,15.8443
2020-04-26,15.8443
2020-04-27,16.4282
2020-04-28,17.5657
2020-04-29,17.6396
2020-04-30,17.0223
2020-05-01,16.5059
2020-05-02,16.5059
2020-05-03,16.5059
2020-05-04,16.8942
2020-05-05,17.1462
2020-05-06,17.0001
2020-05-07,17.1487
2020-05-08,17.2661
2020-05-09,17.2661
2020-05-10,17.2661
2020-05-11,17.3408
2020-05-12,16.9475
2020-05-13,16.8072
2020-05-14,17.1479
2020-05-15,17.7111
2020-05-16,17.7111
2020-05-17,17.7111
2020-05-18,18.3104
2020-05-19,18.1018
2020-05-20,18.3818
2020-05-21,18.1921
2020-05-22,18.0657
2020-05-23,18.0657
2020-05-24,18.0657
2020-05-25,18.0657
2020-05-26,19.1913
2020-05-27,19.4655
2020-05-28,19.2323
2020-05-29,19.2126
2020-05-30,19.2126
2020-05-31,19.2126
2020-06-01,19.0903
2020-06-02,19.33
2020-06-03,19.5525
2020-06-04,19.7323
2020-06-05,20.1346
2020-06-06,20.1346
2020-06-07,20.1346
2020-06-08,19.9851
2020-06-09,19.5312
2020-06-10,19.3752
2020-06-11,18.3834
2020-06-12,18.5583
2020-06-13,18.5583
2020-06-14,18.5583
2020-06-15,18.7463
2020-06-16,19.0139
2020-06-17,18.8604
2020-06-18,18.6798
2020-06-19,18.6355
2020-06-20,18.6355
2020-06-21,18.6355
2020-06-22,18.7529
2020-06-23,18.5993
2020-06-24,18.2989
2020-06-25,18.5591
2020-06-26,18.3186
2020-06-27,18.3186
2020-06-28,18.3186
2020-06-29,18.5977
2020-06-30,21.8697
2020-07-01,21.6335
2020-07-02,21.6798
2020-07-03,21.6798
2020-07-04,21.6798
2020-07-05,21.6798
2020-07-06,22.0199
2020-07-07,21.7223
2020-07-08,21.8017
2020-07-09,21.7157
2020-07-10,21.6713
2020-07-11,21.6713
2020-07-12,21.6713
2020-07-13,21.7563
2020-07-14,22.4431
2020-07-15,22.7236
2020-07-16,22.8407
2020-07-17,23.0297
2020-07-18,23.0297
2020-07-19,23.0297
2020-07-20,22.7614
2020-07-21,23.1761
2020-07-22,23.1544
2020-07-23,23.0967
2020-07-24,23.1156
2020-07-25,23.1156
2020-07-26,23.1156
2020-07-27,23.3811
2020-07-28,22.7722
2020-07-29,22.6483
2020-07-30,22.5414
2020-07-31,22.3807
2020-08-01,22.3807
2020-08-02,22.3807
2020-08-03,22.6294
2020-08-04,22.5991
2020-08-05,22.9292
2020-08-06,22.741
2020-08-07,22.9008
2020-08-08,22.9008
2020-08-09,22.9008
2020-08-10,23.438
2020-08-11,23.7085
2020-08-12,24.0812
2020-08-13,23.8797
2020-08-14,23.6962
2020-08-15,23.6962
2020-08-16,23.6962
2020-08-17,23.8286
2020-08-18,23.788
2020-08-19,23.3775
2020-08-20,23.2025
2020-08-21,23.3624
2020-08-22,23.3624
2020-08-23,23.3624
2020-08-24,23.5771
2020-08-25,23.5818
2020-08-26,23.7284
2020-08-27,23.6925
2020-08-28,23.8116
2020-08-29,23.8116
2020-08-30,23.8116
2020-08-31,23.5525
2020-09-01,23.875
2020-09-02,24.1928
2020-09-03,23.3898
2020-09-04,23.3368
2020-09-05,23.3368
2020-09-06,23.3368
2020-09-07,23.3368
2020-09-08,22.6436
2020-09-09,22.9888
2020-09-10,22.497
2020-09-11,22.7694
2020-09-12,22.7694
2020-09-13,22.7694
2020-09-14,22.9973
2020-09-15,23.0077
2020-09-16,23.0559
2020-09-17,22.7646
2020-09-18,22.4582
2020-09-19,22.4582
2020-09-20,22.4582
2020-09-21,21.5238
2020-09-22,21.9976
2020-09-23,21.8737
2020-09-24,22.3078
2020-09-25,22.1471
2020-09-26,22.1471
2020-09-27,22.1471
2020-09-28,22.5556
2020-09-29,22.6729
2020-09-30,23.2376
2020-10-01,23.1242
2020-10-02,23.5064
2020-10-03,23.5064
2020-10-04,23.5064
2020-10-05,24.4633
2020-10-06,24.4213
2020-10-07,24.7761
2020-10-08,25.2355
2020-10-09,25.5444
2020-10-10,25.5444
2020-10-11,25.5444
2020-10-12,25.5395
2020-10-13,25.434
2020-10-14,25.5151
2020-10-15,25.8543
2020-10-16,26.0087
2020-10-17,26.0087
2020-10-18,26.0087
2020-10-19,25.562
2020-10-20,25.2219
2020-10-21,24.8152
2020-10-22,25.0606
2020-10-23,25.4291
2020-10-24,25.4291
2020-10-25,25.4291
2020-10-26,24.827
2020-10-27,24.8211
2020-10-28,24.5406
2020-10-29,24.7194
2020-10-30,24.8446
2020-10-31,24.8446
2020-11-01,24.8446
2020-11-02,25.6529
2020-11-03,26.4329
2020-11-04,25.389
2020-11-05,26.1329
2020-11-06,26.0488
2020-11-07,26.0488
2020-11-08,26.0488
2020-11-09,26.5669
2020-11-10,26.0551
2020-11-11,25.3834
2020-11-12,24.6871
2020-11-13,25.1474
2020-11-14,25.1474
2020-11-15,25.1474
