,SC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,34.8046
2020-01-02,34.8272
2020-01-03,34.7544
2020-01-04,34.7544
2020-01-05,34.7544
2020-01-06,34.7218
2020-01-07,34.6841
2020-01-08,34.6992
2020-01-09,34.7017
2020-01-10,34.6691
2020-01-11,34.6691
2020-01-12,34.6691
2020-01-13,34.6314
2020-01-14,34.6138
2020-01-15,34.6716
2020-01-16,34.7268
2020-01-17,34.7393
2020-01-18,34.7393
2020-01-19,34.7393
2020-01-20,34.7393
2020-01-21,34.7393
2020-01-22,34.8949
2020-01-23,34.9351
2020-01-24,34.8347
2020-01-25,34.8347
2020-01-26,34.8347
2020-01-27,34.6615
2020-01-28,34.7569
2020-01-29,35.4898
2020-01-30,35.6454
2020-01-31,35.6203
2020-02-01,35.6203
2020-02-02,35.6203
2020-02-03,35.6278
2020-02-04,35.6128
2020-02-05,35.6178
2020-02-06,35.6253
2020-02-07,35.5651
2020-02-08,35.5651
2020-02-09,35.5651
2020-02-10,35.5751
2020-02-11,35.6153
2020-02-12,35.6379
2020-02-13,35.7307
2020-02-14,35.6479
2020-02-15,35.6479
2020-02-16,35.6479
2020-02-17,35.6479
2020-02-18,35.6178
2020-02-19,35.6103
2020-02-20,35.6303
2020-02-21,35.6303
2020-02-22,35.6303
2020-02-23,35.6303
2020-02-24,35.5324
2020-02-25,35.422
2020-02-26,35.4571
2020-02-27,35.3513
2020-02-28,35.0507
2020-02-29,35.0507
2020-03-01,35.0507
2020-03-02,34.963
2020-03-03,34.8202
2020-03-04,35.1158
2020-03-05,34.7451
2020-03-06,34.6524
2020-03-07,34.6524
2020-03-08,34.6524
2020-03-09,33.9461
2020-03-10,34.2642
2020-03-11,34.1014
2020-03-12,33.5979
2020-03-13,33.9035
2020-03-14,33.9035
2020-03-15,33.9035
2020-03-16,32.9266
2020-03-17,32.8139
2020-03-18,32.2153
2020-03-19,32.065
2020-03-20,31.817
2020-03-21,31.817
2020-03-22,31.817
2020-03-23,31.4714
2020-03-24,32.1702
2020-03-25,32.8715
2020-03-26,32.9692
2020-03-27,32.6636
2020-03-28,32.6636
2020-03-29,32.6636
2020-03-30,32.601
2020-03-31,44.0445
2020-04-01,43.5275
2020-04-02,43.6819
2020-04-03,43.3597
2020-04-04,43.3597
2020-04-05,43.3597
2020-04-06,43.7961
2020-04-07,44.0747
2020-04-08,44.3969
2020-04-09,44.9206
2020-04-10,44.9206
2020-04-11,44.9206
2020-04-12,44.9206
2020-04-13,44.4708
2020-04-14,44.2392
2020-04-15,43.927
2020-04-16,43.6148
2020-04-17,44.0478
2020-04-18,44.0478
2020-04-19,44.0478
2020-04-20,43.8531
2020-04-21,43.5812
2020-04-22,43.5275
2020-04-23,43.6484
2020-04-24,43.4967
2020-04-25,43.4967
2020-04-26,43.4967
2020-04-27,43.6556
2020-04-28,44.0401
2020-04-29,44.7932
2020-04-30,44.3293
2020-05-01,44.1227
2020-05-02,44.1227
2020-05-03,44.1227
2020-05-04,44.1672
2020-05-05,44.1704
2020-05-06,44.145
2020-05-07,44.2721
2020-05-08,44.3928
2020-05-09,44.3928
2020-05-10,44.3928
2020-05-11,44.1736
2020-05-12,43.8876
2020-05-13,43.5984
2020-05-14,44.0592
2020-05-15,43.9511
2020-05-16,43.9511
2020-05-17,43.9511
2020-05-18,44.3388
2020-05-19,44.3102
2020-05-20,44.4055
2020-05-21,44.3293
2020-05-22,44.2911
2020-05-23,44.2911
2020-05-24,44.2911
2020-05-25,44.2911
2020-05-26,44.682
2020-05-27,45.0919
2020-05-28,44.8663
2020-05-29,44.628
2020-05-30,44.628
2020-05-31,44.628
2020-06-01,45.0665
2020-06-02,45.0315
2020-06-03,45.3143
2020-06-04,45.6067
2020-06-05,46.1119
2020-06-06,46.1119
2020-06-07,46.1119
2020-06-08,46.2581
2020-06-09,45.9467
2020-06-10,45.6257
2020-06-11,45.1268
2020-06-12,45.4065
2020-06-13,45.4065
2020-06-14,45.4065
2020-06-15,45.4192
2020-06-16,45.5272
2020-06-17,45.4796
2020-06-18,45.4478
2020-06-19,45.3588
2020-06-20,45.3588
2020-06-21,45.3588
2020-06-22,45.3906
2020-06-23,45.3811
2020-06-24,45.1332
2020-06-25,45.3715
2020-06-26,45.184
2020-06-27,45.184
2020-06-28,45.184
2020-06-29,45.3652
2020-06-30,115.8255
2020-07-01,115.2809
2020-07-02,115.4091
2020-07-03,115.4091
2020-07-04,115.4091
2020-07-05,115.4091
2020-07-06,116.33
2020-07-07,115.369
2020-07-08,115.7694
2020-07-09,114.9446
2020-07-10,115.1208
2020-07-11,115.1208
2020-07-12,115.1208
2020-07-13,115.5052
2020-07-14,115.361
2020-07-15,115.6413
2020-07-16,115.7935
2020-07-17,115.353
2020-07-18,115.353
2020-07-19,115.353
2020-07-20,115.2409
2020-07-21,115.5853
2020-07-22,115.8495
2020-07-23,115.7454
2020-07-24,115.6013
2020-07-25,115.6013
2020-07-26,115.6013
2020-07-27,115.4011
2020-07-28,115.6894
2020-07-29,114.7575
2020-07-30,114.5288
2020-07-31,115.5364
2020-08-01,115.5364
2020-08-02,115.5364
2020-08-03,115.7883
2020-08-04,115.5993
2020-08-05,116.2843
2020-08-06,116.0953
2020-08-07,116.0245
2020-08-08,116.0245
2020-08-09,116.0245
2020-08-10,116.3157
2020-08-11,115.56
2020-08-12,115.3789
2020-08-13,115.0483
2020-08-14,115.127
2020-08-15,115.127
2020-08-16,115.127
2020-08-17,114.9617
2020-08-18,114.7019
2020-08-19,114.6783
2020-08-20,114.4893
2020-08-21,114.5444
2020-08-22,114.5444
2020-08-23,114.5444
2020-08-24,114.9774
2020-08-25,114.7255
2020-08-26,114.5759
2020-08-27,114.9695
2020-08-28,115.1506
2020-08-29,115.1506
2020-08-30,115.1506
2020-08-31,114.631
2020-09-01,114.5366
2020-09-02,114.8987
2020-09-03,114.9538
2020-09-04,115.3002
2020-09-05,115.3002
2020-09-06,115.3002
2020-09-07,115.3002
2020-09-08,114.7885
2020-09-09,114.7885
2020-09-10,114.6074
2020-09-11,114.8278
2020-09-12,114.8278
2020-09-13,114.8278
2020-09-14,114.757
2020-09-15,114.6704
2020-09-16,115.5049
2020-09-17,115.6466
2020-09-18,115.4419
2020-09-19,115.4419
2020-09-20,115.4419
2020-09-21,114.6625
2020-09-22,114.5759
2020-09-23,114.1114
2020-09-24,114.0406
2020-09-25,114.1429
2020-09-26,114.1429
2020-09-27,114.1429
2020-09-28,114.6389
2020-09-29,114.7176
2020-09-30,62.8592
2020-10-01,63.0278
2020-10-02,63.3103
2020-10-03,63.3103
2020-10-04,63.3103
2020-10-05,63.5421
2020-10-06,63.3018
2020-10-07,63.3609
2020-10-08,63.5042
