,SIGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.028
2020-01-02,12.0681
2020-01-03,12.1291
2020-01-04,12.1291
2020-01-05,12.1291
2020-01-06,12.248
2020-01-07,12.1195
2020-01-08,12.1821
2020-01-09,12.2945
2020-01-10,12.1918
2020-01-11,12.1918
2020-01-12,12.1918
2020-01-13,12.1918
2020-01-14,12.2399
2020-01-15,12.2785
2020-01-16,12.4767
2020-01-17,12.5193
2020-01-18,12.5193
2020-01-19,12.5193
2020-01-20,12.5193
2020-01-21,12.5129
2020-01-22,12.488
2020-01-23,12.2544
2020-01-24,12.1725
2020-01-25,12.1725
2020-01-26,12.1725
2020-01-27,12.2094
2020-01-28,12.2191
2020-01-29,12.1275
2020-01-30,12.3539
2020-01-31,12.2158
2020-02-01,12.2158
2020-02-02,12.2158
2020-02-03,12.3412
2020-02-04,12.4747
2020-02-05,12.3991
2020-02-06,12.5101
2020-02-07,12.5535
2020-02-08,12.5535
2020-02-09,12.5535
2020-02-10,12.6243
2020-02-11,12.7224
2020-02-12,12.6307
2020-02-13,12.8382
2020-02-14,12.8478
2020-02-15,12.8478
2020-02-16,12.8478
2020-02-17,12.8478
2020-02-18,12.5398
2020-02-19,12.3769
2020-02-20,12.235
2020-02-21,12.235
2020-02-22,12.235
2020-02-23,12.235
2020-02-24,12.0576
2020-02-25,11.7899
2020-02-26,11.7237
2020-02-27,11.1706
2020-02-28,10.5577
2020-02-29,10.5577
2020-03-01,10.5577
2020-03-02,10.9077
2020-03-03,10.7319
2020-03-04,11.0915
2020-03-05,10.5513
2020-03-06,10.548
2020-03-07,10.548
2020-03-08,10.548
2020-03-09,9.7804
2020-03-10,10.3206
2020-03-11,9.9158
2020-03-12,9.1756
2020-03-13,9.8594
2020-03-14,9.8594
2020-03-15,9.8594
2020-03-16,8.224
2020-03-17,9.1885
2020-03-18,9.0353
2020-03-19,9.3288
2020-03-20,9.0482
2020-03-21,9.0482
2020-03-22,9.0482
2020-03-23,8.9353
2020-03-24,9.7449
2020-03-25,9.1869
2020-03-26,9.4288
2020-03-27,9.4417
2020-03-28,9.4417
2020-03-29,9.4417
2020-03-30,9.8081
2020-03-31,12.4527
2020-04-01,12.2243
2020-04-02,12.1972
2020-04-03,11.9241
