,TNC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.705
2020-01-02,23.8472
2020-01-03,24.1365
2020-01-04,24.1365
2020-01-05,24.1365
2020-01-06,24.1265
2020-01-07,24.0542
2020-01-08,24.0841
2020-01-09,24.2837
2020-01-10,24.3111
2020-01-11,24.3111
2020-01-12,24.3111
2020-01-13,25.0169
2020-01-14,24.8623
2020-01-15,25.2115
2020-01-16,25.7901
2020-01-17,25.3661
2020-01-18,25.3661
2020-01-19,25.3661
2020-01-20,25.3661
2020-01-21,24.9371
2020-01-22,24.8822
2020-01-23,24.9795
2020-01-24,24.7825
2020-01-25,24.7825
2020-01-26,24.7825
2020-01-27,24.4707
2020-01-28,24.4034
2020-01-29,24.119
2020-01-30,24.0467
2020-01-31,23.5304
2020-02-01,23.5304
2020-02-02,23.5304
2020-02-03,23.5703
2020-02-04,24.0392
2020-02-05,24.3884
2020-02-06,24.2911
2020-02-07,24.1814
2020-02-08,24.1814
2020-02-09,24.1814
2020-02-10,24.3959
2020-02-11,24.7126
2020-02-12,24.7027
2020-02-13,24.7526
2020-02-14,24.7376
2020-02-15,24.7376
2020-02-16,24.7376
2020-02-17,24.7376
2020-02-18,25.3062
2020-02-19,24.9621
2020-02-20,25.0768
2020-02-21,24.8997
2020-02-22,24.8997
2020-02-23,24.8997
2020-02-24,24.795
2020-02-25,24.4208
2020-02-26,24.4283
2020-02-27,23.4481
2020-02-28,22.1945
2020-02-29,22.1945
2020-03-01,22.1945
2020-03-02,22.9286
2020-03-03,22.3198
2020-03-04,23.6451
2020-03-05,22.6655
2020-03-06,22.1694
2020-03-07,22.1694
2020-03-08,22.1694
2020-03-09,20.2403
2020-03-10,20.8441
2020-03-11,19.892
2020-03-12,17.7048
2020-03-13,19.1128
2020-03-14,19.1128
2020-03-15,19.1128
2020-03-16,17.9503
2020-03-17,19.4937
2020-03-18,18.8423
2020-03-19,17.4565
2020-03-20,17.215
2020-03-21,17.215
2020-03-22,17.215
2020-03-23,16.576
2020-03-24,17.7106
2020-03-25,17.8767
2020-03-26,18.7648
2020-03-27,17.7182
2020-03-28,17.7182
2020-03-29,17.7182
2020-03-30,18.8679
2020-03-31,18.1673
2020-04-01,16.6917
2020-04-02,17.7978
2020-04-03,17.1175
2020-04-04,17.1175
2020-04-05,17.1175
2020-04-06,18.1355
2020-04-07,18.5344
2020-04-08,18.85
2020-04-09,19.6869
2020-04-10,19.6869
2020-04-11,19.6869
2020-04-12,19.6869
2020-04-13,19.1314
2020-04-14,19.222
2020-04-15,18.2578
2020-04-16,18.5662
2020-04-17,19.2685
2020-04-18,19.2685
2020-04-19,19.2685
2020-04-20,18.9528
2020-04-21,18.483
2020-04-22,18.5662
2020-04-23,18.9087
2020-04-24,18.319
2020-04-25,18.319
2020-04-26,18.319
2020-04-27,18.5515
2020-04-28,18.9822
2020-04-29,19.9659
2020-04-30,18.4658
2020-05-01,18.2848
2020-05-02,18.2848
2020-05-03,18.2848
2020-05-04,17.9495
2020-05-05,18.1649
2020-05-06,18.1382
2020-05-07,17.5088
2020-05-08,17.7708
2020-05-09,17.7708
2020-05-10,17.7708
2020-05-11,17.5798
2020-05-12,16.703
2020-05-13,16.5977
2020-05-14,16.703
2020-05-15,16.703
2020-05-16,16.703
2020-05-17,16.703
2020-05-18,17.8076
2020-05-19,17.4622
2020-05-20,18.2092
2020-05-21,18.1945
2020-05-22,18.0207
2020-05-23,18.0207
2020-05-24,18.0207
2020-05-25,18.0207
2020-05-26,19.2428
2020-05-27,19.6935
2020-05-28,19.7939
2020-05-29,19.6469
2020-05-30,19.6469
2020-05-31,19.6469
2020-06-01,19.8551
2020-06-02,19.8257
2020-06-03,20.8274
2020-06-04,20.7564
2020-06-05,21.4006
2020-06-06,21.4006
2020-06-07,21.4006
2020-06-08,21.4618
2020-06-09,20.9328
2020-06-10,20.1539
2020-06-11,19.1914
2020-06-12,19.3702
2020-06-13,19.3702
2020-06-14,19.3702
2020-06-15,19.7033
2020-06-16,19.882
2020-06-17,19.6714
2020-06-18,19.6322
2020-06-19,19.6053
2020-06-20,19.6053
2020-06-21,19.6053
2020-06-22,19.5392
2020-06-23,19.5539
2020-06-24,19.1179
2020-06-25,19.4902
2020-06-26,18.9954
2020-06-27,18.9954
2020-06-28,18.9954
2020-06-29,19.86
2020-06-30,18.7503
2020-07-01,18.3404
2020-07-02,18.6938
2020-07-03,18.6938
2020-07-04,18.6938
2020-07-05,18.6938
2020-07-06,18.7102
2020-07-07,18.4464
2020-07-08,18.6302
2020-07-09,18.0814
2020-07-10,18.3781
2020-07-11,18.3781
2020-07-12,18.3781
2020-07-13,18.5619
2020-07-14,18.9999
2020-07-15,19.3533
2020-07-16,19.3462
2020-07-17,19.2331
2020-07-18,19.2331
2020-07-19,19.2331
2020-07-20,18.9576
2020-07-21,19.1012
2020-07-22,19.0494
2020-07-23,19.5016
2020-07-24,19.1554
2020-07-25,19.1554
2020-07-26,19.1554
2020-07-27,19.5228
2020-07-28,19.5464
2020-07-29,19.8337
2020-07-30,19.1088
2020-07-31,19.1465
2020-08-01,19.1465
2020-08-02,19.1465
2020-08-03,19.6204
2020-08-04,19.0168
2020-08-05,19.1182
2020-08-06,19.1536
2020-08-07,19.5473
2020-08-08,19.5473
2020-08-09,19.5473
2020-08-10,19.9906
2020-08-11,20.3962
2020-08-12,20.4551
2020-08-13,20.0802
2020-08-14,20.1887
2020-08-15,20.1887
2020-08-16,20.1887
2020-08-17,20.2123
2020-08-18,19.9128
2020-08-19,20.1085
2020-08-20,19.9835
2020-08-21,19.743
2020-08-22,19.743
2020-08-23,19.743
2020-08-24,19.7265
2020-08-25,19.6888
2020-08-26,19.7006
2020-08-27,19.6086
2020-08-28,19.5403
2020-08-29,19.5403
2020-08-30,19.5403
2020-08-31,19.1111
2020-09-01,19.512
2020-09-02,19.6982
2020-09-03,19.2243
2020-09-04,19.3422
2020-09-05,19.3422
2020-09-06,19.3422
2020-09-07,19.3422
2020-09-08,18.9861
2020-09-09,18.715
2020-09-10,18.4485
2020-09-11,18.2858
2020-09-12,18.2858
2020-09-13,18.2858
2020-09-14,18.2835
2020-09-15,18.0123
2020-09-16,18.3566
2020-09-17,18.3495
2020-09-18,18.5947
2020-09-19,18.5947
2020-09-20,18.5947
2020-09-21,17.5101
2020-09-22,17.6893
2020-09-23,17.5926
2020-09-24,17.7294
2020-09-25,17.5832
2020-09-26,17.5832
2020-09-27,17.5832
2020-09-28,17.8991
2020-09-29,17.6044
2020-09-30,17.8523
2020-10-01,17.5847
2020-10-02,17.543
2020-10-03,17.543
2020-10-04,17.543
2020-10-05,17.8081
2020-10-06,17.7738
2020-10-07,18.3458
2020-10-08,18.4121
2020-10-09,18.633
2020-10-10,18.633
2020-10-11,18.633
2020-10-12,18.9105
2020-10-13,18.4587
2020-10-14,18.4587
2020-10-15,18.5643
2020-10-16,18.5766
2020-10-17,18.5766
2020-10-18,18.5766
2020-10-19,18.3335
2020-10-20,18.4857
2020-10-21,18.3654
2020-10-22,18.2869
2020-10-23,18.2599
2020-10-24,18.2599
2020-10-25,18.2599
2020-10-26,18.0266
2020-10-27,17.8621
2020-10-28,17.7271
2020-10-29,17.9125
2020-10-30,17.6791
2020-10-31,17.6791
2020-11-01,17.6791
2020-11-02,17.5637
2020-11-03,18.055
2020-11-04,17.5956
2020-11-05,18.1827
2020-11-06,18.195
2020-11-07,18.195
2020-11-08,18.195
2020-11-09,19.5977
2020-11-10,19.9785
2020-11-11,19.0966
2020-11-12,18.6053
2020-11-13,18.7084
2020-11-14,18.7084
2020-11-15,18.7084
2020-11-16,19.696
2020-11-17,19.6198
2020-11-18,19.3717
2020-11-19,19.3054
2020-11-20,19.3643
2020-11-21,19.3643
2020-11-22,19.3643
2020-11-23,19.7967
2020-11-24,20.2855
2020-11-25,20.1996
2020-11-26,20.1996
2020-11-27,19.9072
2020-11-28,19.9072
2020-11-29,19.9072
2020-11-30,19.5314
2020-12-01,19.5903
2020-12-02,19.6124
2020-12-03,19.6395
2020-12-04,20.0939
2020-12-05,20.0939
2020-12-06,20.0939
2020-12-07,20.0202
2020-12-08,20.2217
2020-12-09,20.4501
2020-12-10,20.2192
2020-12-11,20.1062
2020-12-12,20.1062
2020-12-13,20.1062
2020-12-14,20.2438
2020-12-15,20.3052
2020-12-16,20.1922
2020-12-17,20.3224
2020-12-18,20.6
2020-12-19,20.6
2020-12-20,20.6
2020-12-21,20.1996
2020-12-22,19.7082
2020-12-23,20.1725
2020-12-24,20.1136
2020-12-25,20.1136
2020-12-26,20.1136
2020-12-27,20.1136
2020-12-28,20.1553
2020-12-29,19.9883
2020-12-30,20.2069
2020-12-31,23.7074
2021-01-01,23.7074
2021-01-02,23.7074
2021-01-03,23.7074
2021-01-04,23.5218
2021-01-05,23.6233
2021-01-06,24.8123
2021-01-07,24.6412
2021-01-08,24.1511
2021-01-09,24.1511
2021-01-10,24.1511
2021-01-11,24.3309
2021-01-12,24.6992
2021-01-13,24.3831
2021-01-14,24.6789
2021-01-15,24.4904
2021-01-16,24.4904
2021-01-17,24.4904
2021-01-18,24.4904
2021-01-19,24.5281
2021-01-20,24.7311
2021-01-21,24.821
2021-01-22,25.2155
2021-01-23,25.2155
2021-01-24,25.2155
2021-01-25,24.5078
2021-01-26,24.2874
2021-01-27,23.2521
2021-01-28,23.1941
2021-01-29,23.0056
2021-01-30,23.0056
