,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.8756
2020-01-02,28.0728
2020-01-03,28.2043
2020-01-04,28.2043
2020-01-05,28.2043
2020-01-06,28.3457
2020-01-07,28.2569
2020-01-08,28.51
2020-01-09,28.7434
2020-01-10,28.6185
2020-01-11,28.6185
2020-01-12,28.6185
2020-01-13,28.9406
2020-01-14,29.0063
2020-01-15,28.9899
2020-01-16,29.2167
2020-01-17,28.9965
2020-01-18,28.9965
2020-01-19,28.9965
2020-01-20,28.9965
2020-01-21,28.9011
2020-01-22,28.8288
2020-01-23,28.9143
2020-01-24,28.648
2020-01-25,28.648
2020-01-26,28.648
2020-01-27,28.4048
2020-01-28,28.4508
2020-01-29,28.4015
2020-01-30,28.2208
2020-01-31,26.5073
2020-02-01,26.5073
2020-02-02,26.5073
2020-02-03,27.1117
2020-02-04,27.3672
2020-02-05,27.4135
2020-02-06,27.2622
2020-02-07,27.1511
2020-02-08,27.1511
2020-02-09,27.1511
2020-02-10,27.2283
2020-02-11,27.29
2020-02-12,27.4783
2020-02-13,27.4845
2020-02-14,27.6018
2020-02-15,27.6018
2020-02-16,27.6018
2020-02-17,27.6018
2020-02-18,27.5432
2020-02-19,27.3919
2020-02-20,27.2838
2020-02-21,27.2283
2020-02-22,27.2283
2020-02-23,27.2283
2020-02-24,26.583
2020-02-25,25.8977
2020-02-26,25.7958
2020-02-27,25.0117
2020-02-28,24.0114
2020-02-29,24.0114
2020-03-01,24.0114
2020-03-02,25.1351
2020-03-03,25.0456
2020-03-04,25.8853
2020-03-05,24.2646
2020-03-06,25.1862
2020-03-07,25.1862
2020-03-08,25.1862
2020-03-09,24.5196
2020-03-10,24.6455
2020-03-11,23.3307
2020-03-12,22.3938
2020-03-13,23.4536
2020-03-14,23.4536
2020-03-15,23.4536
2020-03-16,20.4063
2020-03-17,20.4585
2020-03-18,19.3219
2020-03-19,20.0653
2020-03-20,19.6045
2020-03-21,19.6045
2020-03-22,19.6045
2020-03-23,18.6338
2020-03-24,20.1237
2020-03-25,20.5292
2020-03-26,21.761
2020-03-27,21.3309
2020-03-28,21.3309
2020-03-29,21.3309
2020-03-30,22.3293
2020-03-31,21.9545
2020-04-01,20.8732
2020-04-02,21.4845
2020-04-03,21.162
2020-04-04,21.162
2020-04-05,21.162
2020-04-06,22.0835
2020-04-07,21.7948
2020-04-08,21.589
2020-04-09,21.9422
2020-04-10,21.9422
2020-04-11,21.9422
2020-04-12,21.9422
2020-04-13,21.4016
2020-04-14,21.8747
2020-04-15,21.4477
2020-04-16,21.546
2020-04-17,21.9791
2020-04-18,21.9791
2020-04-19,21.9791
2020-04-20,21.3862
2020-04-21,20.6459
2020-04-22,21.0821
2020-04-23,21.4047
2020-04-24,21.6105
2020-04-25,21.6105
2020-04-26,21.6105
2020-04-27,22.019
2020-04-28,21.8071
2020-04-29,22.572
2020-04-30,21.5613
2020-05-01,22.1926
2020-05-02,22.1926
2020-05-03,22.1926
2020-05-04,21.7601
2020-05-05,22.2148
2020-05-06,22.0876
2020-05-07,22.3325
2020-05-08,22.7714
2020-05-09,22.7714
2020-05-10,22.7714
2020-05-11,23.0894
2020-05-12,21.6869
2020-05-13,21.3848
2020-05-14,21.811
2020-05-15,22.3961
2020-05-16,22.3961
2020-05-17,22.3961
2020-05-18,23.1117
2020-05-19,23.2262
2020-05-20,23.824
2020-05-21,23.9035
2020-05-22,23.8209
2020-05-23,23.8209
2020-05-24,23.8209
2020-05-25,23.8209
2020-05-26,23.805
2020-05-27,24.6509
2020-05-28,24.4951
2020-05-29,24.9117
2020-05-30,24.9117
2020-05-31,24.9117
2020-06-01,24.1961
2020-06-02,24.4919
2020-06-03,25.0071
2020-06-04,24.58
2020-06-05,25.5358
2020-06-06,25.5358
2020-06-07,25.5358
2020-06-08,25.9691
2020-06-09,25.3765
2020-06-10,24.8444
2020-06-11,23.5414
2020-06-12,23.7453
2020-06-13,23.7453
2020-06-14,23.7453
2020-06-15,23.86
2020-06-16,23.7803
2020-06-17,23.5828
2020-06-18,23.2546
2020-06-19,23.347
2020-06-20,23.347
2020-06-21,23.347
2020-06-22,23.4171
2020-06-23,23.3056
