,UPS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.6119
2020-01-02,15.5824
2020-01-03,15.5748
2020-01-04,15.5748
2020-01-05,15.5748
2020-01-06,15.5181
2020-01-07,15.4963
2020-01-08,15.5683
2020-01-09,15.5977
2020-01-10,15.4821
2020-01-11,15.4821
2020-01-12,15.4821
2020-01-13,15.5781
2020-01-14,15.6348
2020-01-15,15.7067
2020-01-16,15.7808
2020-01-17,15.7797
2020-01-18,15.7797
2020-01-19,15.7797
2020-01-20,15.7797
2020-01-21,15.6478
2020-01-22,15.6337
2020-01-23,15.5977
2020-01-24,15.5683
2020-01-25,15.5683
2020-01-26,15.5683
2020-01-27,15.3786
2020-01-28,15.4276
2020-01-29,15.4702
2020-01-30,14.6243
2020-01-31,14.1359
2020-02-01,14.1359
2020-02-02,14.1359
2020-02-03,13.9735
2020-02-04,14.1207
2020-02-05,14.4106
2020-02-06,14.4619
2020-02-07,14.0923
2020-02-08,14.0923
2020-02-09,14.0923
2020-02-10,14.0869
2020-02-11,14.2831
2020-02-12,14.3561
2020-02-13,14.3234
2020-02-14,14.4008
2020-02-15,14.4008
2020-02-16,14.4008
2020-02-17,14.4008
2020-02-18,14.4521
2020-02-19,14.4891
2020-02-20,14.4586
2020-02-21,14.0814
2020-02-22,14.0814
2020-02-23,14.0814
2020-02-24,13.596
2020-02-25,13.0952
2020-02-26,13.0767
2020-02-27,12.696
2020-02-28,12.7233
2020-02-29,12.7233
2020-03-01,12.7233
2020-03-02,12.9698
2020-03-03,12.8116
2020-03-04,13.3047
2020-03-05,12.996
2020-03-06,13.1062
2020-03-07,13.1062
2020-03-08,13.1062
2020-03-09,12.3622
2020-03-10,12.9774
2020-03-11,12.4505
2020-03-12,12.252
2020-03-13,13.1312
2020-03-14,13.1312
2020-03-15,13.1312
2020-03-16,12.3491
2020-03-17,13.4105
2020-03-18,13.68
2020-03-19,13.3516
2020-03-20,13.0472
2020-03-21,13.0472
2020-03-22,13.0472
2020-03-23,12.8766
2020-03-24,13.2431
2020-03-25,13.1602
2020-03-26,13.7362
2020-03-27,13.4896
2020-03-28,13.4896
2020-03-29,13.4896
2020-03-30,13.5245
2020-03-31,13.5576
2020-04-01,13.2131
2020-04-02,13.5144
2020-04-03,13.1688
2020-04-04,13.1688
2020-04-05,13.1688
2020-04-06,13.8145
2020-04-07,13.4996
2020-04-08,14.1681
2020-04-09,14.1567
2020-04-10,14.1567
2020-04-11,14.1567
2020-04-12,14.1567
2020-04-13,14.126
2020-04-14,14.4648
2020-04-15,14.2966
2020-04-16,14.5581
2020-04-17,14.6183
2020-04-18,14.6183
2020-04-19,14.6183
2020-04-20,14.4421
2020-04-21,14.3762
2020-04-22,14.034
2020-04-23,14.2431
2020-04-24,14.3261
2020-04-25,14.3261
2020-04-26,14.3261
2020-04-27,14.5956
2020-04-28,13.9324
2020-04-29,13.8959
2020-04-30,13.7306
2020-05-01,13.4159
2020-05-02,13.4159
2020-05-03,13.4159
2020-05-04,13.2494
2020-05-05,13.5082
2020-05-06,13.5333
2020-05-07,13.5219
2020-05-08,13.7647
2020-05-09,13.7647
2020-05-10,13.7647
2020-05-11,13.6597
2020-05-12,13.5387
2020-05-13,13.2977
2020-05-14,13.4062
2020-05-15,13.3308
2020-05-16,13.3308
2020-05-17,13.3308
2020-05-18,13.9098
2020-05-19,13.9474
2020-05-20,14.0331
2020-05-21,14.0479
2020-05-22,13.9805
2020-05-23,13.9805
2020-05-24,13.9805
2020-05-25,13.9805
2020-05-26,14.0205
2020-05-27,14.3117
2020-05-28,14.3231
2020-05-29,14.322
2020-05-30,14.322
2020-05-31,14.322
2020-06-01,14.2729
2020-06-02,14.4887
2020-06-03,14.7718
2020-06-04,14.7205
2020-06-05,15.1144
2020-06-06,15.1144
2020-06-07,15.1144
2020-06-08,15.5483
2020-06-09,15.2491
2020-06-10,15.1121
2020-06-11,14.4087
2020-06-12,14.5241
2020-06-13,14.5241
2020-06-14,14.5241
2020-06-15,14.9991
2020-06-16,15.0208
2020-06-17,15.1532
2020-06-18,15.2206
2020-06-19,15.2423
2020-06-20,15.2423
2020-06-21,15.2423
2020-06-22,15.1429
2020-06-23,15.5666
2020-06-24,15.4398
2020-06-25,15.5563
2020-06-26,15.1909
2020-06-27,15.1909
2020-06-28,15.1909
2020-06-29,15.4375
2020-06-30,15.3023
2020-07-01,15.6689
2020-07-02,15.6621
2020-07-03,15.6621
2020-07-04,15.6621
2020-07-05,15.6621
2020-07-06,15.7753
2020-07-07,15.6723
2020-07-08,15.6746
2020-07-09,15.6723
2020-07-10,15.7424
2020-07-11,15.7424
2020-07-12,15.7424
2020-07-13,15.5942
2020-07-14,15.7719
2020-07-15,16.2109
2020-07-16,16.2709
2020-07-17,16.1362
2020-07-18,16.1362
2020-07-19,16.1362
2020-07-20,16.1136
2020-07-21,16.1917
2020-07-22,16.1554
2020-07-23,16.0898
2020-07-24,16.1136
2020-07-25,16.1136
2020-07-26,16.1136
2020-07-27,16.4146
2020-07-28,16.2573
2020-07-29,16.7167
2020-07-30,18.7438
2020-07-31,18.891
2020-08-01,18.891
2020-08-02,18.891
2020-08-03,18.8253
2020-08-04,19.1201
2020-08-05,19.1609
2020-08-06,19.2051
2020-08-07,20.5002
2020-08-08,20.5002
2020-08-09,20.5002
2020-08-10,20.805
2020-08-11,20.3813
2020-08-12,20.6011
2020-08-13,20.771
2020-08-14,20.9353
2020-08-15,20.9353
2020-08-16,20.9353
2020-08-17,20.8855
2020-08-18,20.8504
2020-08-19,20.89
2020-08-20,20.8005
2020-08-21,20.7416
2020-08-22,20.7416
2020-08-23,20.7416
2020-08-24,20.8911
2020-08-25,20.7427
2020-08-26,20.7269
2020-08-27,20.8753
2020-08-28,21.1189
2020-08-29,21.1189
2020-08-30,21.1189
2020-08-31,21.2617
2020-09-01,21.1518
2020-09-02,21.5064
2020-09-03,20.6271
2020-09-04,20.9399
2020-09-05,20.9399
2020-09-06,20.9399
2020-09-07,20.9399
2020-09-08,20.4492
2020-09-09,20.8288
2020-09-10,20.6124
2020-09-11,20.7235
2020-09-12,20.7235
2020-09-13,20.7235
2020-09-14,20.8674
2020-09-15,21.0249
2020-09-16,20.8368
2020-09-17,20.8232
2020-09-18,20.813
2020-09-19,20.813
2020-09-20,20.813
2020-09-21,20.9716
2020-09-22,21.0656
2020-09-23,21.0271
2020-09-24,20.8979
2020-09-25,21.5449
2020-09-26,21.5449
2020-09-27,21.5449
2020-09-28,21.8599
2020-09-29,21.8146
2020-09-30,20.7968
2020-10-01,20.9089
2020-10-02,20.8331
2020-10-03,20.8331
2020-10-04,20.8331
2020-10-05,21.0748
2020-10-06,21.0957
2020-10-07,21.7155
2020-10-08,21.6298
2020-10-09,21.6825
2020-10-10,21.6825
2020-10-11,21.6825
2020-10-12,21.8858
2020-10-13,21.7529
2020-10-14,21.6485
2020-10-15,21.6111
2020-10-16,21.6551
2020-10-17,21.6551
2020-10-18,21.6551
2020-10-19,21.3979
2020-10-20,21.7034
2020-10-21,21.4671
2020-10-22,21.4957
2020-10-23,21.3759
2020-10-24,21.3759
2020-10-25,21.3759
2020-10-26,20.9473
2020-10-27,21.2594
2020-10-28,19.6044
2020-10-29,20.2176
2020-10-30,19.7506
2020-10-31,19.7506
2020-11-01,19.7506
2020-11-02,20.0395
2020-11-03,20.4719
2020-11-04,20.3729
2020-11-05,20.4807
2020-11-06,20.934
2020-11-07,20.934
2020-11-08,20.934
2020-11-09,20.4433
2020-11-10,20.6094
2020-11-11,20.8196
2020-11-12,20.4312
2020-11-13,20.4928
2020-11-14,20.4928
2020-11-15,20.4928
2020-11-16,21.0176
2020-11-17,21.066
2020-11-18,21.0187
2020-11-19,20.802
2020-11-20,20.5027
2020-11-21,20.5027
2020-11-22,20.5027
2020-11-23,20.8152
2020-11-24,21.4852
2020-11-25,21.2443
2020-11-26,21.2443
2020-11-27,21.0671
2020-11-28,21.0671
2020-11-29,21.0671
2020-11-30,21.307
2020-12-01,20.9648
2020-12-02,21.0605
