,USNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.1459
2020-01-02,10.0501
2020-01-03,9.9308
2020-01-04,9.9308
2020-01-05,9.9308
2020-01-06,10.1312
2020-01-07,10.0619
2020-01-08,10.573
2020-01-09,10.5863
2020-01-10,10.5583
2020-01-11,10.5583
2020-01-12,10.5583
2020-01-13,10.2785
2020-01-14,10.2431
2020-01-15,10.3742
2020-01-16,10.5259
2020-01-17,10.5539
2020-01-18,10.5539
2020-01-19,10.5539
2020-01-20,10.5539
2020-01-21,10.4228
2020-01-22,10.2048
2020-01-23,9.8675
2020-01-24,9.517
2020-01-25,9.517
2020-01-26,9.517
2020-01-27,8.4181
2020-01-28,8.1648
2020-01-29,8.1059
2020-01-30,8.1515
2020-01-31,7.664
2020-02-01,7.664
2020-02-02,7.664
2020-02-03,7.8584
2020-02-04,8.2871
2020-02-05,10.2033
2020-02-06,10.464
2020-02-07,10.4626
2020-02-08,10.4626
2020-02-09,10.4626
2020-02-10,10.8779
2020-02-11,10.3388
2020-02-12,10.4331
2020-02-13,9.651
2020-02-14,9.6436
2020-02-15,9.6436
2020-02-16,9.6436
2020-02-17,9.6436
2020-02-18,9.2636
2020-02-19,9.0898
2020-02-20,9.1031
2020-02-21,8.9543
2020-02-22,8.9543
2020-02-23,8.9543
2020-02-24,8.483
2020-02-25,8.3754
2020-02-26,8.2124
2020-02-27,8.1185
2020-02-28,8.2696
2020-02-29,8.2696
2020-03-01,8.2696
2020-03-02,8.8708
2020-03-03,8.7506
2020-03-04,9.563
2020-03-05,9.2668
2020-03-06,9.4325
2020-03-07,9.4325
2020-03-08,9.4325
2020-03-09,8.6318
2020-03-10,8.9163
2020-03-11,8.8239
2020-03-12,7.4747
2020-03-13,7.702
2020-03-14,7.702
2020-03-15,7.702
2020-03-16,6.6256
2020-03-17,5.9085
2020-03-18,5.2897
2020-03-19,5.8645
2020-03-20,5.5786
2020-03-21,5.5786
2020-03-22,5.5786
2020-03-23,5.954
2020-03-24,6.8016
2020-03-25,6.8178
2020-03-26,7.7255
2020-03-27,7.2225
2020-03-28,7.2225
2020-03-29,7.2225
2020-03-30,7.0245
2020-03-31,6.9944
2020-04-01,6.64
2020-04-02,7.706
2020-04-03,7.6572
2020-04-04,7.6572
2020-04-05,7.6572
2020-04-06,8.7677
2020-04-07,8.6644
2020-04-08,8.8853
2020-04-09,8.5639
2020-04-10,8.5639
2020-04-11,8.5639
2020-04-12,8.5639
2020-04-13,8.6715
2020-04-14,8.8423
2020-04-15,8.4606
2020-04-16,8.5281
2020-04-17,8.5496
2020-04-18,8.5496
2020-04-19,8.5496
2020-04-20,8.3071
2020-04-21,8.5898
2020-04-22,9.99
2020-04-23,10.3243
2020-04-24,10.7274
2020-04-25,10.7274
2020-04-26,10.7274
2020-04-27,11.0775
2020-04-28,10.7289
2020-04-29,11.2812
2020-04-30,11.5079
2020-05-01,10.835
2020-05-02,10.835
2020-05-03,10.835
2020-05-04,10.9685
2020-05-05,10.2
2020-05-06,10.2993
2020-05-07,10.838
2020-05-08,11.0185
2020-05-09,11.0185
2020-05-10,11.0185
2020-05-11,10.7429
2020-05-12,10.2658
2020-05-13,10.2574
2020-05-14,9.7397
2020-05-15,10.2112
2020-05-16,10.2112
2020-05-17,10.2112
2020-05-18,10.2867
2020-05-19,10.151
2020-05-20,10.4952
2020-05-21,10.3007
2020-05-22,10.0643
2020-05-23,10.0643
2020-05-24,10.0643
2020-05-25,10.0643
2020-05-26,10.4043
2020-05-27,10.5428
2020-05-28,10.477
2020-05-29,10.561
2020-05-30,10.561
2020-05-31,10.561
2020-06-01,10.7596
2020-06-02,10.4378
2020-06-03,10.7359
2020-06-04,10.6505
2020-06-05,10.7275
2020-06-06,10.7275
2020-06-07,10.7275
