,VSH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.6974
2020-01-02,10.805
2020-01-03,10.6382
2020-01-04,10.6382
2020-01-05,10.6382
2020-01-06,10.5468
2020-01-07,10.8749
2020-01-08,10.8426
2020-01-09,10.9179
2020-01-10,10.7888
2020-01-11,10.7888
2020-01-12,10.7888
2020-01-13,11.0309
2020-01-14,11.4289
2020-01-15,11.4935
2020-01-16,11.6817
2020-01-17,11.6656
2020-01-18,11.6656
2020-01-19,11.6656
2020-01-20,11.6656
2020-01-21,11.5096
2020-01-22,11.3805
2020-01-23,11.3429
2020-01-24,10.9825
2020-01-25,10.9825
2020-01-26,10.9825
2020-01-27,10.5414
2020-01-28,10.7673
2020-01-29,10.536
2020-01-30,10.45
2020-01-31,10.1595
2020-02-01,10.1595
2020-02-02,10.1595
2020-02-03,10.1434
2020-02-04,10.3747
2020-02-05,10.5683
2020-02-06,10.4822
2020-02-07,10.3101
2020-02-08,10.3101
2020-02-09,10.3101
2020-02-10,10.2832
2020-02-11,10.4123
2020-02-12,10.6328
2020-02-13,10.5575
2020-02-14,10.2965
2020-02-15,10.2965
2020-02-16,10.2965
2020-02-17,10.2965
2020-02-18,10.1888
2020-02-19,10.3557
2020-02-20,10.3395
2020-02-21,10.0758
2020-02-22,10.0758
2020-02-23,10.0758
2020-02-24,9.6129
2020-02-25,9.446
2020-02-26,9.5967
2020-02-27,9.1392
2020-02-28,9.3114
2020-02-29,9.3114
2020-03-01,9.3114
2020-03-02,9.5429
2020-03-03,9.3168
2020-03-04,9.6021
2020-03-05,9.1177
2020-03-06,8.9077
2020-03-07,8.9077
2020-03-08,8.9077
2020-03-09,7.7881
2020-03-10,8.0949
2020-03-11,7.2122
2020-03-12,6.0388
2020-03-13,7.0238
2020-03-14,7.0238
2020-03-15,7.0238
2020-03-16,5.775
2020-03-17,6.2594
2020-03-18,5.6081
2020-03-19,5.705
2020-03-20,6.0172
2020-03-21,6.0172
2020-03-22,6.0172
2020-03-23,6.098
2020-03-24,6.7439
2020-03-25,7.2068
2020-03-26,7.5513
2020-03-27,7.0776
2020-03-28,7.0776
2020-03-29,7.0776
2020-03-30,7.2229
2020-03-31,7.0074
2020-04-01,6.3503
2020-04-02,6.3718
2020-04-03,8.2203
2020-04-04,8.2203
2020-04-05,8.2203
2020-04-06,9.2139
2020-04-07,9.3459
2020-04-08,9.9435
2020-04-09,10.0338
2020-04-10,10.0338
2020-04-11,10.0338
2020-04-12,10.0338
2020-04-13,10.1798
2020-04-14,10.2145
2020-04-15,9.3598
2020-04-16,9.2764
2020-04-17,9.6586
2020-04-18,9.6586
2020-04-19,9.6586
2020-04-20,9.4085
2020-04-21,9.1305
2020-04-22,9.478
2020-04-23,9.5752
2020-04-24,9.8323
2020-04-25,9.8323
2020-04-26,9.8323
2020-04-27,10.1936
2020-04-28,10.3187
2020-04-29,11.1664
2020-04-30,10.7495
2020-05-01,10.3326
2020-05-02,10.3326
2020-05-03,10.3326
2020-05-04,10.0686
2020-05-05,10.2006
2020-05-06,10.2631
2020-05-07,10.5202
2020-05-08,11.0136
2020-05-09,11.0136
2020-05-10,11.0136
2020-05-11,10.6036
2020-05-12,9.7837
2020-05-13,9.0402
2020-05-14,9.2556
2020-05-15,9.0819
2020-05-16,9.0819
2020-05-17,9.0819
2020-05-18,10.0616
2020-05-19,9.8045
2020-05-20,10.3118
2020-05-21,9.9921
2020-05-22,10.1728
2020-05-23,10.1728
2020-05-24,10.1728
2020-05-25,10.1728
2020-05-26,10.7773
2020-05-27,11.0761
2020-05-28,10.4924
2020-05-29,10.5202
2020-05-30,10.5202
2020-05-31,10.5202
2020-06-01,10.6384
2020-06-02,10.826
2020-06-03,11.3124
2020-06-04,11.2012
2020-06-05,11.7293
2020-06-06,11.7293
2020-06-07,11.7293
2020-06-08,11.8265
2020-06-09,11.354
2020-06-10,10.7912
2020-06-11,9.6517
2020-06-12,9.9921
2020-06-13,9.9921
2020-06-14,9.9921
2020-06-15,9.9227
2020-06-16,10.3604
2020-06-17,10.013
2020-06-18,9.8462
2020-06-19,9.6725
2020-06-20,9.6725
2020-06-21,9.6725
2020-06-22,9.7281
2020-06-23,9.9435
2020-06-24,9.4154
2020-06-25,9.478
2020-06-26,9.3668
2020-06-27,9.3668
2020-06-28,9.3668
2020-06-29,9.6239
2020-06-30,9.8323
2020-07-01,9.4571
2020-07-02,11.4541
2020-07-03,11.4541
2020-07-04,11.4541
2020-07-05,11.4541
2020-07-06,11.6674
2020-07-07,11.2152
2020-07-08,11.4797
2020-07-09,11.4797
2020-07-10,11.6674
2020-07-11,11.6674
2020-07-12,11.6674
2020-07-13,11.676
2020-07-14,11.8808
2020-07-15,12.3159
2020-07-16,12.0685
2020-07-17,12.0429
2020-07-18,12.0429
2020-07-19,12.0429
2020-07-20,12.0087
2020-07-21,11.9746
2020-07-22,11.8893
2020-07-23,12.0258
2020-07-24,11.7442
2020-07-25,11.7442
2020-07-26,11.7442
2020-07-27,12.1794
2020-07-28,11.7186
2020-07-29,12.2647
2020-07-30,12.1197
2020-07-31,12.1538
2020-08-01,12.1538
2020-08-02,12.1538
2020-08-03,12.461
2020-08-04,13.0425
2020-08-05,13.29
2020-08-06,13.2217
2020-08-07,13.0425
2020-08-08,13.0425
2020-08-09,13.0425
2020-08-10,13.1278
2020-08-11,13.3924
2020-08-12,13.7337
2020-08-13,13.5204
2020-08-14,13.4521
2020-08-15,13.4521
2020-08-16,13.4521
2020-08-17,13.2814
2020-08-18,12.778
2020-08-19,12.9145
2020-08-20,12.5902
2020-08-21,12.4537
2020-08-22,12.4537
2020-08-23,12.4537
2020-08-24,12.9486
2020-08-25,12.9572
2020-08-26,12.8036
2020-08-27,12.4708
2020-08-28,12.7694
2020-08-29,12.7694
2020-08-30,12.7694
2020-08-31,12.411
2020-09-01,12.667
2020-09-02,13.034
2020-09-03,12.539
2020-09-04,12.5049
2020-09-05,12.5049
2020-09-06,12.5049
2020-09-07,12.5049
2020-09-08,11.9331
2020-09-09,12.1977
2020-09-10,11.8819
2020-09-11,11.8137
2020-09-12,11.8137
2020-09-13,11.8137
2020-09-14,12.2233
2020-09-15,12.2489
2020-09-16,12.3939
2020-09-17,12.2403
2020-09-18,12.1977
2020-09-19,12.1977
2020-09-20,12.1977
2020-09-21,11.6003
2020-09-22,11.7113
2020-09-23,11.4979
2020-09-24,11.6601
2020-09-25,11.6601
2020-09-26,11.6601
2020-09-27,11.6601
2020-09-28,12.3257
2020-09-29,12.2403
2020-09-30,12.0526
2020-10-01,12.2659
2020-10-02,11.396
2020-10-03,11.396
2020-10-04,11.396
2020-10-05,12.0227
2020-10-06,11.846
2020-10-07,12.7137
2020-10-08,13.0913
2020-10-09,13.0592
2020-10-10,13.0592
2020-10-11,13.0592
2020-10-12,13.1234
2020-10-13,12.8101
2020-10-14,12.7699
2020-10-15,13.3002
2020-10-16,13.0913
2020-10-17,13.0913
2020-10-18,13.0913
2020-10-19,13.0752
2020-10-20,12.9949
2020-10-21,12.786
2020-10-22,13.0833
2020-10-23,13.1636
2020-10-24,13.1636
2020-10-25,13.1636
2020-10-26,12.7699
2020-10-27,12.4164
2020-10-28,11.7415
2020-10-29,11.9745
2020-10-30,11.8701
2020-10-31,11.8701
2020-11-01,11.8701
2020-11-02,12.079
2020-11-03,12.4887
2020-11-04,12.1352
2020-11-05,12.8663
2020-11-06,12.9627
2020-11-07,12.9627
2020-11-08,12.9627
2020-11-09,13.3484
2020-11-10,13.3404
2020-11-11,13.5011
2020-11-12,13.0913
2020-11-13,13.493
2020-11-14,13.493
2020-11-15,13.493
2020-11-16,14.0153
2020-11-17,13.7501
2020-11-18,13.5332
2020-11-19,13.6296
2020-11-20,13.5653
2020-11-21,13.5653
2020-11-22,13.5653
2020-11-23,13.9831
2020-11-24,14.4491
2020-11-25,14.3045
2020-11-26,14.3045
2020-11-27,14.3688
2020-11-28,14.3688
2020-11-29,14.3688
2020-11-30,14.3929
2020-12-01,14.5696
2020-12-02,14.5696
2020-12-03,14.5536
2020-12-04,15.132
2020-12-05,15.132
2020-12-06,15.132
2020-12-07,14.9714
2020-12-08,14.9874
2020-12-09,14.6741
2020-12-10,14.417
2020-12-11,14.3206
2020-12-12,14.3206
2020-12-13,14.3206
2020-12-14,14.1679
2020-12-15,14.6821
2020-12-16,14.7303
2020-12-17,15.116
2020-12-18,14.9151
2020-12-19,14.9151
2020-12-20,14.9151
2020-12-21,14.9071
2020-12-22,14.9392
2020-12-23,15.2285
2020-12-24,15.2847
2020-12-25,15.2847
2020-12-26,15.2847
2020-12-27,15.2847
2020-12-28,15.4534
2020-12-29,15.1722
2020-12-30,15.4534
2020-12-31,12.6101
2021-01-01,12.6101
2021-01-02,12.6101
2021-01-03,12.6101
2021-01-04,12.7307
2021-01-05,13.0991
2021-01-06,13.7555
2021-01-07,13.9832
2021-01-08,13.8291
2021-01-09,13.8291
2021-01-10,13.8291
2021-01-11,14.0435
2021-01-12,14.01
2021-01-13,13.9564
2021-01-14,14.1975
2021-01-15,13.8291
2021-01-16,13.8291
2021-01-17,13.8291
2021-01-18,13.8291
2021-01-19,14.519
2021-01-20,14.4051
2021-01-21,14.2042
2021-01-22,14.2511
2021-01-23,14.2511
2021-01-24,14.2511
2021-01-25,14.2511
2021-01-26,14.0301
2021-01-27,13.2129
2021-01-28,13.4407
2021-01-29,13.1727
2021-01-30,13.1727
2021-01-31,13.1727
2021-02-01,13.8291
2021-02-02,14.0569
2021-02-03,14.1372
2021-02-04,14.2846
2021-02-05,14.3382
2021-02-06,14.3382
2021-02-07,14.3382
2021-02-08,14.9879
2021-02-09,14.5257
2021-02-10,13.9899
2021-02-11,14.3315
2021-02-12,14.5324
2021-02-13,14.5324
2021-02-14,14.5324
2021-02-15,14.5324
2021-02-16,14.5123
2021-02-17,14.3114
2021-02-18,14.2176
2021-02-19,14.5659
2021-02-20,14.5659
2021-02-21,14.5659
2021-02-22,14.9075
2021-02-23,14.7199
2021-02-24,15.4048
2021-02-25,14.5671
2021-02-26,14.7347
2021-02-27,14.7347
2021-02-28,14.7347
2021-03-01,15.2641
2021-03-02,14.5135
2021-03-03,14.2455
2021-03-04,13.83
2021-03-05,14.3862
2021-03-06,14.3862
2021-03-07,14.3862
2021-03-08,14.3728
2021-03-09,15.0831
2021-03-10,15.063
2021-03-11,15.2708
2021-03-12,15.2574
2021-03-13,15.2574
2021-03-14,15.2574
2021-03-15,15.3512
2021-03-16,15.378
2021-03-17,15.6326
2021-03-18,15.063
2021-03-19,15.0831
2021-03-20,15.0831
2021-03-21,15.0831
2021-03-22,15.0965
2021-03-23,14.5068
2021-03-24,14.3125
2021-03-25,14.547
2021-03-26,15.2306
2021-03-27,15.2306
2021-03-28,15.2306
2021-03-29,14.6476
2021-03-30,14.7213
2021-03-31,14.8754
2021-04-01,12.6933
2021-04-02,12.6933
2021-04-03,12.6933
2021-04-04,12.6933
2021-04-05,13.06
2021-04-06,13.1635
2021-04-07,13.0164
2021-04-08,13.0491
2021-04-09,13.0709
