,WDR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.6642
2020-01-02,8.6342
2020-01-03,8.5043
2020-01-04,8.5043
2020-01-05,8.5043
2020-01-06,8.5043
2020-01-07,8.5642
2020-01-08,8.5792
2020-01-09,8.6692
2020-01-10,8.5842
2020-01-11,8.5842
2020-01-12,8.5842
2020-01-13,8.6742
2020-01-14,8.7291
2020-01-15,8.7041
2020-01-16,8.899
2020-01-17,8.7191
2020-01-18,8.7191
2020-01-19,8.7191
2020-01-20,8.7191
2020-01-21,8.6192
2020-01-22,8.6841
2020-01-23,8.6642
2020-01-24,8.5293
2020-01-25,8.5293
2020-01-26,8.5293
2020-01-27,8.2695
2020-01-28,8.3045
2020-01-29,8.3394
2020-01-30,8.5193
2020-01-31,8.2945
2020-02-01,8.2945
2020-02-02,8.2945
2020-02-03,8.3994
2020-02-04,8.5842
2020-02-05,8.7741
2020-02-06,8.914
2020-02-07,8.7741
2020-02-08,8.7741
2020-02-09,8.7741
2020-02-10,8.7641
2020-02-11,8.9389
2020-02-12,8.7091
2020-02-13,8.6042
2020-02-14,8.4094
2020-02-15,8.4094
2020-02-16,8.4094
2020-02-17,8.4094
2020-02-18,8.3444
2020-02-19,8.4543
2020-02-20,8.5193
2020-02-21,8.0701
2020-02-22,8.0701
2020-02-23,8.0701
2020-02-24,7.7472
2020-02-25,7.5063
2020-02-26,7.434
2020-02-27,7.0918
2020-02-28,6.9424
2020-02-29,6.9424
2020-03-01,6.9424
2020-03-02,7.193
2020-03-03,7.0726
2020-03-04,7.246
2020-03-05,7.0436
2020-03-06,6.8412
2020-03-07,6.8412
2020-03-08,6.8412
2020-03-09,6.2981
2020-03-10,6.4364
2020-03-11,5.9165
2020-03-12,5.4442
2020-03-13,5.9785
2020-03-14,5.9785
2020-03-15,5.9785
2020-03-16,5.802
2020-03-17,6.5557
2020-03-18,6.384
2020-03-19,6.3649
2020-03-20,5.9451
2020-03-21,5.9451
2020-03-22,5.9451
2020-03-23,5.6445
2020-03-24,5.7256
2020-03-25,5.697
2020-03-26,5.9355
2020-03-27,5.6779
2020-03-28,5.6779
2020-03-29,5.6779
2020-03-30,5.8735
2020-03-31,5.6125
2020-04-01,5.3802
2020-04-02,5.5754
2020-04-03,5.4267
2020-04-04,5.4267
2020-04-05,5.4267
2020-04-06,5.7984
2020-04-07,5.738
2020-04-08,5.8402
2020-04-09,6.2305
2020-04-10,6.2305
2020-04-11,6.2305
2020-04-12,6.2305
2020-04-13,6.1236
2020-04-14,6.3466
2020-04-15,6.1143
2020-04-16,6.0168
2020-04-17,6.2119
2020-04-18,6.2119
2020-04-19,6.2119
2020-04-20,6.2351
2020-04-21,6.1608
2020-04-22,6.2026
2020-04-23,5.9935
2020-04-24,5.9935
2020-04-25,5.9935
2020-04-26,5.9935
2020-04-27,6.3884
2020-04-28,6.8624
2020-04-29,7.0389
2020-04-30,7.0854
2020-05-01,6.7226
2020-05-02,6.7226
2020-05-03,6.7226
2020-05-04,6.7272
2020-05-05,6.5319
2020-05-06,6.4048
2020-05-07,6.4775
2020-05-08,6.7045
2020-05-09,6.7045
2020-05-10,6.7045
2020-05-11,6.7817
2020-05-12,6.6046
2020-05-13,6.2096
2020-05-14,6.2141
2020-05-15,6.1596
2020-05-16,6.1596
2020-05-17,6.1596
2020-05-18,6.5592
2020-05-19,6.2777
2020-05-20,6.4366
2020-05-21,6.4139
2020-05-22,6.3231
2020-05-23,6.3231
2020-05-24,6.3231
2020-05-25,6.3231
2020-05-26,6.4911
2020-05-27,6.6954
2020-05-28,6.3957
2020-05-29,6.2459
2020-05-30,6.2459
2020-05-31,6.2459
2020-06-01,6.3639
2020-06-02,6.5592
2020-06-03,6.8452
2020-06-04,6.927
2020-06-05,7.3083
2020-06-06,7.3083
2020-06-07,7.3083
2020-06-08,7.5717
2020-06-09,7.5444
2020-06-10,7.4037
2020-06-11,6.8906
2020-06-12,7.045
2020-06-13,7.045
2020-06-14,7.045
2020-06-15,7.1812
2020-06-16,7.2402
2020-06-17,7.2766
2020-06-18,7.3447
2020-06-19,7.3992
2020-06-20,7.3992
2020-06-21,7.3992
2020-06-22,7.3311
2020-06-23,7.3129
2020-06-24,7.1222
2020-06-25,7.213
2020-06-26,7.0087
2020-06-27,7.0087
2020-06-28,7.0087
2020-06-29,7.1812
2020-06-30,8.3839
2020-07-01,8.2959
2020-07-02,8.3735
2020-07-03,8.3735
2020-07-04,8.3735
2020-07-05,8.3735
2020-07-06,8.4046
2020-07-07,8.3942
2020-07-08,8.5029
2020-07-09,8.1406
2020-07-10,8.3321
2020-07-11,8.3321
2020-07-12,8.3321
2020-07-13,8.1303
2020-07-14,8.1147
2020-07-15,8.4149
2020-07-16,8.4201
2020-07-17,8.2648
2020-07-18,8.2648
2020-07-19,8.2648
2020-07-20,8.0992
2020-07-21,8.358
2020-07-22,8.0992
2020-07-23,8.239
2020-07-24,8.063
2020-07-25,8.063
2020-07-26,8.063
2020-07-27,8.239
2020-07-28,7.9439
2020-07-29,8.0423
2020-07-30,7.887
2020-07-31,7.8549
2020-08-01,7.8549
2020-08-02,7.8549
2020-08-03,7.7829
2020-08-04,7.7726
2020-08-05,8.081
2020-08-06,7.9988
2020-08-07,8.2404
2020-08-08,8.2404
2020-08-09,8.2404
2020-08-10,8.3637
2020-08-11,8.374
2020-08-12,8.3997
2020-08-13,8.2815
2020-08-14,8.3226
2020-08-15,8.3226
2020-08-16,8.3226
2020-08-17,8.374
2020-08-18,8.41
2020-08-19,8.4459
2020-08-20,8.2609
2020-08-21,8.2095
2020-08-22,8.2095
2020-08-23,8.2095
2020-08-24,8.4459
2020-08-25,8.4871
2020-08-26,8.4048
2020-08-27,8.4202
2020-08-28,8.4511
2020-08-29,8.4511
2020-08-30,8.4511
2020-08-31,8.4511
2020-09-01,8.4202
2020-09-02,8.6258
2020-09-03,8.5025
2020-09-04,8.4665
2020-09-05,8.4665
2020-09-06,8.4665
2020-09-07,8.4665
2020-09-08,8.3123
