,AEO US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,15.329
2020-04-16,15.885
2020-04-17,16.566
2020-04-18,16.566
2020-04-19,16.566
2020-04-20,15.24
2020-04-21,14.953
2020-04-22,12.066
2020-04-23,12.532
2020-04-24,12.246
2020-04-25,12.246
2020-04-26,12.246
2020-04-27,13.967
2020-04-28,14.558
2020-04-29,15.078
2020-04-30,14.254
2020-05-01,13.895
2020-05-02,13.895
2020-05-03,13.895
2020-05-04,13.357
2020-05-05,12.981
2020-05-06,13.321
2020-05-07,13.536
2020-05-08,14.505
2020-05-09,14.505
2020-05-10,14.505
2020-05-11,14.254
2020-05-12,13.716
2020-05-13,13.644
2020-05-14,13.572
2020-05-15,14.415
2020-05-16,14.415
2020-05-17,14.415
2020-05-18,15.706
2020-05-19,15.527
2020-05-20,15.168
2020-05-21,16.082
2020-05-22,16.082
2020-05-23,16.082
2020-05-24,16.082
2020-05-25,16.082
2020-05-26,17.086
2020-05-27,18.467
2020-05-28,17.104
2020-05-29,16.423
2020-05-30,16.423
2020-05-31,16.423
2020-06-01,17.732
2020-06-02,18.449
2020-06-03,11.602
2020-06-04,12.123
2020-06-05,12.762
2020-06-06,12.762
2020-06-07,12.762
2020-06-08,12.841
2020-06-09,10.312
2020-06-10,9.736
2020-06-11,9.29
2020-06-12,9.712
2020-06-13,9.712
2020-06-14,9.712
2020-06-15,9.728
2020-06-16,10.077
2020-06-17,9.704
2020-06-18,10.012
2020-06-19,9.363
2020-06-20,9.363
2020-06-21,9.363
2020-06-22,9.663
2020-06-23,9.793
2020-06-24,9.16
2020-06-25,8.99
2020-06-26,8.552
2020-06-27,8.552
2020-06-28,8.552
2020-06-29,8.973
2020-06-30,8.844
2020-07-01,8.779
2020-07-02,8.941
2020-07-03,8.941
2020-07-04,8.941
2020-07-05,8.941
2020-07-06,9.184
2020-07-07,8.698
2020-07-08,8.803
2020-07-09,8.349
2020-07-10,8.649
2020-07-11,8.649
2020-07-12,8.649
2020-07-13,8.446
2020-07-14,8.56
2020-07-15,9.006
2020-07-16,9.257
2020-07-17,8.827
2020-07-18,8.827
2020-07-19,8.827
2020-07-20,8.113
2020-07-21,8.397
2020-07-22,8.186
2020-07-23,8.211
2020-07-24,7.838
2020-07-25,7.838
2020-07-26,7.838
2020-07-27,7.773
2020-07-28,7.951
2020-07-29,8.641
2020-07-30,8.284
2020-07-31,8.113
2020-08-01,8.113
2020-08-02,8.113
2020-08-03,8.292
2020-08-04,8.868
2020-08-05,8.884
2020-08-06,8.6
2020-08-07,8.835
2020-08-08,8.835
2020-08-09,8.835
2020-08-10,9.119
2020-08-11,9.379
2020-08-12,9.906
2020-08-13,9.558
2020-08-14,9.476
2020-08-15,9.476
2020-08-16,9.476
2020-08-17,9.704
2020-08-18,9.192
2020-08-19,9.298
2020-08-20,9.087
2020-08-21,8.714
2020-08-22,8.714
2020-08-23,8.714
2020-08-24,9.055
2020-08-25,8.965
2020-08-26,9.249
2020-08-27,9.736
2020-08-28,10.012
2020-08-29,10.012
2020-08-30,10.012
2020-08-31,10.231
2020-09-01,10.369
2020-09-02,10.556
2020-09-03,10.231
2020-09-04,10.434
2020-09-05,10.434
2020-09-06,10.434
2020-09-07,10.434
2020-09-08,10.71
2020-09-09,10.365
2020-09-10,10.187
2020-09-11,10.659
2020-09-12,10.659
2020-09-13,10.659
2020-09-14,11.463
2020-09-15,11.208
2020-09-16,11.895
2020-09-17,11.509
2020-09-18,11.316
2020-09-19,11.316
2020-09-20,11.316
2020-09-21,10.929
2020-09-22,10.806
2020-09-23,10.929
2020-09-24,10.852
2020-09-25,11.084
2020-09-26,11.084
2020-09-27,11.084
2020-09-28,11.47
2020-09-29,10.813
2020-09-30,11.447
