,CG US Equity
,BEST_PE_RATIO
2020-01-01,5.394
2020-01-02,5.384
2020-01-03,5.288
2020-01-04,5.288
2020-01-05,5.288
2020-01-06,5.288
2020-01-07,5.271
2020-01-08,5.293
2020-01-09,5.342
2020-01-10,5.303
2020-01-11,5.303
2020-01-12,5.303
2020-01-13,5.32
2020-01-14,5.285
2020-01-15,5.381
2020-01-16,5.539
2020-01-17,5.596
2020-01-18,5.596
2020-01-19,5.596
2020-01-20,5.596
2020-01-21,5.618
2020-01-22,5.764
2020-01-23,5.792
2020-01-24,5.67
2020-01-25,5.67
2020-01-26,5.67
2020-01-27,5.534
2020-01-28,5.576
2020-01-29,5.663
2020-01-30,5.49
2020-01-31,5.461
2020-02-01,5.461
2020-02-02,5.461
2020-02-03,5.414
2020-02-04,5.633
2020-02-05,5.491
2020-02-06,5.456
2020-02-07,5.527
2020-02-08,5.527
2020-02-09,5.527
2020-02-10,5.618
2020-02-11,5.65
2020-02-12,5.665
2020-02-13,5.539
2020-02-14,5.444
2020-02-15,5.444
2020-02-16,5.444
2020-02-17,5.444
2020-02-18,5.422
2020-02-19,5.379
2020-02-20,5.313
2020-02-21,5.298
2020-02-22,5.298
2020-02-23,5.298
2020-02-24,5.237
2020-02-25,4.961
2020-02-26,5.052
2020-02-27,4.891
2020-02-28,4.822
2020-02-29,4.822
2020-03-01,4.822
2020-03-02,5.173
2020-03-03,4.952
2020-03-04,4.91
2020-03-05,4.849
2020-03-06,4.468
2020-03-07,4.468
2020-03-08,4.468
2020-03-09,3.936
2020-03-10,3.98
2020-03-11,3.787
2020-03-12,3.517
2020-03-13,4.004
2020-03-14,4.004
2020-03-15,4.004
2020-03-16,3.155
2020-03-17,3.106
2020-03-18,2.894
2020-03-19,3.385
2020-03-20,3.285
2020-03-21,3.285
2020-03-22,3.285
2020-03-23,3.085
2020-03-24,3.394
2020-03-25,3.802
2020-03-26,4.021
2020-03-27,3.853
2020-03-28,3.853
2020-03-29,3.853
2020-03-30,3.815
2020-03-31,3.668
2020-04-01,3.339
2020-04-02,3.421
2020-04-03,3.37
2020-04-04,3.37
2020-04-05,3.37
2020-04-06,3.697
2020-04-07,3.765
2020-04-08,3.892
2020-04-09,4.076
2020-04-10,4.076
2020-04-11,4.076
2020-04-12,4.076
2020-04-13,3.865
2020-04-14,4.068
2020-04-15,3.843
2020-04-16,3.843
2020-04-17,3.888
2020-04-18,3.888
2020-04-19,3.888
2020-04-20,3.705
2020-04-21,3.558
2020-04-22,3.675
2020-04-23,3.761
2020-04-24,3.826
2020-04-25,3.826
2020-04-26,3.826
2020-04-27,4.141
2020-04-28,4.203
2020-04-29,4.398
2020-04-30,3.971
2020-05-01,3.758
2020-05-02,3.758
2020-05-03,3.758
2020-05-04,3.724
2020-05-05,3.929
2020-05-06,3.907
2020-05-07,4.049
2020-05-08,4.159
2020-05-09,4.159
2020-05-10,4.159
2020-05-11,4.207
2020-05-12,4.168
2020-05-13,4.023
2020-05-14,4.062
2020-05-15,4.019
2020-05-16,4.019
2020-05-17,4.019
2020-05-18,4.286
2020-05-19,4.272
2020-05-20,4.438
2020-05-21,4.536
2020-05-22,4.591
2020-05-23,4.591
2020-05-24,4.591
2020-05-25,4.591
2020-05-26,4.767
2020-05-27,4.808
2020-05-28,4.788
2020-05-29,4.735
2020-05-30,4.735
2020-05-31,4.735
2020-06-01,4.813
2020-06-02,4.947
2020-06-03,5.147
2020-06-04,5.092
2020-06-05,5.077
2020-06-06,5.077
2020-06-07,5.077
2020-06-08,5.253
2020-06-09,5.127
2020-06-10,5.128
2020-06-11,4.8
2020-06-12,5.029
2020-06-13,5.029
2020-06-14,5.029
2020-06-15,5.267
2020-06-16,5.231
2020-06-17,5.272
2020-06-18,5.296
2020-06-19,5.109
2020-06-20,5.109
2020-06-21,5.109
2020-06-22,4.978
2020-06-23,5.022
2020-06-24,4.86
2020-06-25,4.86
2020-06-26,4.531
