,GWW US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,11.579
2020-01-31,11.213
2020-02-01,11.213
2020-02-02,11.213
2020-02-03,11.325
2020-02-04,11.509
2020-02-05,11.767
2020-02-06,11.577
2020-02-07,11.246
2020-02-08,11.246
2020-02-09,11.246
2020-02-10,11.188
2020-02-11,11.29
2020-02-12,11.668
2020-02-13,11.458
2020-02-14,11.544
2020-02-15,11.544
2020-02-16,11.544
2020-02-17,11.544
2020-02-18,11.564
2020-02-19,11.525
2020-02-20,11.643
2020-02-21,11.382
2020-02-22,11.382
2020-02-23,11.382
2020-02-24,11.108
2020-02-25,10.686
2020-02-26,10.689
2020-02-27,10.499
2020-02-28,10.414
2020-02-29,10.414
2020-03-01,10.414
2020-03-02,10.84
2020-03-03,10.726
2020-03-04,11.057
2020-03-05,10.895
2020-03-06,10.68
2020-03-07,10.68
2020-03-08,10.68
2020-03-09,9.6
2020-03-10,10.492
2020-03-11,10.304
2020-03-12,9.238
2020-03-13,9.982
2020-03-14,9.982
2020-03-15,9.982
2020-03-16,8.882
2020-03-17,9.536
2020-03-18,9.128
2020-03-19,9.093
2020-03-20,8.272
2020-03-21,8.272
2020-03-22,8.272
2020-03-23,8.106
2020-03-24,9.236
2020-03-25,9.182
2020-03-26,9.636
2020-03-27,9.564
2020-03-28,9.564
2020-03-29,9.564
2020-03-30,9.873
2020-03-31,9.616
2020-04-01,9.152
2020-04-02,9.275
2020-04-03,9.239
2020-04-04,9.239
2020-04-05,9.239
2020-04-06,10.166
2020-04-07,10.439
2020-04-08,10.944
2020-04-09,11.327
2020-04-10,11.327
2020-04-11,11.327
2020-04-12,11.327
2020-04-13,11.104
2020-04-14,11.641
2020-04-15,11.309
2020-04-16,11.329
2020-04-17,11.341
2020-04-18,11.341
2020-04-19,11.341
2020-04-20,11.11
2020-04-21,10.931
2020-04-22,11.176
2020-04-23,10.767
2020-04-24,11.233
2020-04-25,11.233
2020-04-26,11.233
2020-04-27,11.481
2020-04-28,11.85
2020-04-29,11.627
2020-04-30,11.418
2020-05-01,11.089
2020-05-02,11.089
2020-05-03,11.089
2020-05-04,11.274
2020-05-05,11.568
2020-05-06,11.621
2020-05-07,11.647
2020-05-08,11.887
2020-05-09,11.887
2020-05-10,11.887
2020-05-11,11.935
2020-05-12,11.544
2020-05-13,11.372
2020-05-14,11.536
2020-05-15,11.61
2020-05-16,11.61
2020-05-17,11.61
2020-05-18,12.115
2020-05-19,11.932
2020-05-20,12.33
2020-05-21,12.303
2020-05-22,12.198
2020-05-23,12.198
2020-05-24,12.198
2020-05-25,12.198
2020-05-26,12.733
2020-05-27,13.09
2020-05-28,12.877
2020-05-29,12.894
2020-05-30,12.894
2020-05-31,12.894
2020-06-01,12.741
2020-06-02,13.118
2020-06-03,13.289
2020-06-04,13.22
2020-06-05,13.249
2020-06-06,13.249
2020-06-07,13.249
2020-06-08,13.477
2020-06-09,13.393
2020-06-10,13.168
2020-06-11,12.608
2020-06-12,12.518
2020-06-13,12.518
2020-06-14,12.518
2020-06-15,12.479
2020-06-16,12.803
2020-06-17,12.787
2020-06-18,12.548
2020-06-19,12.488
2020-06-20,12.488
2020-06-21,12.488
2020-06-22,12.495
2020-06-23,12.425
2020-06-24,12.149
2020-06-25,12.197
2020-06-26,12.08
2020-06-27,12.08
2020-06-28,12.08
2020-06-29,12.507
2020-06-30,12.947
2020-07-01,12.692
2020-07-02,13.085
2020-07-03,13.085
2020-07-04,13.085
2020-07-05,13.085
2020-07-06,13.278
2020-07-07,13.223
2020-07-08,12.725
2020-07-09,12.734
2020-07-10,12.818
2020-07-11,12.818
2020-07-12,12.818
2020-07-13,13.168
2020-07-14,13.501
2020-07-15,13.749
2020-07-16,13.737
2020-07-17,13.611
2020-07-18,13.611
2020-07-19,13.611
2020-07-20,13.63
2020-07-21,13.902
2020-07-22,13.969
2020-07-23,13.774
2020-07-24,13.885
2020-07-25,13.885
2020-07-26,13.885
2020-07-27,13.641
2020-07-28,13.395
2020-07-29,13.68
2020-07-30,13.641
2020-07-31,13.711
2020-08-01,13.711
2020-08-02,13.711
2020-08-03,13.728
2020-08-04,13.59
2020-08-05,13.826
2020-08-06,13.914
2020-08-07,14.088
2020-08-08,14.088
2020-08-09,14.088
2020-08-10,14.197
2020-08-11,14.231
2020-08-12,14.347
2020-08-13,14.197
2020-08-14,14.169
2020-08-15,14.169
2020-08-16,14.169
2020-08-17,14.19
2020-08-18,14.244
2020-08-19,14.147
2020-08-20,14.285
2020-08-21,14.218
2020-08-22,14.218
2020-08-23,14.218
2020-08-24,14.079
2020-08-25,14.302
2020-08-26,14.576
2020-08-27,14.616
2020-08-28,14.758
2020-08-29,14.758
2020-08-30,14.758
2020-08-31,14.735
2020-09-01,14.816
2020-09-02,14.94
2020-09-03,14.521
2020-09-04,14.439
2020-09-05,14.439
2020-09-06,14.439
2020-09-07,14.439
2020-09-08,14.12
2020-09-09,14.568
