,KLAC US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,10.611
2020-05-07,10.613
2020-05-08,11.109
2020-05-09,11.109
2020-05-10,11.109
2020-05-11,10.933
2020-05-12,10.725
2020-05-13,10.627
2020-05-14,11.449
2020-05-15,10.898
2020-05-16,10.898
2020-05-17,10.898
2020-05-18,11.215
2020-05-19,11.229
2020-05-20,11.58
2020-05-21,11.223
2020-05-22,11.26
2020-05-23,11.26
2020-05-24,11.26
2020-05-25,11.26
2020-05-26,11.497
2020-05-27,11.503
2020-05-28,11.365
2020-05-29,11.453
2020-05-30,11.453
2020-05-31,11.453
2020-06-01,11.453
2020-06-02,11.539
2020-06-03,12.109
2020-06-04,12.125
2020-06-05,12.528
2020-06-06,12.528
2020-06-07,12.528
2020-06-08,12.488
2020-06-09,12.434
2020-06-10,12.547
2020-06-11,11.753
2020-06-12,12.021
2020-06-13,12.021
2020-06-14,12.021
2020-06-15,12.22
2020-06-16,12.561
2020-06-17,12.62
2020-06-18,12.61
2020-06-19,12.568
2020-06-20,12.568
2020-06-21,12.568
2020-06-22,12.488
2020-06-23,12.575
2020-06-24,12.277
2020-06-25,12.52
2020-06-26,12.339
2020-06-27,12.339
2020-06-28,12.339
2020-06-29,12.479
2020-06-30,12.658
2020-07-01,12.572
2020-07-02,12.79
2020-07-03,12.79
2020-07-04,12.79
2020-07-05,12.79
2020-07-06,13.251
2020-07-07,13.193
2020-07-08,13.311
2020-07-09,13.251
2020-07-10,13.165
2020-07-11,13.165
2020-07-12,13.165
2020-07-13,12.989
2020-07-14,13.078
2020-07-15,12.76
2020-07-16,12.76
2020-07-17,12.835
2020-07-18,12.835
2020-07-19,12.835
2020-07-20,13.213
2020-07-21,13.246
2020-07-22,13.404
2020-07-23,13.273
2020-07-24,12.25
2020-07-25,12.25
2020-07-26,12.25
2020-07-27,12.827
2020-07-28,12.527
2020-07-29,12.7
2020-07-30,12.881
2020-07-31,13.006
2020-08-01,13.006
2020-08-02,13.006
2020-08-03,13.515
2020-08-04,12.406
2020-08-05,12.35
2020-08-06,12.326
2020-08-07,12.281
2020-08-08,12.281
2020-08-09,12.281
2020-08-10,12.296
2020-08-11,12.142
2020-08-12,12.593
2020-08-13,12.712
2020-08-14,12.861
2020-08-15,12.861
2020-08-16,12.861
2020-08-17,13.172
2020-08-18,12.876
2020-08-19,12.802
2020-08-20,12.577
2020-08-21,12.402
2020-08-22,12.402
2020-08-23,12.402
2020-08-24,12.669
2020-08-25,12.786
2020-08-26,12.905
2020-08-27,12.432
2020-08-28,12.685
2020-08-29,12.685
2020-08-30,12.685
2020-08-31,12.474
2020-09-01,12.644
2020-09-02,13.106
2020-09-03,12.247
2020-09-04,11.758
2020-09-05,11.758
2020-09-06,11.758
2020-09-07,11.758
2020-09-08,10.609
2020-09-09,10.608
2020-09-10,10.527
2020-09-11,10.455
2020-09-12,10.455
2020-09-13,10.455
2020-09-14,10.828
2020-09-15,10.991
2020-09-16,10.994
2020-09-17,10.975
2020-09-18,10.882
2020-09-19,10.882
2020-09-20,10.882
2020-09-21,11.012
2020-09-22,11.146
2020-09-23,10.993
2020-09-24,11.221
2020-09-25,11.426
2020-09-26,11.426
2020-09-27,11.426
2020-09-28,11.751
2020-09-29,11.755
2020-09-30,11.78
2020-10-01,12.099
2020-10-02,11.672
2020-10-03,11.672
2020-10-04,11.672
2020-10-05,12.158
