,MSFT US Equity
,BEST_PE_RATIO
2020-01-01,16.973
2020-01-02,17.287
2020-01-03,17.072
2020-01-04,17.072
2020-01-05,17.072
2020-01-06,17.116
2020-01-07,16.96
2020-01-08,17.23
2020-01-09,17.329
2020-01-10,17.249
2020-01-11,17.249
2020-01-12,17.249
2020-01-13,17.456
2020-01-14,17.333
2020-01-15,17.445
2020-01-16,17.765
2020-01-17,17.865
2020-01-18,17.865
2020-01-19,17.865
2020-01-20,17.865
2020-01-21,17.8
2020-01-22,17.715
2020-01-23,17.824
2020-01-24,17.644
2020-01-25,17.644
2020-01-26,17.644
2020-01-27,17.349
2020-01-28,17.689
2020-01-29,17.965
2020-01-30,17.845
2020-01-31,18.466
2020-02-01,18.466
2020-02-02,18.466
2020-02-03,18.916
2020-02-04,19.539
2020-02-05,19.515
2020-02-06,19.92
2020-02-07,19.948
2020-02-08,19.948
2020-02-09,19.948
2020-02-10,20.47
2020-02-11,20.007
2020-02-12,19.924
2020-02-13,19.816
2020-02-14,19.993
2020-02-15,19.993
2020-02-16,19.993
2020-02-17,19.993
2020-02-18,20.196
2020-02-19,20.257
2020-02-20,19.947
2020-02-21,19.317
2020-02-22,19.317
2020-02-23,19.317
2020-02-24,18.484
2020-02-25,18.179
2020-02-26,18.406
2020-02-27,17.109
2020-02-28,17.523
2020-02-29,17.523
2020-03-01,17.523
2020-03-02,18.71
2020-03-03,17.814
2020-03-04,18.468
2020-03-05,18.004
2020-03-06,17.495
2020-03-07,17.495
2020-03-08,17.495
2020-03-09,16.31
2020-03-10,17.425
2020-03-11,16.636
2020-03-12,15.058
2020-03-13,17.199
2020-03-14,17.199
2020-03-15,17.199
2020-03-16,14.664
2020-03-17,15.871
2020-03-18,15.203
2020-03-19,15.453
2020-03-20,14.873
2020-03-21,14.873
2020-03-22,14.873
2020-03-23,14.725
2020-03-24,16.063
2020-03-25,15.909
2020-03-26,16.904
2020-03-27,16.21
2020-03-28,16.21
2020-03-29,16.21
2020-03-30,17.35
2020-03-31,17.078
2020-04-01,15.148
2020-04-02,16.33
2020-04-03,16.18
2020-04-04,16.18
2020-04-05,16.18
2020-04-06,17.383
2020-04-07,17.196
2020-04-08,17.368
2020-04-09,17.369
2020-04-10,17.369
2020-04-11,17.369
2020-04-12,17.369
2020-04-13,17.408
2020-04-14,18.27
2020-04-15,18.078
2020-04-16,18.621
2020-04-17,19.257
2020-04-18,19.257
2020-04-19,19.257
2020-04-20,18.876
2020-04-21,18.095
2020-04-22,18.71
2020-04-23,18.483
2020-04-24,18.821
2020-04-25,18.821
2020-04-26,18.821
2020-04-27,18.767
2020-04-28,18.31
2020-04-29,19.131
2020-04-30,19.323
2020-05-01,18.823
2020-05-02,18.823
2020-05-03,18.823
2020-05-04,19.283
2020-05-05,19.49
2020-05-06,19.682
2020-05-07,19.797
2020-05-08,19.913
2020-05-09,19.913
2020-05-10,19.913
2020-05-11,20.135
2020-05-12,19.679
2020-05-13,19.381
2020-05-14,19.466
2020-05-15,19.749
2020-05-16,19.749
2020-05-17,19.749
2020-05-18,19.938
2020-05-19,19.8
2020-05-20,20.074
2020-05-21,19.833
2020-05-22,19.842
2020-05-23,19.842
2020-05-24,19.842
2020-05-25,19.842
2020-05-26,19.632
2020-05-27,19.658
2020-05-28,19.28
2020-05-29,19.476
2020-05-30,19.476
2020-05-31,19.476
2020-06-01,19.432
2020-06-02,19.653
2020-06-03,19.701
2020-06-04,19.441
2020-06-05,19.896
2020-06-06,19.896
2020-06-07,19.896
2020-06-08,20.019
2020-06-09,20.172
2020-06-10,20.921
2020-06-11,19.797
2020-06-12,19.954
2020-06-13,19.954
2020-06-14,19.954
2020-06-15,20.081
2020-06-16,19.381
2020-06-17,19.448
2020-06-18,19.656
2020-06-19,19.539
2020-06-20,19.539
2020-06-21,19.539
2020-06-22,20.081
2020-06-23,20.216
2020-06-24,19.808
2020-06-25,20.058
2020-06-26,19.657
2020-06-27,19.657
2020-06-28,19.657
2020-06-29,19.868
2020-06-30,20.376
2020-07-01,20.495
2020-07-02,20.651
2020-07-03,20.651
2020-07-04,20.651
2020-07-05,20.651
2020-07-06,21.096
2020-07-07,20.85
2020-07-08,21.309
2020-07-09,21.458
2020-07-10,21.393
2020-07-11,21.393
2020-07-12,21.393
2020-07-13,20.732
2020-07-14,20.86
2020-07-15,20.829
2020-07-16,20.417
2020-07-17,20.313
2020-07-18,20.313
2020-07-19,20.313
2020-07-20,21.186
2020-07-21,20.9
2020-07-22,21.201
2020-07-23,21.201
2020-07-24,21.201
2020-07-25,21.201
2020-07-26,21.201
2020-07-27,21.201
2020-07-28,21.201
2020-07-29,21.201
2020-07-30,21.201
2020-07-31,21.201
2020-08-01,21.201
2020-08-02,21.201
2020-08-03,21.201
2020-08-04,21.201
2020-08-05,21.201
2020-08-06,21.201
2020-08-07,21.201
2020-08-08,21.201
2020-08-09,21.201
2020-08-10,21.201
2020-08-11,21.201
2020-08-12,21.201
2020-08-13,21.201
2020-08-14,21.201
2020-08-15,21.201
2020-08-16,21.201
2020-08-17,21.201
2020-08-18,21.201
2020-08-19,21.201
2020-08-20,21.201
2020-08-21,21.201
2020-08-22,21.201
2020-08-23,21.201
2020-08-24,21.201
2020-08-25,21.201
2020-08-26,21.201
2020-08-27,21.201
2020-08-28,21.201
2020-08-29,21.201
2020-08-30,21.201
2020-08-31,21.201
2020-09-01,21.201
2020-09-02,21.201
2020-09-03,21.201
2020-09-04,21.201
2020-09-05,21.201
2020-09-06,21.201
2020-09-07,21.201
2020-09-08,21.201
2020-09-09,21.201
2020-09-10,21.201
2020-09-11,21.201
2020-09-12,21.201
2020-09-13,21.201
2020-09-14,21.201
2020-09-15,21.201
2020-09-16,21.201
