,MSM US Equity
,BEST_PE_RATIO
2020-01-01,8.786
2020-01-02,8.819
2020-01-03,8.701
2020-01-04,8.701
2020-01-05,8.701
2020-01-06,8.572
2020-01-07,8.502
2020-01-08,8.823
2020-01-09,8.712
2020-01-10,8.775
2020-01-11,8.775
2020-01-12,8.775
2020-01-13,8.89
2020-01-14,8.962
2020-01-15,8.933
2020-01-16,9.106
2020-01-17,8.926
2020-01-18,8.926
2020-01-19,8.926
2020-01-20,8.926
2020-01-21,8.937
2020-01-22,8.974
2020-01-23,9.098
2020-01-24,9.02
2020-01-25,9.02
2020-01-26,9.02
2020-01-27,8.927
2020-01-28,8.945
2020-01-29,8.833
2020-01-30,8.841
2020-01-31,8.541
2020-02-01,8.541
2020-02-02,8.541
2020-02-03,8.627
2020-02-04,8.874
2020-02-05,9.038
2020-02-06,8.989
2020-02-07,8.815
2020-02-08,8.815
2020-02-09,8.815
2020-02-10,8.764
2020-02-11,8.892
2020-02-12,9.019
2020-02-13,8.991
2020-02-14,9.028
2020-02-15,9.028
2020-02-16,9.028
2020-02-17,9.028
2020-02-18,8.93
2020-02-19,8.912
2020-02-20,9.036
2020-02-21,8.941
2020-02-22,8.941
2020-02-23,8.941
2020-02-24,8.729
2020-02-25,8.3
2020-02-26,8.236
2020-02-27,7.982
2020-02-28,7.757
2020-02-29,7.757
2020-03-01,7.757
2020-03-02,8.026
2020-03-03,7.997
2020-03-04,8.138
2020-03-05,7.66
2020-03-06,7.526
2020-03-07,7.526
2020-03-08,7.526
2020-03-09,6.724
2020-03-10,6.745
2020-03-11,6.695
2020-03-12,6.595
2020-03-13,6.686
2020-03-14,6.686
2020-03-15,6.686
2020-03-16,7.45
2020-03-17,8.198
2020-03-18,7.645
2020-03-19,7.238
2020-03-20,6.884
2020-03-21,6.884
2020-03-22,6.884
2020-03-23,6.691
2020-03-24,7.281
2020-03-25,7.125
2020-03-26,7.363
2020-03-27,7.44
2020-03-28,7.44
2020-03-29,7.44
2020-03-30,7.739
2020-03-31,7.875
2020-04-01,7.765
2020-04-02,7.93
2020-04-03,7.782
2020-04-04,7.782
2020-04-05,7.782
2020-04-06,8.165
2020-04-07,8.317
2020-04-08,9.818
2020-04-09,9.658
2020-04-10,9.658
2020-04-11,9.658
2020-04-12,9.658
2020-04-13,9.268
2020-04-14,9.734
2020-04-15,9.583
2020-04-16,9.528
2020-04-17,9.559
2020-04-18,9.559
2020-04-19,9.559
2020-04-20,9.344
2020-04-21,9.214
2020-04-22,9.325
2020-04-23,9.374
2020-04-24,9.257
2020-04-25,9.257
2020-04-26,9.257
2020-04-27,9.684
2020-04-28,9.958
2020-04-29,10.106
2020-04-30,9.687
2020-05-01,9.575
2020-05-02,9.575
2020-05-03,9.575
2020-05-04,9.37
2020-05-05,9.598
2020-05-06,9.491
2020-05-07,9.541
2020-05-08,9.838
2020-05-09,9.838
2020-05-10,9.838
2020-05-11,10.041
2020-05-12,9.52
2020-05-13,9.539
2020-05-14,9.543
2020-05-15,9.798
2020-05-16,9.798
2020-05-17,9.798
2020-05-18,10.673
2020-05-19,10.429
2020-05-20,10.808
2020-05-21,10.602
2020-05-22,10.618
2020-05-23,10.618
2020-05-24,10.618
2020-05-25,10.618
2020-05-26,11.246
2020-05-27,11.454
2020-05-28,11.474
2020-05-29,11.263
2020-05-30,11.263
2020-05-31,11.263
2020-06-01,11.207
2020-06-02,11.615
2020-06-03,11.743
2020-06-04,11.721
