,NFG US Equity
,BEST_PE_RATIO
2020-01-01,10.619
2020-01-02,10.233
2020-01-03,10.318
2020-01-04,10.318
2020-01-05,10.318
2020-01-06,10.432
2020-01-07,10.388
2020-01-08,10.272
2020-01-09,10.256
2020-01-10,10.251
2020-01-11,10.251
2020-01-12,10.251
2020-01-13,10.231
2020-01-14,10.231
2020-01-15,10.331
2020-01-16,10.331
2020-01-17,10.331
2020-01-18,10.331
2020-01-19,10.331
2020-01-20,10.331
2020-01-21,10.331
2020-01-22,10.331
2020-01-23,10.331
2020-01-24,10.331
2020-01-25,10.331
2020-01-26,10.331
2020-01-27,10.331
2020-01-28,10.331
2020-01-29,10.331
2020-01-30,10.331
2020-01-31,10.331
2020-02-01,10.331
2020-02-02,10.331
2020-02-03,10.331
2020-02-04,10.331
2020-02-05,10.331
2020-02-06,10.331
2020-02-07,10.331
2020-02-08,10.331
2020-02-09,10.331
2020-02-10,10.331
2020-02-11,10.331
2020-02-12,10.331
2020-02-13,10.331
2020-02-14,10.331
2020-02-15,10.331
2020-02-16,10.331
2020-02-17,10.331
2020-02-18,10.331
2020-02-19,10.331
2020-02-20,10.331
2020-02-21,10.331
2020-02-22,10.331
2020-02-23,10.331
2020-02-24,10.331
2020-02-25,10.331
2020-02-26,10.331
2020-02-27,10.331
2020-02-28,10.331
2020-02-29,10.331
2020-03-01,10.331
2020-03-02,10.331
2020-03-03,10.331
2020-03-04,10.331
2020-03-05,10.331
2020-03-06,10.331
2020-03-07,10.331
2020-03-08,10.331
2020-03-09,10.331
2020-03-10,10.331
2020-03-11,10.331
2020-03-12,10.331
2020-03-13,10.331
2020-03-14,10.331
2020-03-15,10.331
2020-03-16,10.331
2020-03-17,10.331
2020-03-18,7.56
2020-03-19,7.242
2020-03-20,7.308
2020-03-21,7.308
2020-03-22,7.308
2020-03-23,7.117
2020-03-24,7.768
2020-03-25,7.51
2020-03-26,8.065
2020-03-27,7.768
2020-03-28,7.768
2020-03-29,7.768
2020-03-30,8.309
2020-03-31,8.115
2020-04-01,7.704
2020-04-02,7.743
2020-04-03,7.739
2020-04-04,7.739
2020-04-05,7.739
2020-04-06,8.026
