,PEP US Equity
,BEST_PE_RATIO
2020-01-01,14.986
2020-01-02,14.893
2020-01-03,14.872
2020-01-04,14.872
2020-01-05,14.872
2020-01-06,14.929
2020-01-07,14.694
2020-01-08,14.77
2020-01-09,14.78
2020-01-10,14.751
2020-01-11,14.751
2020-01-12,14.751
2020-01-13,14.971
2020-01-14,15.006
2020-01-15,15.264
2020-01-16,15.308
2020-01-17,15.489
2020-01-18,15.489
2020-01-19,15.489
2020-01-20,15.489
2020-01-21,15.555
2020-01-22,15.722
2020-01-23,15.751
2020-01-24,15.671
2020-01-25,15.671
2020-01-26,15.671
2020-01-27,15.586
2020-01-28,15.619
2020-01-29,15.541
2020-01-30,15.771
2020-01-31,15.573
2020-02-01,15.573
2020-02-02,15.573
2020-02-03,15.626
2020-02-04,15.704
2020-02-05,15.823
2020-02-06,15.826
2020-02-07,15.94
2020-02-08,15.94
2020-02-09,15.94
2020-02-10,15.972
2020-02-11,16.018
2020-02-12,16.018
2020-02-13,16.061
2020-02-14,16.443
2020-02-15,16.443
2020-02-16,16.443
2020-02-17,16.443
2020-02-18,16.287
2020-02-19,16.28
2020-02-20,16.238
2020-02-21,16.315
2020-02-22,16.315
2020-02-23,16.315
2020-02-24,15.956
2020-02-25,15.784
2020-02-26,15.882
2020-02-27,15.255
2020-02-28,14.769
2020-02-29,14.769
2020-03-01,14.769
2020-03-02,15.39
2020-03-03,15.167
2020-03-04,15.928
2020-03-05,15.553
2020-03-06,15.458
2020-03-07,15.458
2020-03-08,15.458
2020-03-09,14.659
2020-03-10,15.107
2020-03-11,14.612
2020-03-12,12.99
2020-03-13,14.353
2020-03-14,14.353
2020-03-15,14.353
2020-03-16,12.736
2020-03-17,14.384
2020-03-18,13.618
2020-03-19,13.215
2020-03-20,11.705
2020-03-21,11.705
2020-03-22,11.705
2020-03-23,11.845
2020-03-24,12.821
2020-03-25,12.67
2020-03-26,13.544
2020-03-27,13.566
2020-03-28,13.566
2020-03-29,13.566
2020-03-30,13.566
2020-03-31,13.566
2020-04-01,13.303
2020-04-02,13.949
2020-04-03,14.031
2020-04-04,14.031
2020-04-05,14.031
2020-04-06,14.771
2020-04-07,14.695
2020-04-08,14.934
2020-04-09,15.049
2020-04-10,15.049
2020-04-11,15.049
2020-04-12,15.049
2020-04-13,14.741
2020-04-14,15.587
2020-04-15,15.207
2020-04-16,15.276
2020-04-17,15.491
2020-04-18,15.491
2020-04-19,15.491
2020-04-20,15.153
2020-04-21,14.746
2020-04-22,14.936
2020-04-23,14.67
2020-04-24,15.132
2020-04-25,15.132
2020-04-26,15.132
2020-04-27,15.143
2020-04-28,15.679
2020-04-29,15.338
2020-04-30,15.337
2020-05-01,15.088
2020-05-02,15.088
2020-05-03,15.088
2020-05-04,15.179
2020-05-05,15.266
2020-05-06,15.162
2020-05-07,15.252
2020-05-08,15.562
2020-05-09,15.562
2020-05-10,15.562
2020-05-11,15.58
2020-05-12,15.413
2020-05-13,15.415
2020-05-14,15.429
2020-05-15,15.762
2020-05-16,15.762
2020-05-17,15.762
2020-05-18,15.712
2020-05-19,15.273
2020-05-20,15.218
2020-05-21,15.096
2020-05-22,15.128
2020-05-23,15.128
2020-05-24,15.128
2020-05-25,15.128
2020-05-26,15.043
2020-05-27,15.166
2020-05-28,15.337
2020-05-29,15.252
2020-05-30,15.252
2020-05-31,15.252
2020-06-01,15.419
2020-06-02,15.377
2020-06-03,15.399
2020-06-04,15.256
2020-06-05,15.474
2020-06-06,15.474
2020-06-07,15.474
2020-06-08,15.447
2020-06-09,15.536
2020-06-10,15.671
2020-06-11,14.937
2020-06-12,15.072
2020-06-13,15.072
2020-06-14,15.072
2020-06-15,15.245
2020-06-16,15.384
2020-06-17,15.395
2020-06-18,15.514
2020-06-19,15.338
2020-06-20,15.338
2020-06-21,15.338
2020-06-22,15.312
2020-06-23,15.348
2020-06-24,15.138
2020-06-25,15.354
2020-06-26,15.064
2020-06-27,15.064
2020-06-28,15.064
2020-06-29,15.315
2020-06-30,15.453
2020-07-01,15.465
2020-07-02,15.522
2020-07-03,15.522
2020-07-04,15.522
2020-07-05,15.522
2020-07-06,15.574
2020-07-07,15.659
2020-07-08,15.735
2020-07-09,15.495
2020-07-10,15.7
2020-07-11,15.7
2020-07-12,15.7
2020-07-13,15.752
2020-07-14,15.819
2020-07-15,15.606
2020-07-16,15.642
2020-07-17,15.733
2020-07-18,15.733
2020-07-19,15.733
2020-07-20,15.552
2020-07-21,15.707
2020-07-22,15.891
2020-07-23,16.016
2020-07-24,15.897
2020-07-25,15.897
2020-07-26,15.897
2020-07-27,16.085
2020-07-28,16.051
2020-07-29,16.115
2020-07-30,16.087
2020-07-31,16.084
2020-08-01,16.084
2020-08-02,16.084
2020-08-03,15.972
2020-08-04,16.062
2020-08-05,15.919
2020-08-06,15.874
2020-08-07,15.976
2020-08-08,15.976
2020-08-09,15.976
2020-08-10,15.888
2020-08-11,15.787
2020-08-12,16.1
2020-08-13,16.135
2020-08-14,16.072
2020-08-15,16.072
2020-08-16,16.072
2020-08-17,16.114
2020-08-18,16.136
2020-08-19,15.943
2020-08-20,15.974
2020-08-21,15.944
2020-08-22,15.944
2020-08-23,15.944
2020-08-24,16.082
2020-08-25,16.042
2020-08-26,16.179
2020-08-27,16.17
2020-08-28,16.35
2020-08-29,16.35
2020-08-30,16.35
2020-08-31,16.364
2020-09-01,16.263
2020-09-02,16.742
2020-09-03,16.401
2020-09-04,16.329
2020-09-05,16.329
2020-09-06,16.329
2020-09-07,16.329
2020-09-08,15.951
2020-09-09,16.135
2020-09-10,15.858
2020-09-11,15.982
2020-09-12,15.982
2020-09-13,15.982
2020-09-14,16.083
2020-09-15,15.959
2020-09-16,15.884
2020-09-17,15.675
2020-09-18,15.471
2020-09-19,15.471
2020-09-20,15.471
2020-09-21,15.444
2020-09-22,15.551
2020-09-23,15.416
2020-09-24,15.51
2020-09-25,15.742
2020-09-26,15.742
2020-09-27,15.742
2020-09-28,16.321
2020-09-29,16.225
2020-09-30,16.395
