,PSX US Equity
,BEST_PE_RATIO
2020-01-01,8.643
2020-01-02,8.704
2020-01-03,8.416
2020-01-04,8.416
2020-01-05,8.416
2020-01-06,8.363
2020-01-07,8.389
2020-01-08,8.076
2020-01-09,8.194
2020-01-10,8.135
2020-01-11,8.135
2020-01-12,8.135
2020-01-13,8.169
2020-01-14,8.09
2020-01-15,7.977
2020-01-16,7.734
2020-01-17,7.698
2020-01-18,7.698
2020-01-19,7.698
2020-01-20,7.698
2020-01-21,7.626
2020-01-22,7.59
2020-01-23,7.606
2020-01-24,7.475
2020-01-25,7.475
2020-01-26,7.475
2020-01-27,7.222
2020-01-28,7.205
2020-01-29,7.138
2020-01-30,7.184
2020-01-31,6.808
2020-02-01,6.808
2020-02-02,6.808
2020-02-03,7.247
2020-02-04,7.227
2020-02-05,7.546
2020-02-06,7.349
2020-02-07,7.358
2020-02-08,7.358
2020-02-09,7.358
2020-02-10,7.352
2020-02-11,7.353
2020-02-12,7.424
2020-02-13,7.359
2020-02-14,7.361
2020-02-15,7.361
2020-02-16,7.361
2020-02-17,7.361
2020-02-18,7.24
2020-02-19,7.27
2020-02-20,7.42
2020-02-21,7.343
2020-02-22,7.343
2020-02-23,7.343
2020-02-24,7.122
2020-02-25,6.813
2020-02-26,6.609
2020-02-27,6.11
2020-02-28,6.159
2020-02-29,6.159
2020-03-01,6.159
2020-03-02,6.18
2020-03-03,5.995
2020-03-04,6.14
2020-03-05,5.922
2020-03-06,5.702
2020-03-07,5.702
2020-03-08,5.702
2020-03-09,5.109
2020-03-10,5.213
2020-03-11,4.538
2020-03-12,3.818
2020-03-13,4.473
2020-03-14,4.473
2020-03-15,4.473
2020-03-16,3.971
2020-03-17,3.84
2020-03-18,3.535
2020-03-19,3.758
2020-03-20,3.978
2020-03-21,3.978
2020-03-22,3.978
2020-03-23,3.463
2020-03-24,3.75
2020-03-25,4.115
2020-03-26,4.432
2020-03-27,4.263
2020-03-28,4.263
2020-03-29,4.263
2020-03-30,4.413
2020-03-31,4.371
2020-04-01,4.034
2020-04-02,4.214
2020-04-03,4.206
2020-04-04,4.206
2020-04-05,4.206
2020-04-06,4.678
2020-04-07,4.777
2020-04-08,5.19
2020-04-09,5.012
2020-04-10,5.012
2020-04-11,5.012
2020-04-12,5.012
2020-04-13,6.52
2020-04-14,6.468
2020-04-15,5.981
2020-04-16,5.669
2020-04-17,6.305
2020-04-18,6.305
2020-04-19,6.305
2020-04-20,6.155
2020-04-21,6.016
2020-04-22,6.162
2020-04-23,6.351
2020-04-24,6.411
2020-04-25,6.411
2020-04-26,6.411
2020-04-27,6.724
2020-04-28,7.132
2020-04-29,7.784
2020-04-30,7.749
2020-05-01,7.028
2020-05-02,7.028
2020-05-03,7.028
2020-05-04,6.89
2020-05-05,7.052
2020-05-06,6.743
2020-05-07,6.875
2020-05-08,7.226
2020-05-09,7.226
2020-05-10,7.226
