,REGI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,3.556
2020-03-07,3.556
2020-03-08,3.556
2020-03-09,3.078
2020-03-10,3.142
2020-03-11,2.751
2020-03-12,2.557
2020-03-13,3.755
2020-03-14,3.755
2020-03-15,3.755
2020-03-16,2.756
2020-03-17,2.499
2020-03-18,2.261
2020-03-19,2.511
2020-03-20,2.603
2020-03-21,2.603
2020-03-22,2.603
2020-03-23,2.481
2020-03-24,2.754
2020-03-25,2.643
2020-03-26,2.582
2020-03-27,2.408
2020-03-28,2.408
2020-03-29,2.408
2020-03-30,2.464
2020-03-31,2.705
2020-04-01,2.502
2020-04-02,2.559
2020-04-03,2.623
2020-04-04,2.623
2020-04-05,2.623
2020-04-06,2.847
2020-04-07,2.991
2020-04-08,3.096
2020-04-09,3.088
2020-04-10,3.088
2020-04-11,3.088
2020-04-12,3.088
2020-04-13,3.116
2020-04-14,3.001
2020-04-15,2.804
2020-04-16,2.758
2020-04-17,2.959
2020-04-18,2.959
2020-04-19,2.959
2020-04-20,2.951
2020-04-21,2.804
2020-04-22,2.903
2020-04-23,3.065
2020-04-24,3.128
2020-04-25,3.128
2020-04-26,3.128
2020-04-27,3.227
2020-04-28,3.223
2020-04-29,3.291
2020-04-30,3.269
2020-05-01,3.266
2020-05-02,3.266
2020-05-03,3.266
2020-05-04,3.48
2020-05-05,3.433
2020-05-06,3.329
2020-05-07,3.426
2020-05-08,3.484
2020-05-09,3.484
2020-05-10,3.484
2020-05-11,3.564
2020-05-12,3.652
2020-05-13,3.246
2020-05-14,3.279
2020-05-15,3.402
2020-05-16,3.402
2020-05-17,3.402
2020-05-18,3.652
2020-05-19,3.728
2020-05-20,3.705
2020-05-21,3.851
2020-05-22,3.797
2020-05-23,3.797
2020-05-24,3.797
2020-05-25,3.797
2020-05-26,3.846
2020-05-27,4.122
2020-05-28,3.972
2020-05-29,4.03
2020-05-30,4.03
2020-05-31,4.03
2020-06-01,3.969
2020-06-02,4.21
2020-06-03,4.113
2020-06-04,4.188
2020-06-05,4.511
2020-06-06,4.511
2020-06-07,4.511
2020-06-08,4.591
2020-06-09,4.615
2020-06-10,4.431
2020-06-11,3.83
2020-06-12,3.88
2020-06-13,3.88
2020-06-14,3.88
2020-06-15,3.953
2020-06-16,4.013
2020-06-17,3.914
2020-06-18,4.024
2020-06-19,3.999
2020-06-20,3.999
2020-06-21,3.999
2020-06-22,3.973
2020-06-23,4.048
2020-06-24,3.22
2020-06-25,3.22
2020-06-26,3.22
2020-06-27,3.22
2020-06-28,3.22
2020-06-29,3.22
2020-06-30,3.22
2020-07-01,3.22
2020-07-02,3.22
2020-07-03,3.22
2020-07-04,3.22
2020-07-05,3.22
2020-07-06,3.22
2020-07-07,3.22
2020-07-08,3.22
2020-07-09,3.22
2020-07-10,3.22
2020-07-11,3.22
2020-07-12,3.22
2020-07-13,3.22
2020-07-14,3.22
2020-07-15,3.22
2020-07-16,3.22
2020-07-17,3.22
2020-07-18,3.22
2020-07-19,3.22
2020-07-20,3.22
2020-07-21,3.22
2020-07-22,3.22
2020-07-23,3.22
2020-07-24,3.22
2020-07-25,3.22
2020-07-26,3.22
2020-07-27,3.22
2020-07-28,3.22
2020-07-29,3.22
2020-07-30,3.22
2020-07-31,3.22
2020-08-01,3.22
2020-08-02,3.22
2020-08-03,3.22
2020-08-04,3.22
2020-08-05,3.22
2020-08-06,3.22
2020-08-07,3.22
2020-08-08,3.22
2020-08-09,3.22
2020-08-10,3.22
2020-08-11,3.22
2020-08-12,3.22
2020-08-13,3.22
2020-08-14,3.22
2020-08-15,3.22
2020-08-16,3.22
2020-08-17,3.22
2020-08-18,3.22
2020-08-19,3.22
2020-08-20,3.22
2020-08-21,3.22
2020-08-22,3.22
2020-08-23,3.22
2020-08-24,3.22
2020-08-25,3.22
2020-08-26,3.22
2020-08-27,3.22
2020-08-28,3.22
2020-08-29,3.22
2020-08-30,3.22
2020-08-31,3.22
2020-09-01,5.834
2020-09-02,5.831
2020-09-03,5.718
2020-09-04,5.944
2020-09-05,5.944
2020-09-06,5.944
2020-09-07,5.944
2020-09-08,5.795
2020-09-09,6.489
2020-09-10,6.278
2020-09-11,6.231
2020-09-12,6.231
2020-09-13,6.231
2020-09-14,6.556
2020-09-15,6.841
2020-09-16,7.109
2020-09-17,7.156
2020-09-18,7.372
2020-09-19,7.372
