,SEIC US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,11.719
2020-01-30,12.473
2020-01-31,12.12
2020-02-01,12.12
2020-02-02,12.12
2020-02-03,12.53
2020-02-04,12.629
2020-02-05,12.816
2020-02-06,12.76
2020-02-07,12.643
2020-02-08,12.643
2020-02-09,12.643
2020-02-10,12.708
2020-02-11,12.781
2020-02-12,12.794
2020-02-13,12.788
2020-02-14,12.729
2020-02-15,12.729
2020-02-16,12.729
2020-02-17,12.729
2020-02-18,12.777
2020-02-19,12.838
2020-02-20,12.859
2020-02-21,12.697
2020-02-22,12.697
2020-02-23,12.697
2020-02-24,12.276
2020-02-25,11.789
2020-02-26,11.745
2020-02-27,10.996
2020-02-28,10.16
2020-02-29,10.16
2020-03-01,10.16
2020-03-02,10.64
2020-03-03,10.372
2020-03-04,10.814
2020-03-05,10.357
2020-03-06,10.274
2020-03-07,10.274
2020-03-08,10.274
2020-03-09,9.709
2020-03-10,10.19
2020-03-11,9.434
2020-03-12,8.569
2020-03-13,10.433
2020-03-14,10.433
2020-03-15,10.433
2020-03-16,9.157
2020-03-17,9.119
2020-03-18,8.575
2020-03-19,8.548
2020-03-20,7.771
2020-03-21,7.771
2020-03-22,7.771
2020-03-23,7.374
2020-03-24,8.258
2020-03-25,8.424
2020-03-26,9.238
2020-03-27,8.915
2020-03-28,8.915
2020-03-29,8.915
2020-03-30,9.359
2020-03-31,9.338
2020-04-01,8.903
2020-04-02,9.185
2020-04-03,8.883
2020-04-04,8.883
2020-04-05,8.883
2020-04-06,9.623
2020-04-07,9.762
2020-04-08,10.277
2020-04-09,10.263
2020-04-10,10.263
2020-04-11,10.263
2020-04-12,10.263
2020-04-13,9.832
2020-04-14,9.764
2020-04-15,9.665
2020-04-16,9.689
2020-04-17,10.116
2020-04-18,10.116
2020-04-19,10.116
2020-04-20,10.056
2020-04-21,9.699
2020-04-22,9.895
2020-04-23,10.075
2020-04-24,10.164
2020-04-25,10.164
2020-04-26,10.164
2020-04-27,10.606
2020-04-28,10.618
2020-04-29,10.989
2020-04-30,10.608
2020-05-01,10.362
2020-05-02,10.362
2020-05-03,10.362
2020-05-04,10.402
2020-05-05,10.329
2020-05-06,10.242
2020-05-07,10.518
2020-05-08,10.804
2020-05-09,10.804
2020-05-10,10.804
2020-05-11,10.806
2020-05-12,10.292
2020-05-13,10.402
2020-05-14,10.541
2020-05-15,10.568
2020-05-16,10.568
2020-05-17,10.568
2020-05-18,10.976
2020-05-19,10.591
2020-05-20,10.791
2020-05-21,10.733
2020-05-22,10.689
2020-05-23,10.689
2020-05-24,10.689
2020-05-25,10.689
2020-05-26,11.085
2020-05-27,11.455
2020-05-28,11.226
2020-05-29,11.287
2020-05-30,11.287
2020-05-31,11.287
2020-06-01,11.382
2020-06-02,11.526
2020-06-03,12.021
2020-06-04,12.188
2020-06-05,12.554
2020-06-06,12.554
2020-06-07,12.554
2020-06-08,12.65
2020-06-09,12.465
2020-06-10,12.377
2020-06-11,11.555
2020-06-12,11.792
2020-06-13,11.792
2020-06-14,11.792
2020-06-15,11.884
2020-06-16,11.945
2020-06-17,11.742
2020-06-18,11.675
2020-06-19,11.666
2020-06-20,11.666
2020-06-21,11.666
2020-06-22,11.603
2020-06-23,11.578
2020-06-24,11.165
2020-06-25,11.371
2020-06-26,11.082
2020-06-27,11.082
2020-06-28,11.082
2020-06-29,11.113
2020-06-30,11.517
2020-07-01,11.373
2020-07-02,11.362
2020-07-03,11.362
2020-07-04,11.362
2020-07-05,11.362
2020-07-06,11.66
2020-07-07,11.282
2020-07-08,11.325
2020-07-09,11.048
2020-07-10,11.319
2020-07-11,11.319
2020-07-12,11.319
2020-07-13,11.327
2020-07-14,11.555
2020-07-15,11.842
2020-07-16,11.768
2020-07-17,11.715
2020-07-18,11.715
2020-07-19,11.715
2020-07-20,11.661
2020-07-21,11.965
2020-07-22,12.709
2020-07-23,11.71
2020-07-24,11.607
2020-07-25,11.607
2020-07-26,11.607
2020-07-27,11.626
2020-07-28,11.201
2020-07-29,11.206
2020-07-30,11.455
2020-07-31,11.466
2020-08-01,11.466
2020-08-02,11.466
2020-08-03,11.466
2020-08-04,11.407
2020-08-05,11.628
2020-08-06,11.477
2020-08-07,11.668
2020-08-08,11.668
2020-08-09,11.668
2020-08-10,11.672
2020-08-11,11.766
2020-08-12,11.771
2020-08-13,11.672
2020-08-14,11.663
2020-08-15,11.663
2020-08-16,11.663
2020-08-17,11.571
2020-08-18,11.495
2020-08-19,11.453
2020-08-20,11.254
2020-08-21,11.346
2020-08-22,11.346
2020-08-23,11.346
2020-08-24,11.62
2020-08-25,11.577
2020-08-26,11.473
2020-08-27,11.589
2020-08-28,11.598
2020-08-29,11.598
2020-08-30,11.598
2020-08-31,11.473
2020-09-01,11.519
2020-09-02,11.681
2020-09-03,11.414
2020-09-04,11.35
2020-09-05,11.35
2020-09-06,11.35
2020-09-07,11.35
2020-09-08,11.07
2020-09-09,11.197
