,TMX US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,33.721
2020-02-28,30.573
2020-02-29,30.573
2020-03-01,30.573
2020-03-02,32.385
2020-03-03,31.068
2020-03-04,31.427
2020-03-05,30.615
2020-03-06,30.889
2020-03-07,30.889
2020-03-08,30.889
2020-03-09,28.778
2020-03-10,29.0
2020-03-11,27.427
2020-03-12,25.658
2020-03-13,25.214
2020-03-14,25.214
2020-03-15,25.214
2020-03-16,22.641
2020-03-17,22.769
2020-03-18,17.476
2020-03-19,20.558
2020-03-20,21.382
2020-03-21,21.382
2020-03-22,21.382
2020-03-23,20.824
2020-03-24,21.442
2020-03-25,21.066
2020-03-26,22.594
2020-03-27,23.441
2020-03-28,23.441
2020-03-29,23.441
2020-03-30,23.38
2020-03-31,23.581
2020-04-01,22.201
2020-04-02,22.955
2020-04-03,22.08
2020-04-04,22.08
2020-04-05,22.08
2020-04-06,23.161
2020-04-07,22.911
2020-04-08,22.996
2020-04-09,24.215
2020-04-10,24.215
2020-04-11,24.215
2020-04-12,24.215
2020-04-13,23.794
2020-04-14,25.309
2020-04-15,24.861
2020-04-16,25.175
2020-04-17,25.74
2020-04-18,25.74
2020-04-19,25.74
2020-04-20,25.175
2020-04-21,25.121
2020-04-22,25.166
2020-04-23,25.327
2020-04-24,26.206
2020-04-25,26.206
2020-04-26,26.206
2020-04-27,27.507
2020-04-28,29.211
2020-04-29,33.171
2020-04-30,32.521
2020-05-01,31.662
2020-05-02,31.662
2020-05-03,31.662
2020-05-04,31.977
2020-05-05,31.652
2020-05-06,30.774
2020-05-07,23.952
2020-05-08,29.127
2020-05-09,29.127
2020-05-10,29.127
2020-05-11,27.205
2020-05-12,26.339
2020-05-13,25.443
2020-05-14,25.93
2020-05-15,26.203
2020-05-16,26.203
2020-05-17,26.203
2020-05-18,27.517
2020-05-19,26.952
2020-05-20,27.556
2020-05-21,28.442
2020-05-22,28.364
2020-05-23,28.364
2020-05-24,28.364
2020-05-25,28.364
2020-05-26,29.328
2020-05-27,30.097
2020-05-28,30.808
2020-05-29,32.035
2020-05-30,32.035
2020-05-31,32.035
2020-06-01,31.801
2020-06-02,32.093
2020-06-03,32.795
2020-06-04,32.726
2020-06-05,31.441
2020-06-06,31.441
2020-06-07,31.441
2020-06-08,32.872
2020-06-09,32.21
2020-06-10,31.704
2020-06-11,33.645
2020-06-12,33.318
2020-06-13,33.318
2020-06-14,33.318
2020-06-15,32.832
2020-06-16,33.374
2020-06-17,33.327
2020-06-18,33.383
2020-06-19,33.234
2020-06-20,33.234
2020-06-21,33.234
2020-06-22,32.888
2020-06-23,32.692
2020-06-24,31.963
2020-06-25,32.85
2020-06-26,32.869
2020-06-27,32.869
2020-06-28,32.869
2020-06-29,33.551
2020-06-30,33.355
2020-07-01,33.598
2020-07-02,33.514
2020-07-03,33.514
2020-07-04,33.514
2020-07-05,33.514
2020-07-06,33.804
2020-07-07,33.981
2020-07-08,33.822
2020-07-09,33.486
2020-07-10,34.019
2020-07-11,34.019
2020-07-12,34.019
2020-07-13,33.486
2020-07-14,33.841
2020-07-15,35.084
2020-07-16,35.178
2020-07-17,35.056
2020-07-18,35.056
2020-07-19,35.056
2020-07-20,35.287
2020-07-21,35.111
2020-07-22,35.12
2020-07-23,34.917
2020-07-24,34.63
2020-07-25,34.63
2020-07-26,34.63
2020-07-27,35.315
2020-07-28,35.361
2020-07-29,36.741
2020-07-30,37.796
2020-07-31,37.861
2020-08-01,37.861
2020-08-02,37.861
2020-08-03,38.13
2020-08-04,38.176
2020-08-05,38.481
2020-08-06,35.754
2020-08-07,34.785
2020-08-08,34.785
2020-08-09,34.785
2020-08-10,34.074
2020-08-11,34.306
2020-08-12,34.223
2020-08-13,33.934
2020-08-14,33.636
2020-08-15,33.636
2020-08-16,33.636
2020-08-17,33.554
2020-08-18,33.066
2020-08-19,32.702
2020-08-20,32.992
2020-08-21,32.826
2020-08-22,32.826
2020-08-23,32.826
2020-08-24,32.81
2020-08-25,33.058
2020-08-26,32.81
2020-08-27,33.223
2020-08-28,33.628
2020-08-29,33.628
2020-08-30,33.628
2020-08-31,32.975
2020-09-01,32.545
2020-09-02,35.405
2020-09-03,33.802
2020-09-04,34.43
2020-09-05,34.43
2020-09-06,34.43
2020-09-07,34.43
2020-09-08,33.545
2020-09-09,33.843
2020-09-10,32.942
2020-09-11,33.05
2020-09-12,33.05
2020-09-13,33.05
2020-09-14,33.612
2020-09-15,33.116
2020-09-16,33.347
2020-09-17,33.074
