,TSLA US Equity
,BEST_PE_RATIO
2020-01-01,9.256
2020-01-02,9.52
2020-01-03,9.802
2020-01-04,9.802
2020-01-05,9.802
2020-01-06,13.117
2020-01-07,13.626
2020-01-08,14.296
2020-01-09,13.982
2020-01-10,13.89
2020-01-11,13.89
2020-01-12,13.89
2020-01-13,15.776
2020-01-14,15.756
2020-01-15,15.187
2020-01-16,15.041
2020-01-17,14.953
2020-01-18,14.953
2020-01-19,14.953
2020-01-20,14.953
2020-01-21,16.028
2020-01-22,16.683
2020-01-23,16.76
2020-01-24,16.544
2020-01-25,16.544
2020-01-26,16.544
2020-01-27,16.345
2020-01-28,16.605
2020-01-29,15.148
2020-01-30,16.98
2020-01-31,17.238
2020-02-01,17.238
2020-02-02,17.238
2020-02-03,20.668
2020-02-04,23.505
2020-02-05,19.467
2020-02-06,19.845
2020-02-07,19.822
2020-02-08,19.822
2020-02-09,19.822
2020-02-10,20.453
2020-02-11,20.535
2020-02-12,20.347
2020-02-13,21.321
2020-02-14,21.215
2020-02-15,21.215
2020-02-16,21.215
2020-02-17,21.215
2020-02-18,22.763
2020-02-19,24.328
2020-02-20,23.851
2020-02-21,23.893
2020-02-22,23.893
2020-02-23,23.893
2020-02-24,22.111
2020-02-25,21.339
2020-02-26,20.776
2020-02-27,18.114
2020-02-28,17.82
2020-02-29,17.82
2020-03-01,17.82
2020-03-02,19.838
2020-03-03,19.888
2020-03-04,19.995
2020-03-05,19.329
2020-03-06,18.767
2020-03-07,18.767
2020-03-08,18.767
2020-03-09,16.22
2020-03-10,17.216
2020-03-11,16.92
2020-03-12,14.954
2020-03-13,14.582
2020-03-14,14.582
2020-03-15,14.582
2020-03-16,11.873
2020-03-17,11.477
2020-03-18,9.636
2020-03-19,11.949
2020-03-20,11.946
2020-03-21,11.946
2020-03-22,11.946
2020-03-23,12.134
2020-03-24,14.11
2020-03-25,15.067
2020-03-26,14.757
2020-03-27,14.598
2020-03-28,14.598
2020-03-29,14.598
2020-03-30,14.367
2020-03-31,14.993
2020-04-01,13.862
2020-04-02,13.207
2020-04-03,13.871
2020-04-04,13.871
2020-04-05,13.871
2020-04-06,14.918
2020-04-07,15.762
2020-04-08,15.86
2020-04-09,16.558
2020-04-10,16.558
2020-04-11,16.558
2020-04-12,16.558
2020-04-13,18.811
2020-04-14,20.514
2020-04-15,21.154
2020-04-16,21.6
2020-04-17,21.852
2020-04-18,21.852
2020-04-19,21.852
2020-04-20,21.634
2020-04-21,19.905
2020-04-22,21.221
2020-04-23,20.453
2020-04-24,20.101
2020-04-25,20.101
2020-04-26,20.101
2020-04-27,22.141
2020-04-28,21.32
2020-04-29,21.519
2020-04-30,19.094
2020-05-01,17.126
2020-05-02,17.126
2020-05-03,17.126
2020-05-04,18.588
2020-05-05,18.76
2020-05-06,19.111
2020-05-07,19.049
2020-05-08,20.01
2020-05-09,20.01
2020-05-10,20.01
2020-05-11,19.812
2020-05-12,19.766
2020-05-13,19.315
2020-05-14,19.617
2020-05-15,19.516
2020-05-16,19.516
2020-05-17,19.516
2020-05-18,19.869
2020-05-19,19.732
2020-05-20,19.916
2020-05-21,20.21
2020-05-22,19.948
2020-05-23,19.948
2020-05-24,19.948
2020-05-25,19.948
2020-05-26,19.997
2020-05-27,20.03
2020-05-28,19.678
2020-05-29,20.391
2020-05-30,20.391
2020-05-31,20.391
2020-06-01,21.932
2020-06-02,21.528
2020-06-03,21.562
2020-06-04,21.108
2020-06-05,21.628
2020-06-06,21.628
2020-06-07,21.628
2020-06-08,23.197
2020-06-09,22.971
2020-06-10,25.032
2020-06-11,23.757
2020-06-12,22.84
2020-06-13,22.84
2020-06-14,22.84
2020-06-15,24.198
2020-06-16,23.984
2020-06-17,24.22
2020-06-18,24.517
2020-06-19,24.442
2020-06-20,24.442
2020-06-21,24.442
2020-06-22,24.281
2020-06-23,25.598
2020-06-24,24.552
2020-06-25,25.194
2020-06-26,24.666
2020-06-27,24.666
2020-06-28,24.666
2020-06-29,25.941
2020-06-30,32.427
2020-07-01,33.623
2020-07-02,36.296
2020-07-03,36.296
2020-07-04,36.296
2020-07-05,36.296
2020-07-06,40.07
2020-07-07,40.497
2020-07-08,39.798
2020-07-09,40.626
2020-07-10,45.007
2020-07-11,45.007
2020-07-12,45.007
2020-07-13,41.021
2020-07-14,40.939
2020-07-15,41.728
2020-07-16,40.503
2020-07-17,40.509
2020-07-18,40.509
2020-07-19,40.509
2020-07-20,44.345
2020-07-21,42.331
2020-07-22,45.25
2020-07-23,40.22
2020-07-24,37.666
2020-07-25,37.666
2020-07-26,37.666
2020-07-27,40.925
2020-07-28,39.247
2020-07-29,39.849
2020-07-30,39.54
2020-07-31,38.032
2020-08-01,38.032
2020-08-02,38.032
2020-08-03,39.474
2020-08-04,39.527
2020-08-05,38.402
2020-08-06,38.52
2020-08-07,37.567
2020-08-08,37.567
2020-08-09,37.567
2020-08-10,36.684
2020-08-11,35.542
2020-08-12,40.206
2020-08-13,41.919
2020-08-14,42.687
2020-08-15,42.687
2020-08-16,42.687
2020-08-17,47.469
2020-08-18,48.8
2020-08-19,48.578
2020-08-20,51.767
2020-08-21,53.012
2020-08-22,53.012
2020-08-23,53.012
2020-08-24,49.974
2020-08-25,50.201
2020-08-26,52.619
2020-08-27,54.71
2020-08-28,54.091
2020-08-29,54.091
2020-08-30,54.091
2020-08-31,60.89
2020-09-01,58.046
2020-09-02,54.444
2020-09-03,49.369
2020-09-04,50.742
2020-09-05,50.742
2020-09-06,50.742
2020-09-07,50.742
2020-09-08,40.055
2020-09-09,44.43
2020-09-10,45.044
2020-09-11,45.211
2020-09-12,45.211
2020-09-13,45.211
2020-09-14,50.9
2020-09-15,54.556
2020-09-16,53.821
2020-09-17,50.015
2020-09-18,52.227
2020-09-19,52.227
2020-09-20,52.227
2020-09-21,53.082
2020-09-22,50.11
2020-09-23,44.115
2020-09-24,46.581
2020-09-25,48.93
2020-09-26,48.93
2020-09-27,48.93
2020-09-28,50.595
2020-09-29,50.339
2020-09-30,51.907
2020-10-01,54.224
2020-10-02,50.204
2020-10-03,50.204
2020-10-04,50.204
2020-10-05,51.56
2020-10-06,50.143
2020-10-07,51.514
2020-10-08,51.589
2020-10-09,52.568
2020-10-10,52.568
2020-10-11,52.568
2020-10-12,53.573
2020-10-13,54.1
2020-10-14,55.411
2020-10-15,53.92
2020-10-16,52.813
2020-10-17,52.813
2020-10-18,52.813
2020-10-19,51.436
2020-10-20,50.611
2020-10-21,49.156
2020-10-22,53.317
2020-10-23,52.671
2020-10-24,52.671
2020-10-25,52.671
2020-10-26,52.627
2020-10-27,53.178
2020-10-28,50.841
2020-10-29,51.444
2020-10-30,48.627
2020-10-31,48.627
2020-11-01,48.627
2020-11-02,50.189
2020-11-03,53.12
2020-11-04,52.754
2020-11-05,54.898
2020-11-06,53.878
2020-11-07,53.878
2020-11-08,53.878
2020-11-09,52.789
2020-11-10,51.424
2020-11-11,52.272
2020-11-12,51.599
2020-11-13,51.19
2020-11-14,51.19
2020-11-15,51.19
2020-11-16,51.139
2020-11-17,55.34
2020-11-18,60.777
2020-11-19,62.354
2020-11-20,61.148
2020-11-21,61.148
2020-11-22,61.148
2020-11-23,65.174
2020-11-24,69.362
2020-11-25,71.687
2020-11-26,71.687
2020-11-27,73.156
2020-11-28,73.156
2020-11-29,73.156
2020-11-30,70.888
2020-12-01,73.031
2020-12-02,65.135
2020-12-03,67.947
2020-12-04,68.595
2020-12-05,68.595
2020-12-06,68.595
2020-12-07,73.487
2020-12-08,74.417
2020-12-09,69.745
2020-12-10,72.377
2020-12-11,70.405
2020-12-12,70.405
2020-12-13,70.405
2020-12-14,73.849
2020-12-15,73.09
2020-12-16,71.88
2020-12-17,73.763
2020-12-18,78.16
2020-12-19,78.16
2020-12-20,78.16
2020-12-21,73.084
2020-12-22,72.013
2020-12-23,72.647
2020-12-24,74.423
2020-12-25,74.423
2020-12-26,74.423
2020-12-27,74.423
2020-12-28,74.639
2020-12-29,74.898
2020-12-30,78.162
2020-12-31,79.387
2021-01-01,79.387
2021-01-02,79.387
2021-01-03,79.387
2021-01-04,82.098
2021-01-05,84.263
2021-01-06,86.655
2021-01-07,90.25
2021-01-08,97.326
2021-01-09,97.326
2021-01-10,97.326
2021-01-11,89.387
2021-01-12,94.571
2021-01-13,95.125
2021-01-14,94.077
2021-01-15,91.98
2021-01-16,91.98
2021-01-17,91.98
2021-01-18,91.98
2021-01-19,93.683
2021-01-20,93.931
2021-01-21,93.328
2021-01-22,93.51
2021-01-23,93.51
2021-01-24,93.51
2021-01-25,97.058
2021-01-26,97.31
2021-01-27,92.562
2021-01-28,88.349
2021-01-29,83.918
2021-01-30,83.918
2021-01-31,83.918
2021-02-01,75.72
2021-02-02,78.694
2021-02-03,77.062
2021-02-04,76.638
2021-02-05,76.84
2021-02-06,76.84
2021-02-07,76.84
2021-02-08,77.849
2021-02-09,76.59
2021-02-10,72.565
2021-02-11,73.182
2021-02-12,73.584
2021-02-13,73.584
2021-02-14,73.584
2021-02-15,73.584
2021-02-16,71.79
2021-02-17,71.964
2021-02-18,70.993
2021-02-19,70.445
2021-02-20,70.445
2021-02-21,70.445
2021-02-22,64.422
2021-02-23,63.01
2021-02-24,63.518
2021-02-25,58.701
2021-02-26,58.123
2021-02-27,58.123
2021-02-28,58.123
2021-03-01,61.816
2021-03-02,59.064
2021-03-03,56.204
2021-03-04,53.471
2021-03-05,51.45
2021-03-06,51.45
2021-03-07,51.45
2021-03-08,48.443
2021-03-09,57.957
2021-03-10,57.482
2021-03-11,60.196
2021-03-12,59.691
2021-03-13,59.691
2021-03-14,59.691
2021-03-15,60.914
2021-03-16,58.241
2021-03-17,60.386
2021-03-18,56.2
2021-03-19,56.347
2021-03-20,56.347
2021-03-21,56.347
2021-03-22,57.649
2021-03-23,56.975
2021-03-24,54.273
2021-03-25,55.144
2021-03-26,53.277
2021-03-27,53.277
