,WHR US Equity
,BEST_PE_RATIO
2020-01-01,4.145
2020-01-02,4.171
2020-01-03,4.1
2020-01-04,4.1
2020-01-05,4.1
2020-01-06,4.139
2020-01-07,4.14
2020-01-08,4.198
2020-01-09,4.225
2020-01-10,4.206
2020-01-11,4.206
2020-01-12,4.206
2020-01-13,4.293
2020-01-14,4.306
2020-01-15,4.325
2020-01-16,4.332
2020-01-17,4.289
2020-01-18,4.289
2020-01-19,4.289
2020-01-20,4.289
2020-01-21,4.254
2020-01-22,4.122
2020-01-23,4.235
2020-01-24,4.199
2020-01-25,4.199
2020-01-26,4.199
2020-01-27,4.165
2020-01-28,4.402
2020-01-29,4.33
2020-01-30,4.293
2020-01-31,4.107
2020-02-01,4.107
2020-02-02,4.107
2020-02-03,4.135
2020-02-04,4.219
2020-02-05,4.34
2020-02-06,4.301
2020-02-07,4.193
2020-02-08,4.193
2020-02-09,4.193
2020-02-10,4.198
2020-02-11,4.271
2020-02-12,4.285
2020-02-13,4.272
2020-02-14,4.276
2020-02-15,4.276
2020-02-16,4.276
2020-02-17,4.276
2020-02-18,4.161
2020-02-19,4.137
2020-02-20,4.189
2020-02-21,4.136
2020-02-22,4.136
2020-02-23,4.136
2020-02-24,3.956
2020-02-25,3.854
2020-02-26,3.858
2020-02-27,3.726
2020-02-28,3.624
2020-02-29,3.624
2020-03-01,3.624
2020-03-02,3.795
2020-03-03,3.625
2020-03-04,3.74
2020-03-05,3.539
2020-03-06,3.433
2020-03-07,3.433
2020-03-08,3.433
2020-03-09,3.186
2020-03-10,3.327
2020-03-11,3.132
2020-03-12,2.914
2020-03-13,3.272
2020-03-14,3.272
2020-03-15,3.272
2020-03-16,3.29
2020-03-17,3.452
2020-03-18,3.155
2020-03-19,2.928
2020-03-20,2.64
2020-03-21,2.64
2020-03-22,2.64
2020-03-23,2.277
2020-03-24,2.95
2020-03-25,2.921
2020-03-26,2.95
2020-03-27,2.988
2020-03-28,2.988
2020-03-29,2.988
2020-03-30,3.11
2020-03-31,3.042
2020-04-01,2.858
2020-04-02,2.894
2020-04-03,2.93
2020-04-04,2.93
2020-04-05,2.93
2020-04-06,3.279
2020-04-07,3.365
2020-04-08,3.534
2020-04-09,3.714
2020-04-10,3.714
2020-04-11,3.714
2020-04-12,3.714
2020-04-13,3.569
2020-04-14,3.67
2020-04-15,3.542
2020-04-16,3.488
2020-04-17,3.802
2020-04-18,3.802
2020-04-19,3.802
2020-04-20,3.61
2020-04-21,3.544
2020-04-22,3.586
2020-04-23,3.691
2020-04-24,3.775
2020-04-25,3.775
2020-04-26,3.775
2020-04-27,3.941
2020-04-28,4.109
2020-04-29,4.422
2020-04-30,4.033
2020-05-01,4.05
2020-05-02,4.05
2020-05-03,4.05
2020-05-04,3.606
2020-05-05,3.717
2020-05-06,3.644
2020-05-07,3.636
2020-05-08,3.83
2020-05-09,3.83
2020-05-10,3.83
2020-05-11,3.697
2020-05-12,3.597
2020-05-13,3.529
2020-05-14,3.715
2020-05-15,3.744
2020-05-16,3.744
2020-05-17,3.744
2020-05-18,4.103
2020-05-19,4.099
2020-05-20,4.112
2020-05-21,4.117
2020-05-22,4.141
2020-05-23,4.141
2020-05-24,4.141
2020-05-25,4.141
2020-05-26,4.343
2020-05-27,4.469
2020-05-28,4.209
2020-05-29,4.214
2020-05-30,4.214
2020-05-31,4.214
2020-06-01,4.282
2020-06-02,4.433
2020-06-03,4.503
2020-06-04,4.666
2020-06-05,4.734
2020-06-06,4.734
2020-06-07,4.734
2020-06-08,4.874
2020-06-09,4.74
2020-06-10,4.657
2020-06-11,4.237
2020-06-12,4.224
2020-06-13,4.224
2020-06-14,4.224
2020-06-15,4.345
2020-06-16,4.37
2020-06-17,4.367
2020-06-18,4.381
2020-06-19,4.397
2020-06-20,4.397
2020-06-21,4.397
2020-06-22,4.351
2020-06-23,4.412
2020-06-24,4.272
